comparison,seed,test_n,point_estimate_J1,ci_low_J1,ci_high_J1,bootstrap_mean_J1,point_estimate_regret,ci_low_regret,ci_high_regret,bootstrap_mean_regret,representation,train_n
RAW_minus_F13,42,7,0.005665486409294651,-0.0006125064232833598,0.011952865359369487,0.00559970275014497,0.0072382095460084075,-0.0007538636629522367,0.016041224330394597,0.007254074598731822,,
F12_minus_F13,42,7,0.008199281015616067,-6.543964376271556e-05,0.018230501149062075,0.008250571691733861,0.010496153722292907,-8.823286275187959e-05,0.022659059866066915,0.01046344634761251,,
J_minus_S,42,7,-0.010818125267993195,-0.018444374069763098,-0.003971899946557238,-0.010747891858689705,-0.013876948392439907,-0.024476173600155686,-0.004962499495729929,-0.013868318261666948,F13,"7,10,20"
J_minus_S,42,7,-0.002663950407211124,-0.019613048957623384,0.01516006919621126,-0.0024903215780435915,-0.00343914458137419,-0.026668992271008954,0.018628761924754194,-0.0034999359030134024,F12,"7,10,20"
J_minus_S,42,7,-0.0036398439144275097,-0.009130276543577403,0.001695078376871062,-0.0036624610731952915,-0.004684124326021097,-0.011862030636657802,0.002152168436539881,-0.00471736911829842,RAW,"7,10,20"
L_minus_S,42,7,-0.0038258745058866728,-0.010104753025695187,0.003397448727532434,-0.003781132197439998,-0.004934391361518797,-0.013483700883581815,0.004274506416262136,-0.004956404816015661,F13,"10,20"
L_minus_S,42,7,-0.007992411289139634,-0.019234846359040613,0.0041869296662533665,-0.007860771949892244,-0.010275569537129894,-0.026201659657701343,0.005083688806903011,-0.010315854614463046,F12,"10,20"
L_minus_S,42,7,0.1132885499423204,0.08357851472282973,0.14675212339887214,0.11306888387559698,0.1590379692218073,0.11329586175218082,0.21008463010455167,0.15888896227627133,RAW,"10,20"
T_minus_S,42,7,0.03133955770085395,0.016868401706870977,0.047994617388920566,0.03143662126017157,0.04152201557845629,0.023026727624200077,0.062052413965674375,0.04150391795457595,F13,10
T_minus_S,42,7,0.11953014283334429,0.08571439720371214,0.15579039079617493,0.11932781584161611,0.16890781798977111,0.11939276103798253,0.22129934984264502,0.16858604375442351,F13,20
