run_id,seed,phase,family,representation,train_n,test_n
F13_J_seed42,42,explore,J,F13,"7,10,20","7,10,20"
F13_S_7to7_seed42,42,explore,S,F13,7,7
F13_S_10to10_seed42,42,explore,S,F13,10,10
F13_S_20to20_seed42,42,explore,S,F13,20,20
F13_T_7to10-20_seed42,42,explore,T,F13,7,"10,20"
F13_T_10to7-20_seed42,42,explore,T,F13,10,"7,20"
F13_T_20to7-10_seed42,42,explore,T,F13,20,"7,10"
F13_L_hold7_seed42,42,explore,L,F13,"10,20",7
F13_L_hold10_seed42,42,explore,L,F13,"7,20",10
F13_L_hold20_seed42,42,explore,L,F13,"7,10",20
F12_J_seed42,42,explore,J,F12,"7,10,20","7,10,20"
F12_S_7to7_seed42,42,explore,S,F12,7,7
F12_S_10to10_seed42,42,explore,S,F12,10,10
F12_S_20to20_seed42,42,explore,S,F12,20,20
F12_T_7to10-20_seed42,42,explore,T,F12,7,"10,20"
F12_T_10to7-20_seed42,42,explore,T,F12,10,"7,20"
F12_T_20to7-10_seed42,42,explore,T,F12,20,"7,10"
F12_L_hold7_seed42,42,explore,L,F12,"10,20",7
F12_L_hold10_seed42,42,explore,L,F12,"7,20",10
F12_L_hold20_seed42,42,explore,L,F12,"7,10",20
RAW_J_seed42,42,explore,J,RAW,"7,10,20","7,10,20"
RAW_S_7to7_seed42,42,explore,S,RAW,7,7
RAW_S_10to10_seed42,42,explore,S,RAW,10,10
RAW_S_20to20_seed42,42,explore,S,RAW,20,20
RAW_T_7to10-20_seed42,42,explore,T,RAW,7,"10,20"
RAW_T_10to7-20_seed42,42,explore,T,RAW,10,"7,20"
RAW_T_20to7-10_seed42,42,explore,T,RAW,20,"7,10"
RAW_L_hold7_seed42,42,explore,L,RAW,"10,20",7
RAW_L_hold10_seed42,42,explore,L,RAW,"7,20",10
RAW_L_hold20_seed42,42,explore,L,RAW,"7,10",20
F13_J_seed2026,2026,confirm,J,F13,"7,10,20","7,10,20"
F13_S_7to7_seed2026,2026,confirm,S,F13,7,7
F13_S_10to10_seed2026,2026,confirm,S,F13,10,10
F13_S_20to20_seed2026,2026,confirm,S,F13,20,20
F13_T_7to10-20_seed2026,2026,confirm,T,F13,7,"10,20"
F13_T_10to7-20_seed2026,2026,confirm,T,F13,10,"7,20"
F13_T_20to7-10_seed2026,2026,confirm,T,F13,20,"7,10"
F13_L_hold7_seed2026,2026,confirm,L,F13,"10,20",7
F13_L_hold10_seed2026,2026,confirm,L,F13,"7,20",10
F13_L_hold20_seed2026,2026,confirm,L,F13,"7,10",20
F12_J_seed2026,2026,confirm,J,F12,"7,10,20","7,10,20"
F12_S_7to7_seed2026,2026,confirm,S,F12,7,7
F12_S_10to10_seed2026,2026,confirm,S,F12,10,10
F12_S_20to20_seed2026,2026,confirm,S,F12,20,20
F12_T_7to10-20_seed2026,2026,confirm,T,F12,7,"10,20"
F12_T_10to7-20_seed2026,2026,confirm,T,F12,10,"7,20"
F12_T_20to7-10_seed2026,2026,confirm,T,F12,20,"7,10"
F12_L_hold7_seed2026,2026,confirm,L,F12,"10,20",7
F12_L_hold10_seed2026,2026,confirm,L,F12,"7,20",10
F12_L_hold20_seed2026,2026,confirm,L,F12,"7,10",20
RAW_J_seed2026,2026,confirm,J,RAW,"7,10,20","7,10,20"
RAW_S_7to7_seed2026,2026,confirm,S,RAW,7,7
RAW_S_10to10_seed2026,2026,confirm,S,RAW,10,10
RAW_S_20to20_seed2026,2026,confirm,S,RAW,20,20
RAW_T_7to10-20_seed2026,2026,confirm,T,RAW,7,"10,20"
RAW_T_10to7-20_seed2026,2026,confirm,T,RAW,10,"7,20"
RAW_T_20to7-10_seed2026,2026,confirm,T,RAW,20,"7,10"
RAW_L_hold7_seed2026,2026,confirm,L,RAW,"10,20",7
RAW_L_hold10_seed2026,2026,confirm,L,RAW,"7,20",10
RAW_L_hold20_seed2026,2026,confirm,L,RAW,"7,10",20
F13_J_seed3407,3407,confirm,J,F13,"7,10,20","7,10,20"
F13_S_7to7_seed3407,3407,confirm,S,F13,7,7
F13_S_10to10_seed3407,3407,confirm,S,F13,10,10
F13_S_20to20_seed3407,3407,confirm,S,F13,20,20
F13_T_7to10-20_seed3407,3407,confirm,T,F13,7,"10,20"
F13_T_10to7-20_seed3407,3407,confirm,T,F13,10,"7,20"
F13_T_20to7-10_seed3407,3407,confirm,T,F13,20,"7,10"
F13_L_hold7_seed3407,3407,confirm,L,F13,"10,20",7
F13_L_hold10_seed3407,3407,confirm,L,F13,"7,20",10
F13_L_hold20_seed3407,3407,confirm,L,F13,"7,10",20
F12_J_seed3407,3407,confirm,J,F12,"7,10,20","7,10,20"
F12_S_7to7_seed3407,3407,confirm,S,F12,7,7
