scale_factor,eta,n,max_abs_beta_hat_diff,max_abs_eta_hat_rescaled_diff,max_abs_gamma_hat_rescaled_diff
0.001,1.0,7,0.0,9.094947017729282e-13,3.410605131648481e-13
0.01,10.0,7,0.0,9.094947017729282e-13,4.547473508864641e-13
0.1,100.0,7,0.0,9.094947017729282e-13,2.2737367544323206e-13
1.0,1000.0,7,0.0,0.0,0.0
10.0,10000.0,7,0.0,4.547473508864641e-13,4.547473508864641e-13
1000.0,1000000.0,7,0.0,9.094947017729282e-13,3.410605131648481e-13
0.001,1.0,10,0.0,9.094947017729282e-13,3.410605131648481e-13
0.01,10.0,10,0.0,4.547473508864641e-13,3.410605131648481e-13
0.1,100.0,10,0.0,4.547473508864641e-13,2.2737367544323206e-13
1.0,1000.0,10,0.0,0.0,0.0
10.0,10000.0,10,0.0,4.547473508864641e-13,3.410605131648481e-13
1000.0,1000000.0,10,0.0,4.547473508864641e-13,3.410605131648481e-13
0.001,1.0,15,0.0,4.547473508864641e-13,4.547473508864641e-13
0.01,10.0,15,0.0,4.547473508864641e-13,3.410605131648481e-13
0.1,100.0,15,0.0,4.547473508864641e-13,3.410605131648481e-13
1.0,1000.0,15,0.0,0.0,0.0
10.0,10000.0,15,0.0,4.547473508864641e-13,3.410605131648481e-13
1000.0,1000000.0,15,0.0,4.547473508864641e-13,3.410605131648481e-13
0.001,1.0,20,0.0,4.547473508864641e-13,3.410605131648481e-13
0.01,10.0,20,0.0,4.547473508864641e-13,3.410605131648481e-13
0.1,100.0,20,0.0,9.094947017729282e-13,3.410605131648481e-13
1.0,1000.0,20,0.0,0.0,0.0
10.0,10000.0,20,0.0,4.547473508864641e-13,3.410605131648481e-13
1000.0,1000000.0,20,0.0,4.547473508864641e-13,3.410605131648481e-13
