scale_factor,eta,n,n_samples,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x095_bias,x095_sd,x095_rmse
0.001,1.0,7,31500,31500,0.0,0.5463118538512575,-0.006779607545728443,0.4245620620167691,0.42460945027955566,-0.016093959783854955,0.28670388235776506,0.28715069598520643,0.026466717418742347,0.18710574133036878,0.18896543119550424,0.023030692789524153,0.2770923030543563,0.2780433774745061
0.01,10.0,7,31500,31500,0.0,0.5463118538512575,-0.006779607545728443,0.4245620620167691,0.42460945027955566,-0.01609395978385494,0.28670388235776506,0.28715069598520643,0.026466717418742347,0.18710574133036878,0.18896543119550424,0.023030692789524142,0.2770923030543563,0.2780433774745061
0.1,100.0,7,31500,31500,0.0,0.5463118538512575,-0.006779607545728443,0.4245620620167691,0.42460945027955566,-0.016093959783854906,0.28670388235776506,0.28715069598520643,0.026466717418742368,0.18710574133036875,0.18896543119550424,0.023030692789524184,0.2770923030543563,0.27804337747450614
1.0,1000.0,7,31500,31500,0.0,0.5463118538512575,-0.006779607545728443,0.4245620620167691,0.42460945027955566,-0.01609395978385496,0.28670388235776506,0.28715069598520643,0.02646671741874234,0.18710574133036878,0.18896543119550424,0.02303069278952415,0.2770923030543563,0.2780433774745061
10.0,10000.0,7,31500,31500,0.0,0.5463118538512575,-0.006779607545728443,0.4245620620167691,0.42460945027955566,-0.01609395978385497,0.28670388235776506,0.2871506959852064,0.02646671741874234,0.18710574133036875,0.18896543119550424,0.023030692789524142,0.2770923030543563,0.2780433774745061
1000.0,1000000.0,7,31500,31500,0.0,0.5463118538512575,-0.006779607545728443,0.4245620620167691,0.42460945027955566,-0.016093959783854955,0.28670388235776506,0.2871506959852064,0.026466717418742344,0.18710574133036878,0.18896543119550424,0.023030692789524146,0.2770923030543563,0.2780433774745061
0.001,1.0,10,31500,31500,0.0,0.4791412158993841,-0.034539696706312774,0.3494056710312619,0.3511031727349932,-0.013072764066024378,0.2708064710464922,0.27111752763220764,0.012607418098474208,0.18066610718842363,0.18110260373490183,-0.023468960812422012,0.2210778801638681,0.2223165977124535
0.01,10.0,10,31500,31500,0.0,0.4791412158993841,-0.034539696706312774,0.3494056710312619,0.3511031727349932,-0.013072764066024391,0.2708064710464922,0.27111752763220764,0.012607418098474205,0.18066610718842363,0.18110260373490183,-0.023468960812422023,0.22107788016386806,0.22231659771245346
0.1,100.0,10,31500,31500,0.0,0.4791412158993841,-0.034539696706312774,0.3494056710312619,0.3511031727349932,-0.013072764066024355,0.2708064710464922,0.27111752763220764,0.012607418098474227,0.18066610718842363,0.18110260373490183,-0.02346896081242198,0.2210778801638681,0.2223165977124535
1.0,1000.0,10,31500,31500,0.0,0.4791412158993841,-0.034539696706312774,0.3494056710312619,0.3511031727349932,-0.013072764066024414,0.2708064710464922,0.27111752763220764,0.012607418098474198,0.18066610718842363,0.18110260373490183,-0.02346896081242203,0.2210778801638681,0.2223165977124535
