scope,scope_value,contrast,n_cells,n_samples,J1_direct,J1_comparator,delta_J1,ci95_low,ci95_high,relative_change_percent,bootstrap_reps,bootstrap_seed
beta_group,seen_grid,Direct-P minus Adaptive-MDM,160,48000,0.3658085632203575,0.569588774177714,-0.20378021095735654,-0.20665558300154988,-0.20111013220272705,-35.77672527895999,3000,20260830
beta_group,seen_grid,Direct-P minus MDM-0.1,160,48000,0.3658085632203575,0.6285296615275883,-0.2627210983072308,-0.2652812383267779,-0.2601473533257524,-41.79931583001339,3000,20260830
beta_group,in_domain_unseen,Direct-P minus Adaptive-MDM,140,42000,0.35321859137140404,0.5647566369374007,-0.2115380455659967,-0.214413071447701,-0.2086564407547906,-37.456495724094374,3000,20260830
beta_group,in_domain_unseen,Direct-P minus MDM-0.1,140,42000,0.35321859137140404,0.6202445430588189,-0.2670259516874149,-0.2697930305660091,-0.26430572807047453,-43.05172124055146,3000,20260830
beta_group,near_ood,Direct-P minus Adaptive-MDM,40,12000,0.48725511454509224,0.6188202108074704,-0.13156509626237817,-0.13691906000064769,-0.12631112257995725,-21.2606333737395,3000,20260830
beta_group,near_ood,Direct-P minus MDM-0.1,40,12000,0.48725511454509224,0.6972066789420778,-0.20995156439698553,-0.21541612213384448,-0.20429982781978726,-30.113246292413645,3000,20260830
beta_group,far_ood,Direct-P minus Adaptive-MDM,80,24000,0.758694269407975,0.6840452887625424,0.07464898064543257,0.06964752793247068,0.07980641344420009,10.91287110250766,3000,20260830
beta_group,far_ood,Direct-P minus MDM-0.1,80,24000,0.758694269407975,0.7584749584205921,0.00021931098738292576,-0.0050385553100827365,0.005423446715691123,0.02891473013685347,3000,20260830
beta,0.75,Direct-P minus Adaptive-MDM,20,6000,1.1564445779177364,0.6780926081520199,0.4783519697657165,0.4651733870023478,0.4908107202603903,70.5437522861886,3000,20260830
beta,0.75,Direct-P minus MDM-0.1,20,6000,1.1564445779177364,0.6993273417902589,0.45711723612747746,0.4423084456051782,0.47115281243059975,65.36527443032183,3000,20260830
beta,1.0,Direct-P minus Adaptive-MDM,20,6000,0.7625059572765402,0.5721398236873139,0.19036613358922638,0.18201975205557272,0.19877385342345288,33.27265918361687,3000,20260830
