method,beta_group,beta,gamma_over_eta,n,n_total,n_valid,failure_rate,J1_primary,J1_valid,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,beta_mae,eta_bias,eta_sd,eta_rmse,eta_mae,gamma_bias,gamma_sd,gamma_rmse,gamma_mae,x0.90_bias,x0.90_sd,x0.90_rmse,x0.90_mae,x0.95_bias,x0.95_sd,x0.95_rmse,x0.95_mae,x0.99_bias,x0.99_sd,x0.99_rmse,x0.99_mae
Adaptive-MDM,far_ood,0.75,0.1,7,300,300,0.0,0.7233713273476714,0.7233713273476714,1.4272561945383033,1.7735827681759067,0.052383402434224555,0.41950438026468406,0.4220679244248549,0.33002817808616425,0.050154871089897905,0.5758571354052496,0.5770802197469549,0.43208621233676997,0.014066509644365715,0.10929370856900816,0.11001438259260968,0.07419195692229735,0.3057341078990852,0.808227113881919,0.862859765810586,0.49490046345381045,0.30288395574496046,0.8898395319386974,0.9385700303866119,0.5519085032390529,0.21345473971910725,1.0300270139293077,1.0502295256282144,0.6735178451056016
Adaptive-MDM,far_ood,0.75,0.1,10,300,300,0.0,0.6202049286125688,0.6202049286125688,1.1338681254815683,1.5520497801023965,0.0868412206773931,0.3609779879383759,0.37069145529068304,0.2730708766652881,0.06364935674792982,0.48508627012675726,0.48844197995431987,0.3660960673164141,0.008749174585785518,0.09283647621790027,0.09309366610087282,0.05609735837079189,0.23483423789978394,0.6450804394071342,0.6854843518889798,0.36382857463702817,0.22251917819808972,0.7381969872571545,0.7698266865696726,0.3982192534873451,0.14500280911886881,0.8742054677713061,0.8847110058472996,0.5136756583540018
Adaptive-MDM,far_ood,0.75,0.1,15,300,300,0.0,0.5324102534602205,0.5324102534602205,1.0294508042741968,1.2249143961048483,0.1174969050464811,0.3058753428344748,0.32719013172531497,0.24740841208377806,0.08428414230828231,0.40716924723596143,0.41513611007278073,0.32054077315123436,-0.0018600812967761815,0.06387052566863313,0.06379111070351037,0.04126018999986312,0.23161962979980746,0.47842442760864606,0.5308244713633233,0.33255598714050744,0.17400211760980203,0.4733545514543638,0.5035815589792603,0.26857847342028973,0.04737262883504042,0.5708972185847285,0.5719102971940289,0.34931317846932025
Adaptive-MDM,far_ood,0.75,0.1,20,300,300,0.0,0.407852007385526,0.407852007385526,0.7771541438549889,0.9455417821171078,0.0500620645214729,0.21803105363499503,0.22335015600063407,0.16774828484376825,0.05716111813179987,0.33483168017631393,0.33912525703974333,0.26822230488182347,0.001698165981384827,0.0381312293064104,0.03810548229092052,0.0225637487366765,0.13291994172458593,0.33606967363116885,0.36087956489320977,0.24233343540224306,0.10635029694035397,0.303218352375802,0.32085087446674126,0.17627747990192277,0.046379400794863045,0.34263107617328725,0.34518948853717524,0.1967842654861703
Adaptive-MDM,far_ood,0.75,0.25,7,300,300,0.0,0.8829139652650414,0.8829139652650414,1.7591684403551353,2.112886105295939,0.15580220719754478,0.4808761519714059,0.5047230875017877,0.3730748999344351,0.2000262674908856,0.6848368791468786,0.7123543501814994,0.5264308152992382,-0.009373963826320903,0.1315780866710648,0.13169265271910713,0.09259772223489157,0.17253500414139242,0.3871434577023772,0.4232597125954112,0.254134041320798,0.11386828012378615,0.39293188443607474,0.4084688476152687,0.252510524824503,0.018646748453247698,0.46826345494939725,0.4678541036030582,0.32258591273112847
Adaptive-MDM,far_ood,0.75,0.25,10,300,300,0.0,0.7012501084806304,0.7012501084806304,1.361325447100009,1.7109742198529563,0.14256612516371978,0.41322499405145235,0.4364754434871728,0.31535256103724874,0.13063078917127882,0.5229600396178385,0.5381821086829984,0.40847422513202647,-0.00965500999456349,0.10745318908768986,0.1077075659844419,0.07000270345674629,0.1461751796462218,0.3266187972190889,0.3573393658402705,0.2113867994242521,0.09336631070873737,0.3154153358232806,0.32843946058236,0.18974019276616583,0.008693515724050511,0.3744830979663409,0.3739595021423721,0.23845022928026732
Adaptive-MDM,far_ood,0.75,0.25,15,300,300,0.0,0.5335125617634434,0.5335125617634434,1.092077036018005,1.3836090983454963,0.10179940505541106,0.3234308775087975,0.33855865019322634,0.23228308031280293,0.06197321481385188,0.4018512441041863,0.40593942939124045,0.31752786491843854,-0.0031381416759486526,0.07234966425257243,0.07229712030397027,0.04256867113293044,0.09584905118277291,0.2039808331240655,0.22507004900775313,0.14939014383394011,0.06454722723978953,0.18612439800469763,0.19670577462760824,0.11284852014041964,0.013961397242807762,0.24267207575941774,0.2426692354732633,0.14483397492421596
Adaptive-MDM,far_ood,0.75,0.25,20,300,300,0.0,0.4348129165505181,0.4348129165505181,0.8357252007578794,1.0186312165355629,0.06702387480431637,0.25265903662460826,0.2609904211892962,0.18528259273045947,0.07036234985095924,0.33883485780120554,0.3455100928600708,0.26276272729076017,-0.0012423939843808748,0.03965787596473838,0.03961121278661996,0.022603421443817218,0.06636746986995559,0.16104376706698248,0.17393471663728766,0.11561115873061895,0.04339096446920132,0.12510669935317753,0.1322206100923895,0.0747801540209906,0.009947216994388742,0.13629216281180803,0.13642793796619315,0.07853964222296375
Adaptive-MDM,far_ood,0.75,0.5,7,300,300,0.0,0.8939650257597491,0.8939650257597491,1.7097199914420222,2.227937149656527,0.20437348029386873,0.5705963589797354,0.605197039796756,0.4253771838383602,0.15227538590171202,0.62326088394246,0.6405833868483292,0.4908240811404403,-0.023937929176740567,0.14853772313514552,0.15020963616491637,0.09877433694164489,0.0778597281926043,0.19622790349266897,0.2108060152912878,0.1295909856750647,0.0408929329502955,0.19713411503082978,0.20100883498800698,0.1314137310511438,-0.013636798384507891,0.24836080416042614,0.2483212456004974,0.16969532650507194
Adaptive-MDM,far_ood,0.75,0.5,10,300,300,0.0,0.7541721904621737,0.7541721904621737,1.5408487857008923,1.8127583895122945,0.18157449309477192,0.48233439518133875,0.5146263470600018,0.3701379695381216,0.10470649197376146,0.5282359694544948,0.5376491217224263,0.41102451602600787,-0.02257191158370219,0.12003070884976115,0.12193784354865123,0.07369628930906934,0.06629376176760206,0.15605432126933477,0.16931224861827399,0.10519124688683316,0.03243035394916115,0.1499685689268742,0.15319050542061208,0.09264902216607954,-0.016876478955613658,0.19810890568866496,0.1984971794763234,0.12437790410784771
Adaptive-MDM,far_ood,0.75,0.5,15,300,300,0.0,0.5739127608122058,0.5739127608122058,1.1182997582805205,1.4898688607420574,0.10501665806241924,0.35613645298066626,0.37072752038180806,0.25141162182736526,0.08975099925494225,0.4238377048187856,0.43254461876962835,0.3232281457040031,-0.010873093875645183,0.06884540816255943,0.06958531043317333,0.03887680604337548,0.045396678810570974,0.1017844738197663,0.11129422249497475,0.07633913010130301,0.023441257964307998,0.07363846469493572,0.0771624302751525,0.04942600787864073,-0.006232247082599569,0.1013908334347727,0.10141338671306861,0.06339728490445325
Adaptive-MDM,far_ood,0.75,0.5,20,300,300,0.0,0.42427343129311407,0.42427343129311407,0.7484174523004837,1.0104180240458274,0.06104834459728656,0.23397703771089215,0.24143253793440259,0.18026331917203506,0.03642106625059477,0.3453341692038469,0.34667659789080424,0.27147530098744305,-0.0017379460850358637,0.03918812545450458,0.03916134066453404,0.023235460221048557,0.03342295957172734,0.08392971348869782,0.09020981308487032,0.06265860437891653,0.02068118253251781,0.057267861768901994,0.06079792164117766,0.036461396080523616,0.0036990600670360196,0.06543302162469214,0.06542852407974556,0.040033058637975814
