method,beta_group,n_total,n_valid,failure_rate,J1_primary,J1_valid,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,beta_mae,eta_bias,eta_sd,eta_rmse,eta_mae,gamma_bias,gamma_sd,gamma_rmse,gamma_mae,x0.90_bias,x0.90_sd,x0.90_rmse,x0.90_mae,x0.95_bias,x0.95_sd,x0.95_rmse,x0.95_mae,x0.99_bias,x0.99_sd,x0.99_rmse,x0.99_mae
Adaptive-MDM,far_ood,24000,23990,0.0004166666666666208,0.6840452887625424,0.6833738799015766,1.2595487750684957,1.522124882676792,-0.14461712126163778,0.4148988850262017,0.4393723034318191,0.3518509205391402,-0.14416258029352721,0.40628729351453335,0.43109782378372913,0.3421273242409009,0.16460362983391122,0.24701152487647715,0.2968273994052516,0.21031617978717002,0.046349704267042206,0.22500951377494094,0.2297291142675294,0.11108142299151948,0.049910724377166926,0.24992485695098934,0.2548546857398054,0.12014863707457302,0.0642196533044619,0.3225641054117352,0.3288881707309176,0.1744183704140344
Adaptive-MDM,in_domain_unseen,42000,41986,0.0003333333333332966,0.5647566369374007,0.5640620265458396,1.079626470231197,1.2186911866516674,-0.20481440560418104,0.29437591770552324,0.3586140790791206,0.29486583852002196,-0.18307501923008343,0.2682326481057221,0.3247514473241521,0.2600992602328032,0.1687673152818784,0.2358332620609039,0.2899972578113493,0.22754522157372414,0.019848692148168322,0.14999614192354646,0.151301940855335,0.1065498695759751,0.0501405493425591,0.19332143725933987,0.19971570458555618,0.13685479866334924,0.13841348330129616,0.32440054743606056,0.35269179333897926,0.2296017763591885
Adaptive-MDM,near_ood,12000,11998,0.0001666666666666483,0.6188202108074704,0.6185120375374099,1.1767166243124072,1.3332951675335643,-0.16196154147427935,0.37029200086908837,0.4041488322047832,0.331104544013384,-0.16331153914309926,0.32362769928507173,0.3624869890073727,0.2949555037380864,0.16236913026472669,0.24792223239738972,0.2963512186689252,0.22189504807540225,0.0390374658216181,0.20736960830755188,0.2110035404375457,0.12018325665887596,0.05937994750776384,0.2616932513519216,0.2683349177266442,0.14446697018572785,0.10249424290660385,0.39509548791634724,0.40815744984264374,0.21956560661401625
Adaptive-MDM,seen_grid,48000,47990,0.0002083333333333659,0.569588774177714,0.5691594850157998,1.0836917045635575,1.2355278970947317,-0.20033297275163936,0.30284175371683353,0.36310400256330216,0.29861489222712045,-0.18131439112938003,0.27271832889233955,0.3274883899261581,0.2627231300583832,0.16947853165845456,0.23691254513876894,0.29128912985130856,0.2277606288744507,0.023729739041712786,0.15844765306923964,0.16021309601462705,0.1091496012290116,0.05366914325231682,0.20449553765958137,0.21141885077114497,0.13933945736730605,0.13863141176725643,0.33956504678934013,0.36677061858010696,0.2317404510210222
Direct-P,far_ood,24000,23932,0.0028333333333333544,0.758694269407975,0.7547614302019975,1.4436170567218098,1.7580671726868922,0.15173405769796675,0.5587507723650164,0.578975478312886,0.4795147108534189,0.1103995461217049,0.42844771771000184,0.4424339908036427,0.30521266703436484,-0.012671621083097367,0.19632986643928485,0.19673427717226036,0.16545383022842933,0.018155690694831243,0.2916525795538777,0.292211057245881,0.14929020830983547,-0.04176219316723371,0.2920697710186046,0.2950343496222973,0.1579159971659359,-0.12791745211106006,0.3118869884982982,0.33709390912709175,0.2161813590943371
Direct-P,in_domain_unseen,42000,42000,0.0,0.35321859137140404,0.35321859137140404,0.5972285525427744,0.6959300051466941,-0.07103063260154065,0.2324374149121039,0.2430457081662588,0.19446560487526846,-0.042199267659024556,0.18822887788645676,0.19289905413789313,0.15807809447399365,0.02856823061824744,0.16633287971300434,0.16876644199919266,0.1390716707416591,-0.012068804689229561,0.13657697357540807,0.13710755497847366,0.09786261959923126,-0.0019970779660680384,0.16677526307587318,0.1667852345281525,0.11571930565055152,0.037651060368256585,0.25366186315410133,0.256437928469151,0.166082097660256
Direct-P,near_ood,12000,12000,0.0,0.48725511454509224,0.48725511454509224,0.8084553925375386,1.0427416927861217,0.036617110136091126,0.37612465482238716,0.37788725775507176,0.32512898515730654,0.001277458192808145,0.24998811842441163,0.24998096610448678,0.19749174735309993,0.008952467627236407,0.17902739423398523,0.17924364329640896,0.14660766198561725,0.019265324438673556,0.22013419349353583,0.22096646264878012,0.12509507887959948,0.007935632225457631,0.2620820694272946,0.26219126884112304,0.1428574838099136,-0.018015322565825633,0.33421499318679,0.33468627879382445,0.18671968843058787
Direct-P,seen_grid,48000,47999,2.0833333333358794e-05,0.3658085632203575,0.36573632253939486,0.6137711757145129,0.7378559390058135,-0.060158294549034944,0.24964962930558865,0.2567930282391227,0.2061337330666927,-0.03842988513272603,0.19398283446861145,0.19775088414182615,0.16134197711254278,0.02773107643171823,0.16717223371578915,0.169454967745261,0.13937123317579792,-0.006919812740090841,0.1472605691807475,0.1474215291247602,0.10087771108372912,0.0019521520873468836,0.1798683329905572,0.17987705268786588,0.11901601113533117,0.036568471569877414,0.2674635012108384,0.26994904558720123,0.16884645541471788
MDM-0.1,far_ood,24000,23982,0.0007500000000000284,0.7584749584205922,0.7574376021980592,1.3044776384830137,1.6058737584200087,-0.1870329909708146,0.4531623915166334,0.49023354624912024,0.40115567147207387,-0.17721875019724487,0.43206031820685264,0.46698481771987616,0.3803644221776667,0.19675483654479267,0.27676470092646516,0.3395702745746323,0.24668928002250795,0.04631915004398713,0.22442669423274578,0.22915214275817528,0.11101712635884202,0.05126135743262518,0.2489735579950423,0.2541908231656187,0.12142805327680752,0.07050752972146766,0.3270697217467135,0.33457652937752624,0.18413270931620093
MDM-0.1,in_domain_unseen,42000,41975,0.0005952380952380931,0.620244543058819,0.6191461290916324,1.1156182309102078,1.236805967454447,-0.239118034802142,0.3062510992869219,0.38854206459935225,0.3287891750820336,-0.20168075842501035,0.29658179511740407,0.3586555366403248,0.2954853792600083,0.1868576939834436,0.262352894409801,0.32209191117329505,0.2603278515381864,0.019120300485524634,0.15062132311677437,0.1518282858524354,0.10711868923133291,0.04894484107213661,0.1968552639981363,0.2028464178024165,0.1403735427850556,0.1337939413072001,0.33808716940705114,0.3635945952965347,0.24424070686251845
MDM-0.1,near_ood,12000,11986,0.0011666666666666492,0.6972066789420778,0.6953745639364186,1.2347104043472434,1.4107709174866099,-0.19967528576682736,0.40986930468726296,0.4559046511226435,0.38227781925346976,-0.19154035038220413,0.35429548084045137,0.40274374099389426,0.3336235300897201,0.1898986913451778,0.27827892512924096,0.33688902081360284,0.2578255567741032,0.038559533190608,0.20654210341701282,0.2101021631527193,0.12002729342976079,0.059279740047989395,0.2602132119164467,0.2668695450384537,0.14531039692835568,0.10386635073613992,0.3982280191032269,0.4115343765897823,0.23001282024325787
MDM-0.1,seen_grid,48000,47976,0.0004999999999999449,0.6285296615275883,0.6276235131920087,1.1265554939863143,1.2635728045799437,-0.2349991461119491,0.31908974441746984,0.39628366278558586,0.33497017211646335,-0.2009667338860283,0.3017284458418675,0.3625269445742551,0.2988889685591076,0.18859565309523693,0.26434425193193556,0.32472256986291337,0.2611430949793296,0.02299343235068006,0.15878386772472655,0.1604384276335698,0.10959852070110124,0.05249710729421687,0.2070417788654928,0.21359155174168698,0.1425278116359816,0.1343946866080145,0.35096799781756455,0.37581631121772163,0.24600095803052444
