method,beta_group,beta,n_total,n_valid,failure_rate,J1,P95_joint_error,CVaR95_joint_error,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.95_bias,x0.95_sd,x0.95_rmse,beta_abs_bias,beta_abs_sd,beta_abs_rmse,eta_abs_bias,eta_abs_sd,eta_abs_rmse,gamma_abs_bias,gamma_abs_sd,gamma_abs_rmse
Adaptive-MDM,far_ood,0.75,6000,6000,0.0,0.6780926081520199,1.383435295837625,1.8550861501196796,0.1277966180688446,0.4227039484022403,0.4415663300268098,0.0925789675344267,0.4949479213972605,0.5034912920972185,-0.0104141077005874,0.1059183475270502,0.106420299752146,0.0690374128709514,0.331739559278209,0.3388199488078433,0.0958474635516335,0.3170279613016802,0.3311747475201074,92.57896753442677,494.9479213972605,503.49129209721855,-10.414107700587406,105.91834752705029,106.42029975214608
Adaptive-MDM,far_ood,1.0,6000,6000,0.0,0.5721398236873139,1.0805603625239968,1.437362872245443,0.1056218354053349,0.3955866597842491,0.40941262321292,0.0297138963965092,0.375629039606101,0.3767712500159282,-0.0062675913103231,0.1331629815679941,0.1332993134427225,0.0816219653836496,0.3371397973344855,0.3468521937454097,0.1056218354053349,0.3955866597842491,0.40941262321292,29.713896396509277,375.62903960610106,376.7712500159282,-6.267591310323117,133.1629815679942,133.29931344272254
Adaptive-MDM,far_ood,5.5,6000,5995,0.0008333333333333,0.7271011906409883,1.2702452382299043,1.3705515591712207,-0.3995538546984678,0.2000676183469315,0.4468373954540396,-0.3422932170986864,0.2286192228356127,0.4116098603429723,0.3305840390214077,0.2202857405382309,0.3972449118117022,0.0255275435751622,0.110072249117096,0.1129846649144898,-2.197546200841573,1.1003719009081232,2.4576056749972186,-342.29321709868634,228.6192228356128,411.6098603429724,330.58403902140776,220.28574053823093,397.2449118117023
Adaptive-MDM,far_ood,5.75,6000,5995,0.0008333333333333,0.7455482035401994,1.272964880105899,1.37619078706496,-0.4127689909915686,0.198939349409415,0.4582013782412094,-0.3569924350826872,0.2259285126392538,0.4224674865030448,0.3448006605250466,0.2162672437522122,0.4070027204623715,0.0234135754040917,0.1062951233553869,0.1088345720940684,-2.37342169820152,1.1439012591041364,2.634657924886954,-356.9924350826873,225.92851263925385,422.4674865030448,344.8006605250466,216.2672437522122,407.0027204623716
Adaptive-MDM,in_domain_unseen,1.75,6000,5999,0.0001666666666666,0.4832707140333245,0.8914914193430358,1.0677903694617925,-0.0267621490495838,0.3368307927203182,0.3378642970638902,-0.0542594520657502,0.2767895075475469,0.2820350133579689,0.0435840528049153,0.1937911936949416,0.1986160522166256,0.0762604533357441,0.2761273582979371,0.2864424286058151,-0.0468337608367718,0.5894538872605568,0.591262519861808,-54.25945206575025,276.7895075475469,282.0350133579689,43.58405280491534,193.7911936949417,198.6160522166257
Adaptive-MDM,in_domain_unseen,2.25,6000,6000,0.0,0.49014615508902,0.9176747070729002,1.0670218223796757,-0.1038244132286707,0.3091291975900956,0.3260742902696261,-0.1039253227674075,0.2646447604434168,0.2842985211608711,0.0872138853961992,0.2132943554040383,0.2304195335457718,0.0639004676085795,0.2333769638172334,0.2419483406293004,-0.2336049297645091,0.6955406945777152,0.7336671531066589,-103.92532276740756,264.6447604434168,284.2985211608711,87.21388539619922,213.2943554040384,230.4195335457718
Adaptive-MDM,in_domain_unseen,2.75,6000,5998,0.0003333333333332,0.5187630880944682,0.9660042602176528,1.112106934345361,-0.1620802114222225,0.2890593296980401,0.3313779722521746,-0.1498139554887961,0.2592330136104422,0.2993906688217209,0.134115663202926,0.2255876226366008,0.2624277084185163,0.0596558622063,0.2009931016720867,0.2096433007096306,-0.445720581411112,0.7949131566696105,0.9112894236934802,-149.81395548879613,259.2330136104423,299.390668821721,134.11566320292607,225.58762263660083,262.4277084185164
Adaptive-MDM,in_domain_unseen,3.25,6000,5998,0.0003333333333332,0.546780967180875,1.054122018090549,1.179483916928944,-0.2148942172987993,0.2666692630789831,0.3424619168095845,-0.1865469123561459,0.2550419985382069,0.3159672876152049,0.1693732684199572,0.2288768506917963,0.284715969270833,0.0443929227994406,0.1737997395710818,0.1793656739718715,-0.6984062062210982,0.8666751050066952,1.1130012296311498,-186.54691235614595,255.041998538207,315.9672876152049,169.3732684199573,228.87685069179636,284.7159692708331
Adaptive-MDM,in_domain_unseen,3.75,6000,5997,0.0004999999999999,0.5899921684854007,1.1154151581134957,1.2388905902017515,-0.2664047805409654,0.2492997834389919,0.3648445224188175,-0.2253451266491598,0.2522087217599923,0.3381997318050753,0.2115322229562498,0.2338838657441687,0.3153385839058086,0.0403557605652841,0.1531543816898048,0.1583696331639496,-0.9990179270286202,0.9348741878962196,1.3681669590705656,-225.34512664915985,252.2087217599924,338.19973180507526,211.53222295624988,233.88386574416876,315.3385839058087
Adaptive-MDM,in_domain_unseen,4.25,6000,5998,0.0003333333333332,0.6262284507349709,1.1617384689313344,1.2801496615840082,-0.3094001810914464,0.2304622629376173,0.3857881174992427,-0.2616728155700248,0.2441604504260823,0.3578785393491414,0.2489228576188389,0.2292139728069056,0.3383679579210914,0.0357047195765842,0.1387412822613738,0.1432506933430062,-1.314950769638647,0.9794646174848736,1.6395994993717815,-261.6728155700248,244.16045042608235,357.8785393491414,248.9228576188389,229.2139728069056,338.36795792109143
Adaptive-MDM,in_domain_unseen,4.75,6000,5996,0.0006666666666667,0.671207253639651,1.211093664879946,1.322822721755435,-0.350457078655322,0.2189260732485843,0.4132079332423974,-0.3000554720162473,0.2365427874258439,0.3820686390348506,0.2867237827435933,0.2238723682559916,0.3637595444071841,0.0306966015492472,0.1262109206731007,0.1298800262036109,-1.6646711236127796,1.0398988479307756,1.962737682901388,-300.0554720162474,236.54278742584384,382.06863903485066,286.72378274359323,223.8723682559917,363.75954440718414
Adaptive-MDM,near_ood,1.25,6000,6000,0.0,0.5131235228977428,0.9428757054583572,1.2270142139758866,0.0574421687297506,0.366111307442124,0.3705600526281614,0.0004469474475832,0.3174417725090875,0.3174156325953558,0.0088713133735125,0.1585995127080434,0.1588342322400769,0.0905631842723172,0.3485972235485391,0.3601408908662195,0.0718027109121882,0.4576391343026549,0.4632000657852018,0.4469474475832649,317.4417725090876,317.4156325953558,8.871313373512521,158.59951270804345,158.83423224007691
Adaptive-MDM,near_ood,5.25,6000,5998,0.0003333333333332,0.7089295852597872,1.248221970160522,1.3449271732860446,-0.3814384106346961,0.2094720403674376,0.4351625917693622,-0.3271246300974332,0.2346269871817798,0.4025557957606862,0.3159181301559045,0.2250440559999424,0.3878667921890775,0.0281863128649962,0.1161651299572652,0.1195263813755777,-2.0025516558321548,1.0997282119290477,2.2846036067891515,-327.1246300974332,234.62698718177987,402.55579576068624,315.9181301559046,225.0440559999425,387.8667921890776
Adaptive-MDM,seen_grid,1.5,6000,6000,0.0,0.4869063524869603,0.8775744144871662,1.102925387198243,0.013488460855068,0.3476836342723916,0.3479162266966576,-0.0295349841394706,0.2873380621292424,0.2888281785236956,0.0289968123132369,0.178255039955535,0.1805834393957547,0.091409662112861,0.3148626343110772,0.3278378894105301,0.020232691282602,0.5215254514085874,0.5218743400449865,-29.534984139470676,287.3380621292424,288.8281785236956,28.99681231323694,178.255039955535,180.5834393957547
Adaptive-MDM,seen_grid,2.0,6000,6000,0.0,0.489874088429476,0.909198243480931,1.085969236430934,-0.0643054550117594,0.3289580354521542,0.3351574929312517,-0.0805014987113138,0.2689806144167265,0.2807472240259531,0.0700400276015238,0.209591959881309,0.2209684901708144,0.0796835773528185,0.2657938246559599,0.2774600067255007,-0.1286109100235189,0.6579160709043085,0.6703149858625036,-80.50149871131387,268.9806144167265,280.7472240259531,70.04002760152387,209.59195988130904,220.96849017081448
