budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,beta,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x0.90_rmse,x0.95_rmse,x0.99_rmse
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,0.75,6000,6000,0.0,2.480843756504672,1.6004807757620754,0.7221923905550487,1.7558512566800073,1.3286692503856055,1.0076651600318816,1.6675076671937272,-0.4572788607382037,0.286181728928579,0.5394351568572304,1.5726021240913841,1.2644000969948759,0.7071328034181977
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,1.0,6000,6000,0.0,1.647376972192178,1.2663757734133594,0.3953135080704371,1.3266327011232721,0.6955370982625955,0.524832763733314,0.8713067064525473,-0.3751074440555394,0.23243192040676613,0.44127223809146765,0.823609058035831,0.7677229066720799,0.5546791916123417
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,1.25,6000,6000,0.0,1.1971347341162846,0.960936057401888,0.2373663143727606,0.9898138628817001,0.4515528079458,0.3573760801117476,0.5758440020723223,-0.29353111695413237,0.1888099538291763,0.349003973834404,0.5064176506256146,0.521381992120247,0.48633076515926454
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,1.5,6000,6000,0.0,0.8905752374139978,0.7190632381757951,0.15715639100728707,0.7360339362930827,0.30482987722607396,0.2836549041742002,0.4163747695217547,-0.22262464283732467,0.1686812380018706,0.2793033287048589,0.3521803802373856,0.3903047926604806,0.4352808305628594
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,1.75,6000,6000,0.0,0.6610693638877522,0.5242040284699356,0.11321949821075548,0.5362894571001203,0.20734133783695802,0.2340551578348804,0.31267094041869664,-0.16630449234068356,0.154887117785029,0.22725141383917352,0.2659751106538893,0.3092912035268642,0.38926484645446346
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,2.0,6000,6000,0.0,0.49092502039824787,0.3688984230370593,0.0866340232709761,0.3789330410486095,0.13543570231260402,0.2060863641424802,0.24659144419084714,-0.11137939685810128,0.15559065011691678,0.19133683834156265,0.22425863951241587,0.27358113240268334,0.38393931262144004
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,2.25,6000,6000,0.0,0.360451856527937,0.23996009509633315,0.0684600571483125,0.2495332553658677,0.07947317479484595,0.18566007356924366,0.20194034635478245,-0.07180336616355872,0.1473997611177547,0.16394752774915408,0.18301406695447422,0.22699698925734005,0.3355831204949793
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,2.5,6000,6000,0.0,0.26970438484600223,0.13499448226946764,0.05853833463264133,0.1471382878179383,0.029993722363111413,0.16835202624535994,0.17098919377548477,-0.03196396941530534,0.14434421455825394,0.147829209140737,0.15404119969901406,0.19412338429542172,0.3007065260532063
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,2.75,6000,6000,0.0,0.22679692363319323,0.046404859830034735,0.049616415519155584,0.06793224129012561,-0.00563027186872137,0.16088051846544738,0.16096560945169805,0.002497510248502073,0.14460074368767453,0.14461026151910547,0.1376779439302835,0.17525112526264439,0.2804814002569539
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,3.0,6000,6000,0.0,0.21904023291505278,-0.02952718278686262,0.044041968170535954,0.05302099773834805,-0.03414439823556074,0.15335605728922014,0.1570986968695537,0.02932571102732472,0.14010949763486844,0.143134191848764,0.12139904455126958,0.15353892628006785,0.24908525123537056
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,3.25,6000,6000,0.0,0.24259437967872893,-0.09496847782553627,0.03974625814656433,0.10294908218619499,-0.06337675163513325,0.14851247741268625,0.16145864053192424,0.052115069587934194,0.13954172051199934,0.1489450466659105,0.11037362610281022,0.13854749809142294,0.2256458102475104
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,3.5,6000,6000,0.0,0.2809994659284514,-0.1516865990660246,0.03542803496093663,0.15576829204451947,-0.08538165768296066,0.14722576219350536,0.1701817850162191,0.07698186063665148,0.14075579653995546,0.16042162913491922,0.1027957715439323,0.12828306183560004,0.20935439749275866
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,3.75,6000,6000,0.0,0.31981166191582866,-0.20214736785290757,0.03208455335803771,0.20467732000464242,-0.10191534867547318,0.14592278853028035,0.1779793516059118,0.09174656330156312,0.14246401287062013,0.16944038531300842,0.09771144198885089,0.11954570827217371,0.19070034488302248
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,4.0,6000,6000,0.0,0.3595519595883733,-0.24642482650325423,0.02920153963300612,0.24814871128507632,-0.11849228005342949,0.14724326417650238,0.188990438508947,0.10726218150495943,0.14311072897997448,0.17883635783472843,0.09601030520992156,0.11505766042739889,0.17730823212362573
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,4.25,6000,6000,0.0,0.3982222003435664,-0.2863750838717815,0.026796720679120846,0.2876258563209357,-0.1340855423918301,0.14716549239794596,0.19908039887831505,0.1226097813672478,0.14556667038474563,0.19031364219248972,0.09434637495495224,0.11142942269029313,0.16725047068601595
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,4.5,6000,6000,0.0,0.43193679922354433,-0.32206216959292294,0.024416967267155355,0.3229862690714745,-0.14541858495715299,0.14809108704709695,0.20754247698255512,0.13445764622303819,0.14525855158765574,0.1979277362137887,0.09332735795762818,0.10843375422639115,0.15597756404485605
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,4.75,6000,6000,0.0,0.4640178687122023,-0.3545860117764582,0.02243917744602469,0.3552951906690286,-0.15748746147569506,0.1482411396657749,0.21627314544086315,0.1449628385848037,0.14592176267562598,0.20567896473093328,0.0937669093032739,0.10711196078514924,0.14649203628658303
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,5.0,6000,6000,0.0,0.4947362683596909,-0.38362464399854873,0.020600025081059275,0.38417724788112406,-0.16858734004492765,0.14967846451999345,0.2254364656040148,0.15554608127792993,0.14886009282951948,0.21529100635402154,0.09466210528661312,0.10716283843998278,0.14122957467318212
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,5.25,6000,6000,0.0,0.5215322776491987,-0.41067941046456946,0.01914777827695697,0.41112547292309,-0.176000468006626,0.15105406596692955,0.2319260500573808,0.16387494337159922,0.14943491620934293,0.2217703078604252,0.0958684239921917,0.10767675430406799,0.13577878693783907
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,5.5,6000,6000,0.0,0.5457517227706362,-0.4353022969661503,0.017613215352942198,0.4356584251392939,-0.18328477576489588,0.15116678856579355,0.23757293285674602,0.17031248671092533,0.15034362360044443,0.22716905838188367,0.09781577053354276,0.10925290553631892,0.13244729582666345
fixed_density,center_w1_2.5_3.5,"[2.5, 3.5]",2.5,3.5,1.0,4500,5.75,6000,6000,0.0,0.5684231657017182,-0.45806521537482925,0.016639953712726405,0.458367301896569,-0.19051645153584085,0.15190341227546372,0.24365409742562183,0.17646929878507156,0.14999776378540922,0.23159661626657715,0.10108730938073665,0.11230826767728277,0.1309439307506941
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,0.75,6000,5999,0.0001666666666666483,1.7475355713166263,1.025701157770358,0.691706689253521,1.2371100406563709,0.8978201474874028,0.741929565309489,1.164666792939033,-0.3507607934804346,0.20983018216409377,0.4087230116463466,0.7164557238528083,0.6146177437338805,0.6465420923295769
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,1.0,6000,6000,0.0,1.180189662714223,0.861253447660636,0.4049596293030813,0.9516945257919652,0.46401046954692055,0.42255902052422145,0.6275604212514033,-0.2621823091547966,0.15670870089530356,0.30543917108628854,0.4695355185812353,0.45989361446619237,0.5012217456240691
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,1.25,6000,6000,0.0,0.8571058620769102,0.6541260217973446,0.26423223130204887,0.705469976686419,0.29237790696394245,0.3018450523767461,0.42021433941778924,-0.19786131076368857,0.14566028149137655,0.24568776882119708,0.3668614202509339,0.40703592440759506,0.4805252633037071
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,1.5,6000,6000,0.0,0.6395077433492435,0.4812903589430449,0.1958268993205354,0.5195981069505583,0.188253668123757,0.24832502129298115,0.3115998751756957,-0.14440996441832307,0.14506118760343542,0.2046789653274829,0.2917473914612294,0.34273574932188405,0.4393523761100546
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,1.75,6000,6000,0.0,0.48246199287481656,0.3382216557595193,0.16476828477709224,0.3762152991685537,0.12008050717484581,0.21187969200740253,0.24352587115377652,-0.1067496172846617,0.1432993893257209,0.17868064617929225,0.23025158647672136,0.2800817054293572,0.3894559380145613
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,2.0,6000,6000,0.0,0.3783363287195309,0.22785397534702542,0.14917794572172796,0.2723376297195867,0.07190918222057358,0.1926809448067441,0.20564700173234382,-0.06919397479192582,0.14797211524415763,0.1633398412702413,0.19697678674323377,0.24757295418227063,0.3731161764846009
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,2.25,6000,6000,0.0,0.3046622364327701,0.13320280541145701,0.13473106474034224,0.18945295396372444,0.03338689284462267,0.18032037989604027,0.18337040322737375,-0.043755813555469536,0.14625643815087983,0.15264976830269472,0.1644940114318472,0.20758307912270585,0.32461961640859416
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,2.5,6000,6000,0.0,0.26802576221108554,0.05992594979064512,0.13004602976893703,0.1431791557990585,-0.0009558583806969464,0.17096198406344007,0.17095040896944177,-0.01618935457437091,0.1478345140094275,0.14870607326764743,0.14364200240303934,0.1816119131055612,0.2917627366412801
fixed_density,center_w2_2.0_4.0,"[2.0, 4.0]",2.0,4.0,2.0,7500,2.75,6000,6000,0.0,0.25657335108692236,-0.0030375683736989043,0.12160454740709208,0.12163234833183531,-0.02462525307825365,0.1666287849979761,0.1684248424483103,0.008730229379666722,0.15031991844554976,0.15056071457560924,0.13178937406560667,0.16658478228424453,0.2712888607614265
