budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,n_train_per_n,n,beta,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x095_bias,x095_sd,x095_rmse
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,7,0.75,1500,1500,0.0,1.4300139796889835,1.0791934897100275,0.39643739300946845,1.1496592624502273,0.47391969457084404,0.6583058113632495,0.8109731852220712,-0.20991988160492966,0.14660841680470904,0.2560196383465384,0.05844541762625743,0.5401862779304428,0.543159780877239
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,7,1.0,1500,1500,0.0,0.9270925912393054,0.7320004904022696,0.2633795258968019,0.7779121073495469,0.2106299772942329,0.4065864732215871,0.4577852544242401,-0.15011503113191862,0.14921933018925115,0.21162723549092377,0.13419531876979068,0.483725294982249,0.5018391686035667
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,7,1.25,1500,1500,0.0,0.6403919861667422,0.4728378164069501,0.2059437295480298,0.5157132392633377,0.11554575936390701,0.309400721608303,0.3301754228200004,-0.09865265087951161,0.15940682479860888,0.1874191584676825,0.1545541573725697,0.46268783243874817,0.4876723262886884
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,7,1.5,1500,1500,0.0,0.47567053006064486,0.2983495134434839,0.18338881466168366,0.35017348349556526,0.05412095253469817,0.2647454883364216,0.2701342709012632,-0.0637712930604219,0.16315461616715535,0.17512412829018992,0.12523667144826253,0.3801390293201197,0.40011694336382203
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,7,1.75,1500,1500,0.0,0.3666534212135823,0.16074123955105346,0.16455682704765232,0.22999704951915098,0.011309182208627505,0.23385029527110654,0.23404572393775125,-0.03740587749429861,0.15929973489977334,0.16358082897015708,0.0770090425138097,0.2977321578506739,0.30743411351935784
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,7,2.0,1500,1500,0.0,0.3206248605633166,0.06468287491771653,0.15272964438570735,0.16581516120555082,-0.024565459463285266,0.2141645198444502,0.21549785551401532,-0.007859115604810863,0.1697756105423202,0.16990087637938783,0.06497733904326286,0.2879876395113005,0.2951332645547765
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,7,2.25,1500,1500,0.0,0.3022250753547757,-0.02306225225221906,0.14013459189611543,0.14197351697507488,-0.04484680232716611,0.20521893359941423,0.20999516624479936,0.011179365858315084,0.16425149706048572,0.1645768720226116,0.02920262184763709,0.24245654828723778,0.2441286153067672
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,7,2.5,1500,1500,0.0,0.3080958527878647,-0.08796075173759092,0.12932202687233235,0.15636537667544598,-0.07037010133324492,0.19272628677198664,0.20511121493836926,0.030067006806924708,0.165881380848125,0.16852985785531782,0.007358529730591935,0.21436959855514973,0.2144244308094787
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,7,2.75,1500,1500,0.0,0.3292954239263981,-0.14567481327644644,0.11600368813895053,0.1861962288765767,-0.07972661915979684,0.19371062727858082,0.2094161527960505,0.049120362025616864,0.1658820367620562,0.17294888123115726,-0.005722269442386074,0.19459680688452188,0.19461607420523297
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,7,3.0,1500,1500,0.0,0.35152826594381364,-0.19583354422498583,0.10383871474532515,0.2216440105316643,-0.09095528604660581,0.18339788821300537,0.20465880452729748,0.06674151841298777,0.16770553926716578,0.18044619165380432,-0.015550605234869124,0.1831063498075967,0.18370466707772962
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,7500,7,3.25,1500,1500,0.0,0.3783339370776978,-0.2372041234984283,0.09648543842055372,0.25606450308202805,-0.10411129562527079,0.18155160153154618,0.209232339532148,0.07815520490477386,0.16643195800093466,0.18381884098200973,-0.03227145842050712,0.1664933334424279,0.16953759786343603
