budget_policy,domain_id,domain_label,probe_type,beta,J1,beta_rmse,eta_rmse,gamma_rmse,x095_rmse,failure_rate,n_total,n_valid
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",seen_grid_center,2.5,0.22877105491511893,0.0773162998418486,0.16380098401045232,0.13974127158055089,0.1808761450002291,0.0,6000,6000
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",in_domain_unseen_center,2.25,0.2321656882911122,0.0830464410944901,0.16854733292080964,0.13636712216112443,0.2046681181637227,0.0,6000,6000
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",near_ood_low,1.75,0.3982037997871415,0.28788317822963666,0.22389880793436784,0.15723007790628513,0.27455887286043296,0.0003333333333332966,6000,5998
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",near_ood_high,3.25,0.3420563146935111,0.23090159381116124,0.18694582190339842,0.16952355609187378,0.14102999584818063,0.0,6000,6000
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",far_ood_low,1.25,0.8214482637164461,0.6666834350473797,0.41791740309721453,0.23591416147546207,0.40828606073919366,0.0,6000,6000
fixed_density,narrow_2.0_3.0,"[2.0, 3.0]",far_ood_high,3.75,0.42294105532577975,0.31599805460429575,0.2042444676706851,0.19315424715056956,0.12677253141697278,0.0,6000,6000
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",seen_grid_center,2.5,0.28624386821435455,0.16507586061030063,0.18076356629799017,0.14835782902603248,0.17895032015006834,0.0,6000,6000
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",in_domain_unseen_center,2.25,0.28323145126728566,0.16020845875356265,0.18313173202094934,0.14496921555208903,0.19746793216756076,0.0,6000,6000
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",near_ood_low,1.25,0.5341430422865276,0.4213106373496813,0.28336215274236654,0.16586749793833747,0.34091497386448383,0.0,6000,6000
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",near_ood_high,3.75,0.39610687061383665,0.28978119082342324,0.1992197344297818,0.18231569270409148,0.1300820398902384,0.0,6000,6000
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",far_ood_low,0.75,1.2157862047343222,0.9268664216746783,0.7422517595999427,0.24559401489270208,0.41129442457501514,0.00649999999999995,6000,5961
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",far_ood_high,4.25,0.45015161723456526,0.343751411933353,0.21258943414746037,0.19818470622523687,0.123101454165878,0.0,6000,6000
