n,K,jparam_bound,jparam,oracle_gap,acc_mean,acc_beta,acc_eta,acc_gamma,time
5,5,0.23252031477264093,0.6142087129883128,0.3816883982156719,0.4226666666666667,0.354,0.552,0.362,3.644496202468872
5,10,0.11720773599516027,0.6050510656767317,0.48784332968157146,0.21466666666666664,0.16,0.292,0.192,6.749123811721802
5,20,0.05824793805123088,0.6134896566698667,0.5552417186186358,0.12733333333333333,0.078,0.182,0.122,12.638511419296265
5,50,0.02360503046934255,0.6256283398929235,0.602023309423581,0.042666666666666665,0.028,0.064,0.036,29.4972186088562
7,5,0.23252031477264093,0.5999386369257846,0.36741832215314374,0.436,0.396,0.554,0.358,3.9766087532043457
7,10,0.11720773599516027,0.5897119881834203,0.47250425218826003,0.23866666666666667,0.184,0.32,0.212,7.266663312911987
7,20,0.05824793805123088,0.580816732222665,0.5225687941714342,0.12666666666666668,0.098,0.18,0.102,13.502291202545166
7,50,0.02360503046934255,0.5838961143125306,0.560291083843188,0.04466666666666667,0.03,0.066,0.038,29.850042819976807
10,5,0.23252031477264093,0.5568358836596379,0.324315568886997,0.44,0.398,0.558,0.364,3.9213638305664062
10,10,0.11720773599516027,0.5376398652759173,0.42043212928075707,0.26066666666666666,0.202,0.384,0.196,7.378348350524902
10,20,0.05824793805123088,0.5394304589401877,0.48118252088895686,0.13466666666666666,0.104,0.19,0.11,13.835776329040527
10,50,0.02360503046934255,0.5527468984451852,0.5291418679758426,0.05533333333333334,0.044,0.086,0.036,30.048606872558594
15,5,0.23252031477264093,0.5002336205331207,0.2677133057604798,0.4546666666666666,0.388,0.572,0.404,3.847822427749634
15,10,0.11720773599516027,0.479538801576824,0.3623310655816637,0.24133333333333332,0.168,0.354,0.202,7.395291805267334
15,20,0.05824793805123088,0.4805498208298609,0.42230188277863,0.136,0.094,0.19,0.124,13.730209827423096
15,50,0.02360503046934255,0.48836632509125494,0.4647612946219124,0.04933333333333333,0.044,0.072,0.032,29.378355979919434
20,5,0.23252031477264093,0.4323729844961754,0.19985266972353447,0.48533333333333334,0.43,0.586,0.44,3.8954083919525146
20,10,0.11720773599516027,0.4147053131100839,0.29749757711492364,0.2866666666666667,0.232,0.396,0.232,7.221973180770874
20,20,0.05824793805123088,0.4250561237015358,0.36680818565030493,0.13999999999999999,0.106,0.182,0.132,13.320033311843872
20,50,0.02360503046934255,0.4347994771812905,0.41119444671194794,0.056,0.028,0.104,0.036,29.321855783462524
50,5,0.23252031477264093,0.34897342360013617,0.11645310882749524,0.584,0.542,0.69,0.52,3.7478606700897217
50,10,0.11720773599516027,0.3117494580497134,0.1945417220545531,0.3466666666666667,0.316,0.426,0.298,7.321613073348999
50,20,0.05824793805123088,0.3105519822074109,0.25230404415618,0.18333333333333335,0.15,0.246,0.154,12.735791683197021
50,50,0.02360503046934255,0.3244981935535324,0.30089316308418984,0.07066666666666667,0.052,0.114,0.046,28.425382375717163
