train_n,test_n,jparam,rmse_beta,rmse_eta,rmse_gamma
5,5,0.518401842603418,0.3563970044882146,0.299637111845978,0.22790183590977808
5,7,0.5150021955364879,0.3660023140036025,0.28829688414530885,0.21944127720991244
5,10,0.5141300541175516,0.3729115602886551,0.2775604754617181,0.21960615476680603
5,15,0.514954724722201,0.38868441983910634,0.25996538934240915,0.2156867789923731
5,20,0.5146702717203322,0.4001459525493817,0.24509659686614058,0.21141514481149462
5,50,0.5505651779697526,0.4543329653016319,0.24154957731476648,0.19585038558080292
7,5,0.5080790650408533,0.3442532409141546,0.29973467370725426,0.22314382767734006
7,7,0.49014301506105734,0.34068256805127906,0.282564140929365,0.21055419563613414
7,10,0.4849334088022064,0.3377417692053761,0.2789322846678451,0.20805693662198946
7,15,0.4682233254105196,0.332322850099718,0.2638391455153884,0.19794825347498107
7,20,0.4664994578264404,0.34135293892309876,0.2514773191964964,0.19457408144629526
7,50,0.46912620056855986,0.37437682653537613,0.21461727405458375,0.18401306880374904
10,5,0.5181184346580496,0.35798875225476384,0.29881451214388055,0.22583324140568775
10,7,0.4885038185005661,0.3387660892706702,0.2809037986593956,0.2120532323465315
10,10,0.4708131863601047,0.32172485517577726,0.2721090666273277,0.2100353062508406
10,15,0.4378335939657889,0.2978826268919818,0.2537209556699856,0.19644305346547844
10,20,0.4330324301600921,0.3005865834851326,0.2452332368101222,0.19241998587132517
10,50,0.4208124874976075,0.3147127803038193,0.21430066315988758,0.17920446790355563
15,5,0.5655781137259404,0.41002648935620906,0.3192431771547453,0.22325025104612806
15,7,0.5167996470052609,0.3678086714261395,0.29596195450993495,0.21025027431886922
15,10,0.47270033168986714,0.32992116174693603,0.2706660110576247,0.2033163571122999
15,15,0.41240501935468826,0.275787011312349,0.24369241571992922,0.18610059349966704
15,20,0.39900779833600003,0.27204823989214466,0.22786391513782436,0.18241440316650057
15,50,0.3750167738682452,0.27450647219782737,0.18824695719465273,0.17276243952608616
20,5,0.5557057847459387,0.39682080082378746,0.3149888008658082,0.22830730729170254
20,7,0.5143306521731751,0.3656462712027556,0.28906630551466805,0.2174384858678546
20,10,0.4728816248957064,0.3286696366163115,0.26909698154820944,0.20779825709603023
20,15,0.39831385298072,0.26602327657712066,0.2367042108606616,0.17848433644538902
20,20,0.37558878029559967,0.2511062509264311,0.21937939930833808,0.17287354276673228
20,50,0.31935142730535443,0.22075527491543767,0.17489481987693947,0.1505464868377523
50,5,0.6424223686923279,0.47478714909902103,0.33737371348574113,0.2710399238037201
50,7,0.5874723469969395,0.428487690173548,0.3138316926358585,0.2510612008119575
50,10,0.5308814680764605,0.37829255112571,0.2902847113017404,0.2333766597033332
50,15,0.424459431104566,0.27957479577708416,0.2530080154376947,0.19491199640887366
50,20,0.3872379277149331,0.25359377761907403,0.23025465286176114,0.18062725001879773
50,50,0.2868973857583664,0.19009390199923445,0.16563235395524328,0.13689536771175037
