budget_policy,domain_id,domain_label,train_beta_min,train_beta_max,train_beta_width,n_train_per_n,beta,n_total,n_valid,failure_rate,J1,beta_bias,beta_sd,beta_rmse,eta_bias,eta_sd,eta_rmse,gamma_bias,gamma_sd,gamma_rmse,x095_bias,x095_sd,x095_rmse
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,0.75,6000,5961,0.00649999999999995,1.2157862047343222,0.8230183659140955,0.4263245515882071,0.9268664216746783,0.4960362163936806,0.5522109216428744,0.7422517595999427,-0.20811820032192585,0.13040739142254235,0.24559401489270208,-0.0900226657272533,0.40135526241462943,0.41129442457501514
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,1.0,6000,5997,0.0004999999999999449,0.7749397729801555,0.5704332243707068,0.2685816531471565,0.6304903957831582,0.2219653827745488,0.34109987741435643,0.40693777939713105,-0.15052895291880036,0.11714525283873715,0.1907345999470172,0.015177432231782022,0.3477079965624148,0.3480101221238764
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,1.25,6000,6000,0.0,0.5341430422865276,0.366272375865998,0.20821725567076554,0.4213106373496813,0.11898584629230131,0.2571915678490553,0.28336215274236654,-0.1077414654175488,0.12612079359790945,0.16586749793833747,0.047883497837728564,0.33756359633424277,0.34091497386448383
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,1.5,6000,6000,0.0,0.4023511427586195,0.22475936801256846,0.187748899993773,0.2928490191492984,0.058713413867614445,0.2225884284739744,0.23018387401616194,-0.07203544184838162,0.13399688746654823,0.15212257625143144,0.04995021995789384,0.2897682420043862,0.2940181359641082
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,1.75,6000,6000,0.0,0.330156849232396,0.12254597131524633,0.17835077921966105,0.21638210192569704,0.022455269990681336,0.20049309257745698,0.20173006652851375,-0.05009016922728849,0.13777318259166743,0.14658550855961772,0.026755077204724486,0.24149886295975057,0.24295640490346138
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,2.0,6000,6000,0.0,0.29755147034748064,0.04646794225255835,0.17177900261230034,0.17793925196924382,-0.004253100677657484,0.18775121369152,0.18778373737264717,-0.02277382730538123,0.14524681404066594,0.14700941498058653,0.021007234829487197,0.22437146819920503,0.22533412797685826
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,2.25,6000,6000,0.0,0.28323145126728566,-0.020286922895537136,0.1589320638379026,0.16020845875356265,-0.028345468320141284,0.18093983042918982,0.18313173202094934,-0.0036674274763100504,0.14493489729611853,0.14496921555208903,0.002044435416859301,0.19747380544179677,0.19746793216756076
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,2.5,6000,6000,0.0,0.28624386821435455,-0.07260215168929623,0.14826540762485874,0.16507586061030063,-0.052058548404432525,0.1731195237411848,0.18076356629799017,0.019570891141644425,0.14707355560523375,0.14835782902603248,-0.00611151129820867,0.17886083522632934,0.17895032015006834
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,2.75,6000,6000,0.0,0.29963683194510354,-0.12039817006334769,0.1349690442106484,0.1808571982050744,-0.06902119238135071,0.168050134536683,0.1816592026504237,0.04224447843982208,0.14930491745305743,0.15515424263590394,-0.009303579511774246,0.16806731430314803,0.16831063828067697
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,3.0,6000,6000,0.0,0.3168300247154493,-0.16398939205975438,0.12202153121218959,0.20439983670528858,-0.08275314404259672,0.16337191326870823,0.1831229545879095,0.05931024832613658,0.14681226641346512,0.15832862918322133,-0.019249466412654136,0.15256042843749262,0.15375742963560832
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,3.25,6000,6000,0.0,0.3415125686473468,-0.20338596445355642,0.11104613986481071,0.23172190338431242,-0.10123214897551319,0.15997420246536725,0.18930247792810778,0.07482950656225462,0.14664410972307748,0.1646218876284026,-0.029495244754128704,0.14164857327106312,0.14467530445719504
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,3.5,6000,6000,0.0,0.3689704422472052,-0.24015326374015383,0.09996927239974117,0.2601264689850128,-0.11460437284553529,0.15720091927938962,0.19453064696708652,0.0941403154395399,0.1475549542681852,0.17501781273931555,-0.031581619447057174,0.13262341258849036,0.13632107965603824
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,3.75,6000,6000,0.0,0.39610687061383665,-0.27532106243314586,0.09040361315384596,0.28978119082342324,-0.12494764428549242,0.1551792583030351,0.1992197344297818,0.10473475949418828,0.14924260177832882,0.18231569270409148,-0.04219932022647274,0.12305721563897008,0.1300820398902384
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,4.0,6000,6000,0.0,0.42183985618708236,-0.3057796493014239,0.08149273137701173,0.3164508687774081,-0.13540466373002097,0.1547318286733723,0.20560245971610308,0.11590908866177803,0.14867450238756358,0.18850819737255514,-0.05032117180250721,0.11681046743487737,0.12717952476603667
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,4.25,6000,6000,0.0,0.45015161723456526,-0.3356886823208994,0.07402063863312677,0.343751411933353,-0.14649452534755175,0.1540700419202333,0.21258943414746037,0.12834292091850788,0.15102673254762908,0.19818470622523687,-0.05523467471133563,0.11002325320886104,0.123101454165878
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,4.5,6000,6000,0.0,0.4741710990299212,-0.36266053634078693,0.0672654166091849,0.3688448817383118,-0.1539645609932337,0.15391597555141615,0.2176953495534413,0.1373220588644036,0.15015601588878044,0.20347092950468168,-0.06304724554362166,0.10319869785736535,0.12092622302415192
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,4.75,6000,6000,0.0,0.49917091496891236,-0.38838142179672575,0.061985531782518186,0.3932959376595645,-0.16359757720155776,0.15392758797716768,0.22461950195007171,0.1459955237145547,0.15074840524534158,0.20984753302120762,-0.07068321091565237,0.09718112556976564,0.12016119774629963
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,5.0,6000,6000,0.0,0.5222030577445068,-0.4109298778379042,0.0563799814382778,0.41477890137172785,-0.17171976247227652,0.1544152673935691,0.23092807888018974,0.15450201183797954,0.15316578330954467,0.21754704980596745,-0.0757615822018016,0.09247364060919898,0.11953981059130489
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,5.25,6000,6000,0.0,0.5438826607551648,-0.4335454810195514,0.05256723194441647,0.4367202049762066,-0.17700872646588475,0.15522898919684783,0.23542326207415232,0.1614895070631372,0.1535733336661345,0.22284456221775462,-0.08220173374740254,0.08773268364981697,0.12022007309173036
fixed_density,medium_1.5_3.5,"[1.5, 3.5]",1.5,3.5,2.0,7500,5.5,6000,6000,0.0,0.5637548407860488,-0.4542564315593705,0.04858046721981055,0.4568463352865114,-0.18260738078917163,0.15518801769893273,0.239634643716637,0.16655101845981762,0.15476089314851724,0.22734595658552614,-0.08923974509508188,0.08274308040419495,0.1216922692279634
