group_type,group_value,selector,J1_fixed,J1_selected,relative_J1_improvement
n,7.0,n,0.7633086673112072,0.7633086673112072,0.0
n,7.0,cell,0.7633086673112072,0.6850517281374768,0.10252332054527091
n,10.0,n,0.6571370100580288,0.6571370100580288,0.0
n,10.0,cell,0.6571370100580288,0.6234401351569612,0.05127830937127109
n,15.0,n,0.565086817868696,0.565086817868696,0.0
n,15.0,cell,0.565086817868696,0.5489173349160533,0.028614157048695854
n,20.0,n,0.5058366872104869,0.5058366872104869,0.0
n,20.0,cell,0.5058366872104869,0.49319296931413403,0.024995652185844097
beta,1.5,n,0.5476987191772456,0.5476987191772456,0.0
beta,1.5,cell,0.5476987191772456,0.5467889962992711,0.0016609914285375948
beta,2.0,n,0.5204978344244865,0.5204978344244865,0.0
beta,2.0,cell,0.5204978344244865,0.5126140023301802,0.015146714496945823
beta,2.5,n,0.5318700939484555,0.5318700939484555,0.0
beta,2.5,cell,0.5318700939484555,0.5007978913821768,0.058420661209972136
beta,3.0,n,0.5723656222089817,0.5723656222089817,0.0
beta,3.0,cell,0.5723656222089817,0.5465407855456814,0.04511947549126427
beta,3.5,n,0.6136100743597207,0.6136100743597207,0.0
beta,3.5,cell,0.6136100743597207,0.5778970143289449,0.05820155424931883
beta,4.0,n,0.6811755452846217,0.6811755452846217,0.0
beta,4.0,cell,0.6811755452846217,0.6345570352317451,0.06843832015930262
beta,4.5,n,0.7305429111984516,0.7305429111984516,0.0
beta,4.5,cell,0.7305429111984516,0.6659526340274389,0.0884140769568933
beta,5.0,n,0.789769332128496,0.789769332128496,0.0
beta,5.0,cell,0.789769332128496,0.7167069518043387,0.09251103752946177
gamma_over_eta,0.1,n,0.6071749270679085,0.6071749270679085,0.0
gamma_over_eta,0.1,cell,0.6071749270679085,0.5305302031847255,0.1262317010573969
gamma_over_eta,0.25,n,0.625644543499105,0.625644543499105,0.0
gamma_over_eta,0.25,cell,0.625644543499105,0.5775673721957655,0.0768442269702434
gamma_over_eta,0.5,n,0.6409868330373775,0.6409868330373775,0.0
gamma_over_eta,0.5,cell,0.6409868330373775,0.6117494979347432,0.04561300419244241
gamma_over_eta,0.75,n,0.6447002028074292,0.6447002028074292,0.0
gamma_over_eta,0.75,cell,0.6447002028074292,0.6232032477934748,0.03334411082910038
gamma_over_eta,1.0,n,0.6328379241950357,0.6328379241950357,0.0
gamma_over_eta,1.0,cell,0.6328379241950357,0.6127704873572501,0.03171023112009452
