est_A,est_B,err_A,err_B
109.8283,99.4072,9.8283,-0.5928
101.7601,92.7071,1.7601,-7.2929
112.5027,95.8553,12.5027,-4.1447
113.6434,106.3391,13.6434,6.3391
96.2938,100.0299,-3.7062,0.0299
100.1869,103.4021,0.1869,3.4021
108.7670,106.7008,8.7670,6.7008
106.1025,96.2516,6.1025,-3.7484
107.8992,107.5625,7.8992,7.5625
102.8817,103.7884,2.8817,3.7884
113.2764,87.6519,13.2764,-12.3481
112.6668,114.4230,12.6668,14.4230
108.3962,94.9926,8.3962,-5.0074
114.7634,83.4490,14.7634,-16.5510
110.8051,89.5496,10.8051,-10.4504
102.8442,89.7895,2.8442,-10.2105
110.2125,100.5217,10.2125,0.5217
102.2467,97.2615,2.2467,-2.7385
113.2707,96.6317,13.2707,-3.3683
107.7004,106.1970,7.7004,6.1970
106.8908,103.3988,6.8908,3.3988
103.9144,103.1605,3.9144,3.1605
115.3352,104.0983,15.3352,4.0983
107.0728,106.1613,7.0728,6.1613
105.4300,78.9205,5.4300,-21.0795
105.8872,96.3556,5.8872,-3.6444
111.1939,78.1979,11.1939,-21.8021
110.1927,100.3606,10.1927,0.3606
110.4764,99.9537,10.4764,-0.0463
110.5849,110.4553,10.5849,10.4553
120.8499,111.8763,20.8499,11.8763
105.5615,102.0278,5.5615,2.0278
104.9265,94.9964,4.9265,-5.0036
103.1174,104.8516,3.1174,4.8516
111.6959,94.7208,11.6959,-5.2792
114.7738,99.9861,14.7738,-0.0139
107.3163,109.8614,7.3163,9.8614
102.9591,94.4223,2.9591,-5.5777
103.0531,108.0568,3.0531,8.0568
111.9036,106.7740,11.9036,6.7740
112.4595,90.4521,12.4595,-9.5479
111.2589,109.7389,11.2589,9.7389
104.0069,106.9857,4.0069,6.9857
109.3930,101.0193,9.3930,1.0193
108.7001,92.3768,8.7001,-7.6232
109.3121,91.4079,9.3121,-8.5921
113.2286,94.6234,13.2286,-5.3766
109.3416,105.4259,9.3416,5.4259
112.0735,90.4437,12.0735,-9.5563
108.4055,104.3751,8.4055,4.3751
109.7347,87.5824,9.7347,-12.4176
111.7877,97.9593,11.7877,-2.0407
99.2571,101.0965,-0.7429,1.0965
106.0820,124.4513,6.0820,24.4513
105.1778,86.2268,5.1778,-13.7732
104.1667,114.7201,4.1667,14.7201
106.3491,101.4984,6.3491,1.4984
116.9696,104.1117,16.9696,4.1117
102.8050,101.1835,2.8050,1.1835
113.8097,104.4473,13.8097,4.4473
97.9028,98.4631,-2.0972,-1.5369
105.9907,114.5405,5.9907,14.5405
108.9765,95.4353,8.9765,-4.5647
111.5173,111.3223,11.5173,11.3223
112.2674,93.5563,12.2674,-6.4437
112.7601,99.3975,12.7601,-0.6025
105.9076,89.2804,5.9076,-10.7196
105.2259,104.5502,5.2259,4.5502
113.1479,114.4513,13.1479,14.4513
106.8522,99.2264,6.8522,-0.7736
100.3459,98.0311,0.3459,-1.9689
101.2003,88.8538,1.2003,-11.1462
102.4833,97.7071,2.4833,-2.2929
110.9830,84.0721,10.9830,-15.9279
108.8546,90.8712,8.8546,-9.1288
112.1429,102.2679,12.1429,2.2679
105.4365,113.1901,5.4365,13.1901
108.9512,128.0921,8.9512,28.0921
111.7535,94.1341,11.7535,-5.8659
106.1439,114.3530,6.1439,14.3530
110.7407,102.4375,10.7407,2.4375
104.0284,98.4875,4.0284,-1.5125
105.8217,104.3259,5.8217,4.3259
105.7096,100.6192,5.7096,0.6192
100.8250,101.1040,0.8250,1.1040
110.9218,95.9167,10.9218,-4.0833
105.1836,86.0189,5.1836,-13.9811
108.0750,84.5637,8.0750,-15.4363
110.8845,106.5324,10.8845,6.5324
110.6792,97.2330,10.6792,-2.7670
111.9923,94.0391,11.9923,-5.9609
107.4091,100.0851,7.4091,0.0851
105.4602,107.9493,5.4602,7.9493
107.5217,101.8036,7.5217,1.8036
97.8760,93.4395,-2.1240,-6.5605
99.3173,112.2629,-0.6827,12.2629
100.0638,115.7919,0.0638,15.7919
102.0165,104.9456,2.0165,4.9456
110.3986,109.7366,10.3986,9.7366
102.5671,112.4196,2.5671,12.4196
105.7310,111.3010,5.7310,11.3010
115.7954,106.1410,15.7954,6.1410
105.8624,105.9835,5.8624,5.9835
112.4251,105.1966,12.4251,5.1966
102.3983,89.0266,2.3983,-10.9734
106.7674,107.0072,6.7674,7.0072
102.2999,86.4419,2.2999,-13.5581
105.9658,92.0540,5.9658,-7.9460
113.0418,113.0357,13.0418,13.0357
97.6361,108.4022,-2.3639,8.4022
110.6065,114.8740,10.6065,14.8740
109.4264,97.2833,9.4264,-2.7167
104.4351,88.4775,4.4351,-11.5225
99.3237,97.5956,-0.6763,-2.4044
108.4328,101.0203,8.4328,1.0203
104.8230,100.7899,4.8230,0.7899
109.3961,111.3368,9.3961,11.3368
108.1311,96.3873,8.1311,-3.6127
117.6107,103.5203,17.6107,3.5203
106.5639,90.1137,6.5639,-9.8863
101.8590,104.5032,1.8590,4.5032
109.0757,100.0311,9.0757,0.0311
109.3200,92.5019,9.3200,-7.4981
116.1551,97.6417,16.1551,-2.3583
113.0107,98.1582,13.0107,-1.8418
110.1412,97.2984,10.1412,-2.7016
116.7798,117.7134,16.7798,17.7134
100.8674,99.0155,0.8674,-0.9845
104.1615,97.5610,4.1615,-2.4390
102.4405,79.0255,2.4405,-20.9745
105.6611,91.0579,5.6611,-8.9421
99.7399,97.3693,-0.2601,-2.6307
111.8109,93.1415,11.8109,-6.8585
106.6667,113.8171,6.6667,13.8171
99.1752,98.3506,-0.8248,-1.6494
101.9065,112.8844,1.9065,12.8844
109.8811,100.6170,9.8811,0.6170
113.0288,100.3723,13.0288,0.3723
119.9804,99.1120,19.9804,-0.8880
125.4832,100.0380,25.4832,0.0380
110.4865,117.1880,10.4865,17.1880
102.0628,76.8039,2.0628,-23.1961
95.2077,79.9845,-4.7923,-20.0155
109.6063,94.5683,9.6063,-5.4317
103.1224,100.1453,3.1224,0.1453
105.5079,106.9010,5.5079,6.9010
104.3274,104.7309,4.3274,4.7309
107.1553,96.1575,7.1553,-3.8425
114.3959,110.1904,14.3959,10.1904
108.9423,110.3020,8.9423,10.3020
107.0482,101.8406,7.0482,1.8406
101.7861,109.6266,1.7861,9.6266
97.9519,102.7265,-2.0481,2.7265
105.0822,94.3852,5.0822,-5.6148
107.6773,106.9782,7.6773,6.9782
118.6076,101.1061,18.6076,1.1061
108.7816,100.0134,8.7816,0.0134
113.8964,114.7295,13.8964,14.7295
105.0042,75.4913,5.0042,-24.5087
100.8903,85.8232,0.8903,-14.1768
102.2093,88.1293,2.2093,-11.8707
103.6486,96.3674,3.6486,-3.6326
120.7708,97.4539,20.7708,-2.5461
103.0717,84.9267,3.0717,-15.0733
113.0309,90.1484,13.0309,-9.8516
102.5824,91.3916,2.5824,-8.6084
113.5894,124.5742,13.5894,24.5742
110.3097,118.0174,10.3097,18.0174
107.0602,95.8825,7.0602,-4.1175
107.7554,96.3642,7.7554,-3.6358
104.0713,88.5080,4.0713,-11.4920
110.6764,80.9187,10.6764,-19.0813
105.2701,98.8312,5.2701,-1.1688
100.6464,90.0215,0.6464,-9.9785
100.3324,99.1515,0.3324,-0.8485
109.0355,83.9979,9.0355,-16.0021
117.4745,92.3803,17.4745,-7.6197
108.9599,101.4863,8.9599,1.4863
107.2882,103.6621,7.2882,3.6621
109.7150,104.1747,9.7150,4.1747
115.8360,86.7951,15.8360,-13.2049
109.3163,108.5469,9.3163,8.5469
105.5344,91.9979,5.5344,-8.0021
114.6377,106.3286,14.6377,6.3286
110.5725,99.8936,10.5725,-0.1064
117.2145,86.2361,17.2145,-13.7639
109.0994,96.8380,9.0994,-3.1620
100.6532,103.6536,0.6532,3.6536
99.7910,106.1297,-0.2090,6.1297
117.9056,98.5901,17.9056,-1.4099
118.3420,115.3178,18.3420,15.3178
106.9229,110.0751,6.9229,10.0751
105.7009,97.4335,5.7009,-2.5665
116.7687,107.5012,16.7687,7.5012
101.3577,119.3379,1.3577,19.3379
102.6316,119.6048,2.6316,19.6048
111.8600,87.7200,11.8600,-12.2800
105.6324,90.7347,5.6324,-9.2653
107.9693,114.8492,7.9693,14.8492
107.0193,89.4172,7.0193,-10.5828
110.0254,86.7746,10.0254,-13.2254
116.4449,95.1381,16.4449,-4.8619
108.5435,104.2023,8.5435,4.2023
111.8636,98.9760,11.8636,-1.0240
95.6990,93.4944,-4.3010,-6.5056
107.7077,93.2579,7.7077,-6.7421
102.9406,92.8766,2.9406,-7.1234
100.6871,91.2049,0.6871,-8.7951
102.7311,122.8163,2.7311,22.8163
105.9953,102.9751,5.9953,2.9751
113.4954,108.8676,13.4954,8.8676
100.0416,95.1092,0.0416,-4.8908
108.1838,98.1404,8.1838,-1.8596
105.0950,92.8645,5.0950,-7.1355
106.0340,73.4829,6.0340,-26.5171
114.0165,86.2199,14.0165,-13.7801
111.2287,81.8938,11.2287,-18.1062
116.0244,77.5022,16.0244,-22.4978
107.0730,88.0464,7.0730,-11.9536
103.8243,113.2496,3.8243,13.2496
106.6568,99.5556,6.6568,-0.4444
109.4550,112.9056,9.4550,12.9056
109.0594,104.1098,9.0594,4.1098
101.4937,107.8256,1.4937,7.8256
108.5429,90.9910,8.5429,-9.0090
109.3694,105.2395,9.3694,5.2395
123.1048,107.2871,23.1048,7.2871
119.2611,94.2335,19.2611,-5.7665
102.8805,105.5954,2.8805,5.5954
106.2757,105.6619,6.2757,5.6619
99.2193,94.5045,-0.7807,-5.4955
104.4558,88.7723,4.4558,-11.2277
109.8936,88.1587,9.8936,-11.8413
115.2351,100.8651,15.2351,0.8651
103.6255,103.2701,3.6255,3.2701
104.0751,92.0747,4.0751,-7.9253
95.1163,100.2659,-4.8837,0.2659
107.0240,105.7054,7.0240,5.7054
101.6255,106.1819,1.6255,6.1819
104.8234,115.5188,4.8234,15.5188
102.7388,112.7698,2.7388,12.7698
107.4344,89.9871,7.4344,-10.0129
97.4536,116.8359,-2.5464,16.8359
99.1977,94.6902,-0.8023,-5.3098
120.7755,110.4487,20.7755,10.4487
100.2755,100.6799,0.2755,0.6799
101.4193,95.8785,1.4193,-4.1215
119.0215,81.9230,19.0215,-18.0770
125.4304,98.2844,25.4304,-1.7156
100.9706,84.4062,0.9706,-15.5938
105.7905,109.6730,5.7905,9.6730
110.0493,115.1679,10.0493,15.1679
118.3722,92.0309,18.3722,-7.9691
102.0789,103.0197,2.0789,3.0197
106.5283,92.7461,6.5283,-7.2539
112.6640,93.7152,12.6640,-6.2848
110.6086,107.7449,10.6086,7.7449
105.7431,99.6146,5.7431,-0.3854
107.1971,117.3965,7.1971,17.3965
99.7506,95.1777,-0.2494,-4.8223
106.5710,109.9934,6.5710,9.9934
106.4017,100.9741,6.4017,0.9741
109.3930,107.9578,9.3930,7.9578
104.6680,95.5284,4.6680,-4.4716
110.8292,99.5044,10.8292,-0.4956
114.0763,98.8450,14.0763,-1.1550
108.9326,91.6394,8.9326,-8.3606
110.1105,106.6208,10.1105,6.6208
108.3189,106.5025,8.3189,6.5025
108.0005,105.9355,8.0005,5.9355
103.6707,115.3697,3.6707,15.3697
109.8990,114.4934,9.8990,14.4934
107.4163,96.2506,7.4163,-3.7494
120.5590,103.7305,20.5590,3.7305
117.4401,93.7640,17.4401,-6.2360
110.3151,100.2336,10.3151,0.2336
103.4217,94.0025,3.4217,-5.9975
101.3255,116.2007,1.3255,16.2007
115.1469,103.6370,15.1469,3.6370
109.5765,97.8197,9.5765,-2.1803
110.8809,111.9362,10.8809,11.9362
97.5325,78.2938,-2.4675,-21.7062
113.5646,79.8590,13.5646,-20.1410
110.7265,107.9584,10.7265,7.9584
101.3374,100.6047,1.3374,0.6047
105.1709,102.5045,5.1709,2.5045
109.5823,86.7360,9.5823,-13.2640
108.3148,99.7677,8.3148,-0.2323
106.2470,120.0351,6.2470,20.0351
107.3791,108.2420,7.3791,8.2420
106.4881,101.6971,6.4881,1.6971
108.9154,95.6095,8.9154,-4.3905
116.8290,96.0543,16.8290,-3.9457
92.6000,78.7080,-7.4000,-21.2920
106.5789,102.5764,6.5789,2.5764
109.0591,108.4548,9.0591,8.4548
109.7760,84.2438,9.7760,-15.7562
105.7685,93.3858,5.7685,-6.6142
97.4597,88.4254,-2.5403,-11.5746
109.9680,90.3465,9.9680,-9.6535
118.3641,100.5348,18.3641,0.5348
98.7968,79.1560,-1.2032,-20.8440
113.1830,106.1427,13.1830,6.1427
106.0288,107.5386,6.0288,7.5386
107.6321,97.4890,7.6321,-2.5110
101.6826,75.1929,1.6826,-24.8071
105.9933,90.0358,5.9933,-9.9642
115.8003,112.3290,15.8003,12.3290
111.4959,72.2201,11.4959,-27.7799
118.3939,96.5248,18.3939,-3.4752
115.0645,88.2000,15.0645,-11.8000
110.6345,108.0457,10.6345,8.0457
118.4636,93.2489,18.4636,-6.7511
110.6340,104.0395,10.6340,4.0395
112.9679,105.6546,12.9679,5.6546
106.2206,118.3623,6.2206,18.3623
108.3993,97.9706,8.3993,-2.0294
103.8155,103.7604,3.8155,3.7604
113.9375,85.1494,13.9375,-14.8506
100.9302,111.9041,0.9302,11.9041
112.6941,92.3949,12.6941,-7.6051
106.8561,94.3925,6.8561,-5.6075
115.0275,99.7775,15.0275,-0.2225
112.5052,84.3712,12.5052,-15.6288
118.9239,102.2877,18.9239,2.2877
112.3846,109.6747,12.3846,9.6747
98.5678,102.9293,-1.4322,2.9293
107.5983,84.1110,7.5983,-15.8890
100.9680,98.7619,0.9680,-1.2381
104.8903,107.4203,4.8903,7.4203
117.0674,81.2201,17.0674,-18.7799
111.8252,89.2523,11.8252,-10.7477
103.8064,108.7654,3.8064,8.7654
101.9177,102.7010,1.9177,2.7010
108.1967,104.1197,8.1967,4.1197
100.7006,118.5949,0.7006,18.5949
103.9732,104.6855,3.9732,4.6855
109.8721,106.5789,9.8721,6.5789
114.9319,127.1075,14.9319,27.1075
111.6526,97.8620,11.6526,-2.1380
94.2523,92.0212,-5.7477,-7.9788
109.8262,104.2780,9.8262,4.2780
108.4322,104.3899,8.4322,4.3899
110.4833,94.7328,10.4833,-5.2672
117.6973,89.6760,17.6973,-10.3240
95.6206,123.0984,-4.3794,23.0984
104.4534,103.2684,4.4534,3.2684
111.5454,92.6771,11.5454,-7.3229
98.5104,109.1593,-1.4896,9.1593
116.8557,98.9085,16.8557,-1.0915
110.2101,97.4712,10.2101,-2.5288
113.0795,105.6227,13.0795,5.6227
104.5743,87.0812,4.5743,-12.9188
112.8826,103.5263,12.8826,3.5263
114.4108,119.1295,14.4108,19.1295
109.3973,104.6618,9.3973,4.6618
109.4064,96.2379,9.4064,-3.7621
109.6221,94.9289,9.6221,-5.0711
102.8199,95.8966,2.8199,-4.1034
107.1148,97.4604,7.1148,-2.5396
107.0849,96.2219,7.0849,-3.7781
110.3004,109.1631,10.3004,9.1631
113.9989,82.6679,13.9989,-17.3321
101.6488,108.6200,1.6488,8.6200
107.2499,96.2031,7.2499,-3.7969
116.8887,103.7695,16.8887,3.7695
103.5385,88.7301,3.5385,-11.2699
103.0665,113.2863,3.0665,13.2863
109.2138,112.4563,9.2138,12.4563
113.0663,109.5959,13.0663,9.5959
108.0686,84.8525,8.0686,-15.1475
115.9738,108.2912,15.9738,8.2912
113.1408,104.0486,13.1408,4.0486
113.0509,83.9473,13.0509,-16.0527
111.3247,99.7570,11.3247,-0.2430
121.9659,103.6453,21.9659,3.6453
106.7690,105.5608,6.7690,5.5608
95.9789,101.7726,-4.0211,1.7726
117.6255,102.9123,17.6255,2.9123
105.2538,114.7361,5.2538,14.7361
108.6473,112.2603,8.6473,12.2603
115.8573,71.3295,15.8573,-28.6705
98.3864,96.8256,-1.6136,-3.1744
100.4901,98.3535,0.4901,-1.6465
98.3923,82.4790,-1.6077,-17.5210
103.2352,100.9418,3.2352,0.9418
110.6378,112.4876,10.6378,12.4876
111.1451,89.1343,11.1451,-10.8657
109.6576,103.3640,9.6576,3.3640
99.5234,90.8418,-0.4766,-9.1582
94.1394,93.2809,-5.8606,-6.7191
108.3261,114.7739,8.3261,14.7739
105.1693,94.5744,5.1693,-5.4256
110.7563,104.6221,10.7563,4.6221
112.2117,81.2878,12.2117,-18.7122
108.8294,118.6232,8.8294,18.6232
112.5608,106.0265,12.5608,6.0265
109.3753,98.1750,9.3753,-1.8250
111.1804,105.7555,11.1804,5.7555
103.7720,85.9018,3.7720,-14.0982
106.9223,111.8253,6.9223,11.8253
109.1807,96.7602,9.1807,-3.2398
