beta,n,gamma_eta,jparam_default,jparam_iterate,final_delta,n_iterations,improvement
1.5,7,0.1,0.5304929148162667,0.5215434338076784,0.3,2,1.6870123537253805
1.5,7,0.5,0.6628934195696715,0.5457484471195302,0.3,2,17.671765775890183
1.5,7,1.0,0.7371663805391738,0.5802476689614946,0.3,2,21.286742819566282
1.5,10,0.1,0.4728240165004791,0.45099786186578533,0.42,2,4.616126481103073
1.5,10,0.5,0.6387149084066405,0.4723220580659794,0.42,2,26.05119250398433
1.5,10,1.0,0.5905891498589948,0.4427666013321159,0.42,2,25.029675631896055
1.5,20,0.1,0.3453779994882592,0.3139057839333526,0.5,2,9.112397315850588
1.5,20,0.5,0.41029480008855235,0.3101163628510136,0.5,2,24.416209324592366
1.5,20,1.0,0.41513706584189836,0.32038169742122874,0.5,2,22.825080248738004
2.0,7,0.1,0.5916093291337232,0.653390788755212,0.3,2,-10.442948848009813
2.0,7,0.5,0.624827529274818,0.6349226699190053,0.3,3,-1.6156683518576396
2.0,7,1.0,0.6811054023159466,0.643643613727414,0.3,3,5.500145566479466
2.0,10,0.1,0.47243543958586137,0.5217983075637952,0.42,3,-10.448595478189675
2.0,10,0.5,0.5520964371009516,0.5116620200311921,0.42,3,7.323796053109828
2.0,10,1.0,0.5722231591973995,0.5343883750725587,0.42,3,6.6118931952890465
2.0,20,0.1,0.35342141336531235,0.37969959362494776,0.5,3,-7.435367316714647
2.0,20,0.5,0.4132631969904313,0.35108985293415057,0.28,2,15.04449089806569
2.0,20,1.0,0.4135279762212546,0.34129943592229023,0.28,2,17.46642173015136
2.5,7,0.1,0.6126911057843097,0.6864099271080479,0.14,2,-12.03197184156448
2.5,7,0.5,0.6612695628481403,0.6587211293631563,0.14,2,0.3853849667611661
2.5,7,1.0,0.6585225666660945,0.6514631775150007,0.14,2,1.0720041359908796
2.5,10,0.1,0.5094666824941335,0.5384772437618445,0.2,2,-5.694299993414194
2.5,10,0.5,0.5738855020449353,0.5727909586904477,0.2,2,0.19072504020180858
2.5,10,1.0,0.5757093491077006,0.5634434435130719,0.2,2,2.130572590776889
2.5,20,0.1,0.40180851188184713,0.4382095669519411,0.28,2,-9.059304119669264
2.5,20,0.5,0.4323193496078374,0.4221957463089477,0.28,3,2.3416956257158006
2.5,20,1.0,0.4087546037600952,0.40902698815502325,0.28,3,-0.0666376335391481
4.0,7,0.1,0.8167309259799641,0.8593470659721208,0.14,2,-5.2178922869883095
4.0,7,0.5,0.7983974249876358,0.8378923627876412,0.14,3,-4.946776700916476
4.0,7,1.0,0.8024535155181233,0.8394104441388981,0.14,3,-4.60549152145127
4.0,10,0.1,0.7088711808469422,0.7456832185388365,0.14,2,-5.19305039992063
4.0,10,0.5,0.6955197206775154,0.7315851662658672,0.14,2,-5.185395110467886
4.0,10,1.0,0.7086357424849811,0.7428701384231478,0.14,2,-4.831028677457976
4.0,20,0.1,0.5474361375934923,0.6002086192286703,0.16,2,-9.63993386829809
4.0,20,0.5,0.5519097748860375,0.5997480382444965,0.16,2,-8.667768815715753
4.0,20,1.0,0.5747112069160291,0.6213274703033037,0.16,2,-8.111250107236161
5.0,7,0.1,0.9107788085895241,0.9354519452887908,0.12,2,-2.709015236913203
5.0,7,0.5,0.9288993451986496,0.9688765365876375,0.14,3,-4.303716177175107
5.0,7,1.0,0.9361303507143717,0.9770163866560656,0.14,3,-4.367557991308939
5.0,10,0.1,0.8262715052316886,0.8706156662099207,0.14,2,-5.3667784375303995
5.0,10,0.5,0.8126112990825826,0.8567093922433248,0.14,2,-5.426714249546841
5.0,10,1.0,0.786963364441611,0.8341069335342709,0.14,2,-5.99056718810673
5.0,20,0.1,0.6721774578505431,0.7375445687891139,0.16,2,-9.724680614491099
5.0,20,0.5,0.67536496253032,0.7390559384841346,0.16,2,-9.430601154550613
5.0,20,1.0,0.6636656808563122,0.7314907720666044,0.16,2,-10.219767748541573
