beta,n,gamma_eta,method,jparam,n_valid
1.5,7,0.1,oracle,0.5215434338076784,500
1.5,7,0.1,lmom,0.5044395677544473,342
1.5,7,0.1,wmle,0.5256597950397526,500
1.5,7,0.1,mdm0,0.5480961733017438,500
1.5,7,0.1,dual,0.5444122506670469,500
1.5,7,0.5,oracle,0.5457484471195302,500
1.5,7,0.5,lmom,0.5626726222570922,214
1.5,7,0.5,wmle,0.6576524269508682,500
1.5,7,0.5,mdm0,0.7735893876121929,500
1.5,7,0.5,dual,0.71881490294956,500
1.5,7,1.0,oracle,0.5802476689614946,500
1.5,7,1.0,lmom,0.6016758317433931,93
1.5,7,1.0,wmle,0.7909843032917487,500
1.5,7,1.0,mdm0,1.062092033726802,500
1.5,7,1.0,dual,0.8932687582781028,500
1.5,10,0.1,oracle,0.45099786186578533,500
1.5,10,0.1,lmom,0.457649328160697,379
1.5,10,0.1,wmle,0.46918610009699396,500
1.5,10,0.1,mdm0,0.480602291231411,500
1.5,10,0.1,dual,0.4794880296048199,500
1.5,10,0.5,oracle,0.4723220580659794,500
1.5,10,0.5,lmom,0.47932661504804935,269
1.5,10,0.5,wmle,0.5985999337180874,500
1.5,10,0.5,mdm0,0.6818690524562325,500
1.5,10,0.5,dual,0.6436740222410947,500
1.5,10,1.0,oracle,0.4427666013321159,500
1.5,10,1.0,lmom,0.4800827957612273,146
1.5,10,1.0,wmle,0.6453924968303617,500
1.5,10,1.0,mdm0,0.7839852725724157,500
1.5,10,1.0,dual,0.6919228357017925,500
1.5,20,0.1,oracle,0.3139057839333526,500
1.5,20,0.1,lmom,0.3219989935941775,473
1.5,20,0.1,wmle,0.33074491610394424,500
1.5,20,0.1,mdm0,0.33845929249502105,500
1.5,20,0.1,dual,0.338274549360793,500
1.5,20,0.5,oracle,0.3101163628510136,500
1.5,20,0.5,lmom,0.3224903800895178,415
1.5,20,0.5,wmle,0.3644845461251373,500
1.5,20,0.5,mdm0,0.40111783796967915,500
1.5,20,0.5,dual,0.3831631049467678,500
1.5,20,1.0,oracle,0.32038169742122874,500
1.5,20,1.0,lmom,0.3389053882981848,302
1.5,20,1.0,wmle,0.3870338124287076,500
1.5,20,1.0,mdm0,0.5193341183284063,500
1.5,20,1.0,dual,0.4132750004863786,500
2.0,7,0.1,oracle,0.5932575407973716,500
2.0,7,0.1,lmom,0.643876610591719,209
