delta,RMSE_x95
0.0,0.09301475375637908
0.02,0.09306040762336795
0.04,0.09312550793157455
0.06,0.0932544003642943
0.08,0.09340436043605652
0.1,0.09356858186106977
0.12,0.0937498090045537
0.14,0.09394780648628243
0.16,0.09417362553668264
0.18,0.09443876166724693
0.2,0.09472115585257357
0.22,0.09504517908022894
0.24,0.09536468103165406
0.26,0.09573826840041066
0.28,0.09612783565870468
0.3,0.09654489133674884
0.32,0.09694021007717217
0.34,0.09737982068544683
0.36,0.0978569507726456
0.38,0.0983035773850827
0.4,0.09872530400018016
0.42,0.09915637323805752
0.44,0.09958408874919021
0.46,0.10003591262607804
0.48,0.10046871137025784
0.5,0.10091270931103581
