delta,RMSE_x95
0.0,0.14941698955227264
0.02,0.14982638317519403
0.04,0.1500395979487608
0.06,0.15029242031210938
0.08,0.15059771079175954
0.1,0.1509362689593488
0.12,0.1513133510329585
0.14,0.15206581642930428
0.16,0.15278788467756593
0.18,0.1535120487913465
0.2,0.1541872637952302
0.22,0.15519805508864062
0.24,0.15616675697215382
0.26,0.156911041440365
0.28,0.15785644489442893
0.3,0.15870548331285253
0.32,0.15971950425392012
0.34,0.16099293145677707
0.36,0.16220682868967193
0.38,0.16333946272274202
0.4,0.1642236855943331
0.42,0.16522309999410764
0.44,0.16620887078908572
0.46,0.1669778703958296
0.48,0.16811246979450992
0.5,0.16892821403158223
