beta,n,gamma_eta,c,jparam,raw_delta_equiv
2.0,7,0.1,0.0,0.6737453647645503,0.0
2.0,7,0.1,0.02,0.6333562429534351,0.017358000000000002
2.0,7,0.1,0.04,0.6141882927827105,0.034716000000000004
2.0,7,0.1,0.06,0.602844913819246,0.052073999999999995
2.0,7,0.1,0.08,0.5959673033077846,0.06943200000000001
2.0,7,0.1,0.1,0.5926374452001606,0.08679
2.0,7,0.1,0.12,0.5917189740284738,0.10414799999999999
2.0,7,0.1,0.14,0.5922222949887552,0.12150600000000002
2.0,7,0.1,0.16,0.5931939504849141,0.13886400000000002
2.0,7,0.1,0.18,0.6079056416220321,0.156222
2.0,7,0.1,0.2,0.6195257501230561,0.17358
2.0,7,0.1,0.22,0.6246317918299148,0.190938
2.0,7,0.1,0.24,0.6266460812368185,0.20829599999999998
2.0,7,0.1,0.26,0.628775195919456,0.22565400000000002
2.0,7,0.1,0.28,0.6315744491387917,0.24301200000000003
2.0,7,0.1,0.3,0.6372108239228139,0.26037
2.0,7,0.1,0.32,0.6440734433521728,0.27772800000000003
2.0,7,0.1,0.34,0.6513222176919031,0.295086
2.0,7,0.1,0.36,0.657309079034845,0.312444
2.0,7,0.1,0.38,0.6619765206210826,0.329802
2.0,7,0.1,0.4,0.6673378735247468,0.34716
2.0,7,0.1,0.42,0.6740832780486129,0.364518
2.0,7,0.1,0.44,0.6793331761438272,0.381876
2.0,7,0.1,0.46,0.68351298703336,0.39923400000000003
2.0,7,0.1,0.48,0.688061213068238,0.41659199999999996
2.0,7,0.1,0.5,0.6910360980701012,0.43395
2.0,7,0.1,0.52,0.6938631322996528,0.45130800000000004
2.0,7,0.1,0.54,0.6978863887098462,0.468666
2.0,7,0.1,0.56,0.7023785883917038,0.48602400000000007
2.0,7,0.5,0.0,0.9724917283942239,0.0
2.0,7,0.5,0.02,0.8556941624967638,0.017358000000000002
2.0,7,0.5,0.04,0.7731866746084347,0.034716000000000004
2.0,7,0.5,0.06,0.7174004647678748,0.052073999999999995
2.0,7,0.5,0.08,0.6762945651306791,0.06943200000000001
2.0,7,0.5,0.1,0.6442111129742307,0.08679
2.0,7,0.5,0.12,0.6208145453010251,0.10414799999999999
2.0,7,0.5,0.14,0.6062176287554532,0.12150600000000002
2.0,7,0.5,0.16,0.6147364891553166,0.13886400000000002
2.0,7,0.5,0.18,0.6161135263348134,0.156222
