,L4_hard,L5_hard,Risk_curve,Default
1.5_7_0.1,0.5360956196091115,0.5198815111800024,0.5296962039784957,0.5411553104622622
1.5_7_0.5,0.6259199114483518,0.5127823478124865,0.5413557169666929,0.6652800199931165
1.5_7_1.0,0.6575161234522824,0.5737196789531065,0.569336144148068,0.7535914208214816
1.5_10_0.1,0.4776472894114955,0.43659385255956984,0.4649472412433201,0.48733789695320645
1.5_10_0.5,0.5366180724358164,0.4751801426582617,0.4854529763059728,0.6378454330384555
1.5_10_1.0,0.5061761919900026,0.4314294490869419,0.46075198277596957,0.593516410354933
1.5_20_0.1,0.34314494523437283,0.32226871100509574,0.3350543079870994,0.35517839145050917
1.5_20_0.5,0.3358209700206689,0.3193501891775304,0.3394908086838003,0.45083180163308506
1.5_20_1.0,0.34162592625910565,0.3109079658669713,0.32240735904808376,0.4184339297389131
2.0_7_0.1,0.5740170948196303,0.5233884296318733,0.5147099308514359,0.5438532945283866
2.0_7_0.5,0.6365068369041071,0.5356095481999504,0.5432586539562393,0.6294792475061152
2.0_7_1.0,0.6537874141317267,0.5859352240052222,0.6060631556524314,0.655402897914138
2.0_10_0.1,0.5040522785240452,0.45530370433961626,0.4631953379315883,0.48686609474983805
2.0_10_0.5,0.4862761993930044,0.4307326347504563,0.4359835119874298,0.55206522929019
2.0_10_1.0,0.5300218753017747,0.48496544521702606,0.4787061253608522,0.5624129824707641
2.0_20_0.1,0.3684753366196644,0.3176512975955421,0.3354171674607458,0.35383565343055806
2.0_20_0.5,0.34569272461644557,0.29001810785454124,0.3033296658661414,0.4246058122447572
2.0_20_1.0,0.36170058755506607,0.31448410948108335,0.3444492861796978,0.4208531508091846
2.5_7_0.1,0.6930691812678279,0.5840266075493217,0.5850311569458461,0.6311736400835215
2.5_7_0.5,0.6480396917353687,0.5761786308867008,0.5694484262864323,0.6254432027771037
2.5_7_1.0,0.6760582218972802,0.6988334206604971,0.635123066138662,0.6876701792911647
2.5_10_0.1,0.5167183036226249,0.4551160753122066,0.46115418510561923,0.4937107105742627
2.5_10_0.5,0.5885992394710432,0.49606259054025564,0.5027724875459216,0.577308486347009
2.5_10_1.0,0.5431178215780108,0.47951504364450215,0.4936793009581666,0.5608559466802797
2.5_20_0.1,0.39782393867554955,0.3618052125883182,0.36226831733092274,0.38452718376810896
2.5_20_0.5,0.424836435001231,0.33580495935895527,0.35721739765768445,0.4329231649183869
2.5_20_1.0,0.4046357085618058,0.3315566904380132,0.347501774604131,0.4102557288145041
4.0_7_0.1,0.7384576374108978,0.7249323513107728,0.7016989720770391,0.827478554805976
4.0_7_0.5,0.7227285472363909,0.681345992083062,0.6614353931132806,0.772439131562713
4.0_7_1.0,0.7552586544776757,0.7252428149772298,0.67657514214631,0.7811999891444059
4.0_10_0.1,0.6312688442106995,0.5917831405402926,0.5717201318255343,0.6916388611824789
4.0_10_0.5,0.7112449114804388,0.6209420559909619,0.6087277291891378,0.7050088137595805
4.0_10_1.0,0.6576182792870918,0.612925658556773,0.5757351975317327,0.6873559427883226
4.0_20_0.1,0.4760457347312073,0.4365790566511579,0.43293764744212826,0.552635670602775
4.0_20_0.5,0.5256015150900113,0.43898324266436556,0.4493878990885992,0.5409836070703449
4.0_20_1.0,0.5395941305409881,0.4996306461836621,0.44117054646771947,0.5484315002210284
5.0_7_0.1,0.7693410006682502,0.7835670036697052,0.7551528100841125,0.9216926270474268
5.0_7_0.5,0.8367641543547868,0.8123994612134776,0.7898102972126793,0.917278693037503
5.0_7_1.0,0.8881797030171648,0.845157947881109,0.8148536344882253,0.9609912778660646
5.0_10_0.1,0.6874927383887198,0.6880483765948207,0.6742808395151321,0.8603653808367577
5.0_10_0.5,0.708176549680031,0.6743736003967501,0.6445485899255068,0.7877894789746652
5.0_10_1.0,0.6921996803374331,0.722845023866619,0.5913666556785857,0.7677834445019868
5.0_20_0.1,0.5190397896901827,0.5185587661260727,0.5073844903503777,0.6835278193204111
5.0_20_0.5,0.6364729165453143,0.5463984927746761,0.5461483619278952,0.6815653774230503
5.0_20_1.0,0.5664907858543066,0.49081773435772663,0.4719978744337055,0.6422333975272504
