method,param,true_value,min,max,mean,median,p2_5,p97_5,n_success_total
mle,beta,2.000000,1.161213,15.358298,3.583227,2.354083,1.230900,9.255821,603/1000
mle,eta,1000.000000,240.518526,2638.198986,1283.111073,1062.586369,477.341536,2302.096253,603/1000
mle,gamma,1000.000000,0.000000,1720.953381,718.349216,950.287117,0.000000,1481.039408,603/1000
wmle,beta,2.000000,1.330118,5.544680,2.863757,2.436977,1.415841,5.000000,1000/1000
wmle,eta,1000.000000,258.819553,2629.057372,1331.649029,1152.179369,569.031809,2279.787257,1000/1000
wmle,gamma,1000.000000,0.000000,1719.577308,687.433152,886.184995,0.000003,1411.945026,1000/1000
lse,beta,2.000000,0.393253,11.771405,2.341065,1.742384,0.670713,6.700931,1000/1000
lse,eta,1000.000000,168.784223,2720.721020,1060.356453,908.007379,344.986606,2246.046525,1000/1000
lse,gamma,1000.000000,0.000000,1804.140424,935.123097,1062.040032,0.000000,1581.399812,1000/1000
lre,beta,2.000000,0.561279,14.362179,4.641386,4.504591,1.293408,7.846579,1000/1000
lre,eta,1000.000000,408.502928,2714.033037,2007.646238,2050.944661,801.150656,2392.328149,1000/1000
lre,gamma,1000.000000,0.000000,1652.996570,48.602458,0.000017,0.000000,1122.405069,1000/1000
MDM-0.1,beta,2.000000,0.556044,5.587399,1.917672,1.788772,0.778316,3.544949,1000/1000
MDM-0.1,eta,1000.000000,181.021077,2312.740510,941.415998,908.979168,357.123138,1638.092086,1000/1000
MDM-0.1,gamma,1000.000000,289.626415,1743.037965,1045.551325,1052.918723,534.186122,1556.972611,1000/1000
MDM-MLP,beta,2.000000,0.557006,7.132588,1.840867,1.778343,0.786681,3.339793,1000/1000
MDM-MLP,eta,1000.000000,179.530088,1789.151336,894.998342,935.898108,358.324757,1282.046882,1000/1000
MDM-MLP,gamma,1000.000000,655.254341,1737.632832,1088.492578,1052.534924,818.910004,1540.703140,1000/1000
MDM-L6-oracle,beta,2.000000,0.558522,5.411280,1.770438,1.822164,0.794747,2.551648,1000/1000
MDM-L6-oracle,eta,1000.000000,182.652020,1725.105292,875.027184,904.172179,359.791851,1254.306279,1000/1000
MDM-L6-oracle,gamma,1000.000000,811.844253,1735.446998,1106.861447,1076.325890,864.682705,1540.703140,1000/1000
