beta,gamma_over_eta,n,selected_samples,mean_loss_reduction,median_extended_delta,new_upper_boundary_rate
1.5,0.1,7,41,0.05413738558750081,0.78,0.2682926829268293
1.5,0.1,10,54,0.028092255439786915,0.74,0.25925925925925924
1.5,0.1,15,65,0.022790128566853744,0.68,0.13846153846153847
1.5,0.1,20,88,0.021028661755198807,0.84,0.32954545454545453
1.5,0.25,7,56,0.04773168999148976,0.68,0.35714285714285715
1.5,0.25,10,75,0.031082964825363563,0.7,0.17333333333333334
1.5,0.25,15,88,0.037674974551799106,0.86,0.4090909090909091
1.5,0.25,20,96,0.027994128511210883,0.87,0.3125
1.5,0.5,7,53,0.0633785410720441,0.8,0.39622641509433965
1.5,0.5,10,71,0.04499729898740895,0.74,0.323943661971831
1.5,0.5,15,104,0.02548859599454575,0.82,0.3076923076923077
1.5,0.5,20,105,0.026282410673108443,0.86,0.4095238095238095
1.5,0.75,7,51,0.06157365398591741,0.72,0.23529411764705882
1.5,0.75,10,74,0.03837773982934564,0.74,0.25675675675675674
1.5,0.75,15,106,0.03134601048229375,0.88,0.39622641509433965
1.5,0.75,20,104,0.02684946513688782,0.92,0.41346153846153844
1.5,1.0,7,63,0.04088932043494862,0.72,0.23809523809523808
1.5,1.0,10,72,0.03748830096802318,0.75,0.3194444444444444
1.5,1.0,15,118,0.03509671049096037,0.84,0.3644067796610169
1.5,1.0,20,95,0.030383535980344354,0.98,0.4842105263157895
2.0,0.1,7,11,0.03857798259089942,0.6,0.09090909090909091
2.0,0.1,10,9,0.04994582975725034,0.66,0.0
2.0,0.1,15,23,0.011068801692727608,0.58,0.13043478260869565
2.0,0.1,20,31,0.009743435410528268,0.6,0.0967741935483871
2.0,0.25,7,14,0.02809538957874098,0.59,0.0
2.0,0.25,10,18,0.035721998404070525,0.63,0.2222222222222222
2.0,0.25,15,38,0.014012871424440103,0.6,0.07894736842105263
2.0,0.25,20,47,0.012105457984418042,0.64,0.14893617021276595
2.0,0.5,7,14,0.06440858813610269,0.66,0.07142857142857142
2.0,0.5,10,25,0.0479101167088972,0.7,0.28
2.0,0.5,15,29,0.02266327567454227,0.7,0.20689655172413793
2.0,0.5,20,36,0.007133067388719738,0.58,0.08333333333333333
2.0,0.75,7,18,0.0288046639040916,0.58,0.1111111111111111
2.0,0.75,10,29,0.034668886315104626,0.64,0.10344827586206896
2.0,0.75,15,30,0.022504961721620774,0.65,0.16666666666666666
2.0,0.75,20,31,0.006297175242116142,0.58,0.06451612903225806
2.0,1.0,7,15,0.08030122319410074,0.76,0.06666666666666667
2.0,1.0,10,20,0.03481479540735009,0.75,0.2
2.0,1.0,15,28,0.017929418754522242,0.64,0.14285714285714285
2.0,1.0,20,35,0.01389036011901183,0.62,0.08571428571428572
2.5,0.1,7,5,0.01583834942773093,0.52,0.0
2.5,0.1,10,3,0.0577247272108846,0.68,0.0
2.5,0.1,15,6,0.0030375805624253635,0.5800000000000001,0.0
2.5,0.1,20,6,0.015704439333452332,0.5900000000000001,0.16666666666666666
2.5,0.25,7,2,0.01684567151511226,0.55,0.0
2.5,0.25,10,3,0.03193380045320209,0.64,0.0
2.5,0.25,15,3,0.005597352398911044,0.62,0.0
2.5,0.25,20,4,0.009968851112201287,0.63,0.0
2.5,0.5,7,2,0.0014137184284089901,0.5700000000000001,0.0
2.5,0.5,10,3,0.04499514001617316,0.76,0.0
2.5,0.5,15,4,0.0013346281789665057,0.52,0.0
2.5,0.5,20,1,0.0,0.5,0.0
2.5,0.75,7,3,0.015065407938477639,0.66,0.0
2.5,0.75,10,4,0.03457070401057755,0.67,0.0
2.5,0.75,15,7,0.015527676846220353,0.58,0.0
2.5,0.75,20,8,0.005623681773125169,0.56,0.125
2.5,1.0,7,4,0.06891246701952208,0.5900000000000001,0.25
2.5,1.0,10,4,0.02942806332057083,0.59,0.0
2.5,1.0,15,6,0.01699404561445525,0.53,0.16666666666666666
2.5,1.0,20,4,0.010555618162708972,0.54,0.0
3.0,0.1,7,1,0.06700842939049637,0.52,0.0
3.0,0.25,7,2,0.015294650592283028,0.5900000000000001,0.0
3.0,0.5,7,1,0.04523344122129874,0.84,0.0
3.0,0.5,10,1,0.0,0.5,0.0
3.0,0.5,20,2,0.0027773234864515405,0.66,0.0
3.0,0.75,7,1,0.05005579445334013,0.8,0.0
3.0,0.75,10,1,0.036105979505644994,0.72,0.0
3.0,0.75,15,2,0.02303778356702383,0.85,0.0
3.0,0.75,20,1,0.0011188325008254646,0.58,0.0
3.0,1.0,10,2,0.00957787890410084,0.67,0.0
3.0,1.0,15,1,0.048833204551446574,0.68,0.0
3.5,0.25,7,1,0.06896686247972393,0.56,0.0
3.5,0.5,10,1,0.0,0.5,0.0
3.5,0.5,15,1,0.0011732944902505815,0.58,0.0
3.5,0.75,7,2,0.04990719534959502,0.63,0.0
4.0,0.5,15,1,0.0,0.36,0.0
4.5,0.1,7,1,0.0,0.02,0.0
4.5,1.0,7,1,0.0,0.02,0.0
5.0,0.1,7,1,0.0,0.02,0.0
