beta,eta,gamma,gamma_over_eta,n,repeat_id,delta,beta_hat,eta_hat,gamma_hat,r_squared,converged,status,loss
1.5,1000.0,100.0,0.1,7,4,0.48,1.4552043338042695,1132.0791636850515,8.053666320115058,0.9573555298028066,True,success,0.0267908789613239
1.5,1000.0,100.0,0.1,7,4,0.5,1.445451743457799,1126.4060677890634,12.552956278699382,0.9562614795989046,True,success,0.0249479293369522
1.5,1000.0,100.0,0.1,7,4,0.52,1.4361432658233626,1120.9114798187973,16.87415059926136,0.9551270752299178,True,success,0.0233417961237682
1.5,1000.0,100.0,0.1,7,4,0.54,1.4272442992919203,1115.5814606301958,21.031027438993046,0.9539514606147732,True,success,0.0219477913289833
1.5,1000.0,100.0,0.1,7,4,0.56,1.418730095570632,1110.4019990943546,25.035858443592357,0.9527328129438372,True,success,0.0207436894193005
1.5,1000.0,100.0,0.1,7,4,0.58,1.410576987694303,1105.360707362543,28.8997498098354,0.951469317294664,True,success,0.0197101131796282
1.5,1000.0,100.0,0.1,7,4,0.6,1.4027663303865592,1100.4455778648924,32.632768954006,0.9501585506652496,True,success,0.018829607489859
1.5,1000.0,100.0,0.1,7,4,0.62,1.3952708617098029,1095.6483949189374,36.2440776803927,0.9487995663943658,True,success,0.0180881852622849
1.5,1000.0,100.0,0.1,7,4,0.64,1.388080740153621,1090.9576173084497,39.74204436428296,0.9473887636293112,True,success,0.0174713852414091
1.5,1000.0,100.0,0.1,7,4,0.66,1.381178329434117,1086.3649285834,43.13434135267124,0.9459237764157244,True,success,0.0169675326430846
1.5,1000.0,100.0,0.1,7,4,0.68,1.3745484551777545,1081.862373977355,46.42802747174792,0.9444018545781756,True,success,0.0165661112241262
1.5,1000.0,100.0,0.1,7,4,0.7,1.3681779414019974,1077.4423612710996,49.62962001177378,0.9428198690877208,True,success,0.0162576301140752
1.5,1000.0,100.0,0.1,7,4,0.72,1.3620548869798612,1073.097749822764,52.74515723921914,0.9411743814576512,True,success,0.0160335697295592
1.5,1000.0,100.0,0.1,7,4,0.74,1.35616810002541,1068.8219116418306,55.78025322527586,0.9394617062172428,True,success,0.0158863372825457
1.5,1000.0,100.0,0.1,7,4,0.76,1.3505076998865873,1064.6084881783129,58.74014606276401,0.937677742735264,True,success,0.0158090535330308
1.5,1000.0,100.0,0.1,7,4,0.78,1.3450645780989805,1060.451463816237,61.629740747197765,0.9358180269088926,True,success,0.0157955384769405
1.5,1000.0,100.0,0.1,7,4,0.8,1.3398304326344097,1056.3450922207203,64.4536474953176,0.9338776690413876,True,success,0.0158402193982288
1.5,1000.0,100.0,0.1,7,4,0.82,1.3347980033508104,1052.2837744938245,67.21621621728177,0.9318512337226806,True,success,0.015938013864157
1.5,1000.0,100.0,0.1,7,4,0.84,1.3299600051299316,1048.2622953804787,69.92156760208047,0.929732925966552,True,success,0.0160844500755367
1.5,1000.0,100.0,0.1,7,4,0.86,1.3253086172383517,1044.2759080899366,72.57362362773671,0.9275166810514904,True,success,0.0162757084741801
1.5,1000.0,100.0,0.1,7,4,0.88,1.3208418182680637,1040.3185852219042,75.17613057514875,0.9251944226659884,True,success,0.0165074368437373
1.5,1000.0,100.0,0.1,7,4,0.9,1.3165516588140762,1036.3861340660694,77.73268883512806,0.9227590069485548,True,success,0.0167768034027281
1.5,1000.0,100.0,0.1,7,4,0.92,1.3124381221394394,1032.4724257331388,80.24677277593013,0.9202003912649528,True,success,0.0170799630972398
1.5,1000.0,100.0,0.1,7,4,0.94,1.3084902441413533,1028.5744254278036,82.72175827538695,0.9175108562823292,True,success,0.0174154739096403
1.5,1000.0,100.0,0.1,7,4,0.96,1.3047100801150622,1024.685720429407,85.1609414996273,0.9146779263690932,True,success,0.0177798725874809
1.5,1000.0,100.0,0.1,7,4,0.98,1.3010931375876005,1020.8017291113524,87.5675651835965,0.9116899037762572,True,success,0.0181712506649285
1.5,1000.0,100.0,0.1,7,4,1.0,1.297637377289499,1016.917245195509,89.94484140694519,0.9085330137914688,True,success,0.0185875798750131
1.5,1000.0,100.0,0.1,7,10,0.48,1.6179751934031623,1193.5510892413,0.0,0.9425013168845412,True,success,0.0536478669280553
1.5,1000.0,100.0,0.1,7,10,0.5,1.6177278600539235,1193.4112684827087,0.1162583898116196,0.9424609412581036,True,success,0.0535446135176418
1.5,1000.0,100.0,0.1,7,10,0.52,1.603947084037699,1185.539871727049,6.628327971975438,0.9401034160743852,True,success,0.0479455337066613
1.5,1000.0,100.0,0.1,7,10,0.54,1.590937448009638,1177.9457153710166,12.84678509213225,0.9376610357868778,True,success,0.0429357469101267
1.5,1000.0,100.0,0.1,7,10,0.56,1.57864433461542,1170.600443461477,18.79765049855887,0.9351264875632728,True,success,0.0384471912591855
1.5,1000.0,100.0,0.1,7,10,0.58,1.567019074132398,1163.4784972889015,24.50424302916374,0.9324917616748826,True,success,0.0344210756397986
1.5,1000.0,100.0,0.1,7,10,0.6,1.5560157545125903,1156.557250257858,29.987566575756983,0.9297484953494732,True,success,0.0308064755550033
1.5,1000.0,100.0,0.1,7,10,0.62,1.5455956896317535,1149.8154906889563,35.2666395952969,0.9268870300761152,True,success,0.0275590744943224
1.5,1000.0,100.0,0.1,7,10,0.64,1.5357243497989672,1143.2336846886678,40.358772919693614,0.92389665828578,True,success,0.0246401773609413
1.5,1000.0,100.0,0.1,7,10,0.66,1.526372995181456,1136.7932294445798,45.279809910046325,0.9207650271270826,True,success,0.0220158134363986
1.5,1000.0,100.0,0.1,7,10,0.68,1.5175091917984769,1130.4783054827926,50.04433479982734,0.91747985335664,True,success,0.0196564108194464
1.5,1000.0,100.0,0.1,7,10,0.7,1.5091181597844754,1124.270690342224,54.66585599390833,0.9140240345676556,True,success,0.0175353405743892
1.5,1000.0,100.0,0.1,7,10,0.72,1.5011695388911408,1118.1571366955395,59.15696945911552,0.9103826282199644,True,success,0.0156298700163933
1.5,1000.0,100.0,0.1,7,10,0.74,1.49364705109647,1112.1223228061103,63.52950733841847,0.906535898440934,True,success,0.0139194498663142
1.5,1000.0,100.0,0.1,7,10,0.76,1.4865381085818092,1106.1510239783804,67.79467544300007,0.9024609609016294,True,success,0.0123857661639493
1.5,1000.0,100.0,0.1,7,10,0.78,1.4798259694296434,1100.2297074343326,71.96318407243342,0.8981334101491744,True,success,0.0110129424150409
1.5,1000.0,100.0,0.1,7,10,0.8,1.4735008362890345,1094.343779376615,76.04537577303341,0.8935237383861467,True,success,0.0097866641410877
1.5,1000.0,100.0,0.1,7,10,0.82,1.4675538319376888,1088.4787615110297,80.05135489140652,0.8885981025118121,True,success,0.0086943302677177
