beta,eta,gamma,gamma_over_eta,n,repeat_id,default_loss,base_l6_delta,base_l6_loss,loss_048,loss_050,new_grid_best_delta,new_grid_best_loss,extended_l6_loss,extended_l6_delta,loss_reduction,at_new_upper_boundary
1.5,1000.0,100.0,0.1,7,4,0.030528742569506946,0.5,0.02494792933695226,0.02679087896132396,0.02494792933695226,0.78,0.0157955384769405,0.0157955384769405,0.78,0.00915239086001176,False
1.5,1000.0,100.0,0.1,7,10,0.05364786692805522,0.5,0.053544613517641844,0.05364786692805522,0.053544613517641844,1.0,0.0034651860642912,0.0034651860642912,1.0,0.050079427453350644,True
1.5,1000.0,100.0,0.1,7,25,0.11850779552973306,0.5,0.042625185395451556,0.044215394298685866,0.042625185395451556,0.66,0.0381061183973941,0.0381061183973941,0.66,0.004519066998057458,False
1.5,1000.0,100.0,0.1,7,29,0.08391885654845696,0.5,0.0642466547705973,0.07226192635276649,0.0642466547705973,0.88,0.0043834200440023,0.0043834200440023,0.88,0.059863234726594994,False
1.5,1000.0,100.0,0.1,7,33,0.26611998519436986,0.5,0.032941753812294014,0.03388195621910383,0.032941753812294014,0.54,0.0323193865810991,0.0323193865810991,0.54,0.000622367231194916,False
1.5,1000.0,100.0,0.1,7,38,0.044191985853664635,0.5,0.006085741481368378,0.007902561886444254,0.006085741481368378,0.64,0.0011880864196186,0.0011880864196186,0.64,0.004897655061749778,False
1.5,1000.0,100.0,0.1,7,39,0.0519269614895564,0.5,0.043449796897183396,0.049283497747633354,0.043449796897183396,0.96,0.0022095778707881,0.0022095778707881,0.96,0.0412402190263953,False
1.5,1000.0,100.0,0.1,7,45,0.03574130225798469,0.5,0.02654721143683739,0.027140175080467163,0.02654721143683739,0.54,0.0260357890341851,0.0260357890341851,0.54,0.0005114224026522909,False
1.5,1000.0,100.0,0.1,7,46,0.027935987994313162,0.5,0.0061465719569131555,0.007480496569796711,0.0061465719569131555,0.6,0.0033046287386056,0.0033046287386056,0.6,0.0028419432183075556,False
1.5,1000.0,100.0,0.1,7,47,0.18034974809138737,0.5,0.04301489310135705,0.04900212990940604,0.04301489310135705,0.72,0.0164035321538728,0.0164035321538728,0.72,0.026611360947484255,False
1.5,1000.0,100.0,0.1,7,48,0.08648152882048632,0.5,0.03513054103494182,0.03727275745116822,0.03513054103494182,0.58,0.031282926678467,0.031282926678467,0.58,0.003847614356474821,False
