model,category,P_delta_0,P_delta_0.5,P_extreme,n_samples
RAW-MLP-L6-seed42,pooled,0.22184444444444446,0.013711111111111111,0.49848888888888887,45000
RAW-MLP-L6-seed42,n=7,0.15653333333333333,0.008133333333333333,0.4372666666666667,15000
RAW-MLP-L6-seed42,n=10,0.26313333333333333,0.009266666666666666,0.5528,15000
RAW-MLP-L6-seed42,n=20,0.24586666666666668,0.023733333333333332,0.5054,15000
RAW-MLP-L6-seed2026,pooled,0.19724444444444444,0.017244444444444444,0.44575555555555557,45000
RAW-MLP-L6-seed2026,n=7,0.10993333333333333,0.007933333333333334,0.31346666666666667,15000
RAW-MLP-L6-seed2026,n=10,0.2254,0.018933333333333333,0.4755333333333333,15000
RAW-MLP-L6-seed2026,n=20,0.2564,0.024866666666666665,0.5482666666666667,15000
RAW-MLP-L6-seed3407,pooled,0.25455555555555553,0.013155555555555556,0.5228,45000
RAW-MLP-L6-seed3407,n=7,0.19933333333333333,0.002266666666666667,0.44293333333333335,15000
RAW-MLP-L6-seed3407,n=10,0.28713333333333335,0.0094,0.5655333333333333,15000
RAW-MLP-L6-seed3407,n=20,0.2772,0.0278,0.5599333333333333,15000
