representation,seed,n,J1,n_samples
mean,42,7,0.701337127247328,12000
mean,42,10,0.6070629116585652,12000
mean,42,15,0.5293829329592756,12000
mean,42,20,0.47556735574356884,12000
mean,2026,7,0.7046301230888252,12000
mean,2026,10,0.6040584564840132,12000
mean,2026,15,0.528459939735167,12000
mean,2026,20,0.47732093795360514,12000
mean,3407,7,0.7000233768643649,12000
mean,3407,10,0.6111120313913262,12000
mean,3407,15,0.5274425299180926,12000
mean,3407,20,0.4792180728858278,12000
sample_sd,42,7,0.7165982731611618,12000
sample_sd,42,10,0.6090852611608161,12000
sample_sd,42,15,0.5245804403332883,12000
sample_sd,42,20,0.4778962313273644,12000
sample_sd,2026,7,0.7224905904494701,12000
sample_sd,2026,10,0.6058039860469433,12000
sample_sd,2026,15,0.528203827907443,12000
sample_sd,2026,20,0.4743458194097622,12000
sample_sd,3407,7,0.7178796483524604,12000
sample_sd,3407,10,0.6085377058958052,12000
sample_sd,3407,15,0.5246266728931369,12000
sample_sd,3407,20,0.47607028521244116,12000
rms,42,7,0.7021418389024313,12000
rms,42,10,0.6059849923838944,12000
rms,42,15,0.5316559775540034,12000
rms,42,20,0.47817522199903334,12000
rms,2026,7,0.7035701258643173,12000
rms,2026,10,0.6058960968201847,12000
rms,2026,15,0.5318006478874477,12000
rms,2026,20,0.47797882268560493,12000
rms,3407,7,0.7000459351811588,12000
rms,3407,10,0.6080772311950804,12000
rms,3407,15,0.5265587463975119,12000
rms,3407,20,0.47938410462303616,12000
