model_id,representation,n,fold,seed,max_abs_representation_diff,max_abs_prediction_curve_diff,delta_indices,selected_deltas,delta_consistent,curve_consistent_at_1e-10
mean_n7_fold1_seed42,mean,7,1,42,2.220446049250313e-16,2.1094237467877974e-15,"[24, 24, 24]","[0.48, 0.48, 0.48]",True,True
mean_n7_fold1_seed2026,mean,7,1,2026,2.220446049250313e-16,1.3322676295501878e-15,"[18, 18, 18]","[0.36, 0.36, 0.36]",True,True
mean_n7_fold1_seed3407,mean,7,1,3407,2.220446049250313e-16,1.9984014443252818e-15,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
mean_n7_fold2_seed42,mean,7,2,42,4.440892098500626e-16,6.661338147750939e-16,"[17, 17, 17]","[0.34, 0.34, 0.34]",True,True
mean_n7_fold2_seed2026,mean,7,2,2026,4.440892098500626e-16,7.216449660063518e-16,"[13, 13, 13]","[0.26, 0.26, 0.26]",True,True
mean_n7_fold2_seed3407,mean,7,2,3407,4.440892098500626e-16,5.551115123125783e-16,"[3, 3, 3]","[0.06, 0.06, 0.06]",True,True
mean_n7_fold3_seed42,mean,7,3,42,2.220446049250313e-16,5.551115123125783e-16,"[1, 1, 1]","[0.02, 0.02, 0.02]",True,True
mean_n7_fold3_seed2026,mean,7,3,2026,2.220446049250313e-16,3.885780586188048e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
mean_n7_fold3_seed3407,mean,7,3,3407,2.220446049250313e-16,8.881784197001252e-16,"[1, 1, 1]","[0.02, 0.02, 0.02]",True,True
mean_n7_fold4_seed42,mean,7,4,42,4.440892098500626e-16,8.881784197001252e-16,"[5, 5, 5]","[0.1, 0.1, 0.1]",True,True
mean_n7_fold4_seed2026,mean,7,4,2026,4.440892098500626e-16,1.6653345369377348e-15,"[15, 15, 15]","[0.3, 0.3, 0.3]",True,True
mean_n7_fold4_seed3407,mean,7,4,3407,4.440892098500626e-16,1.2212453270876722e-15,"[12, 12, 12]","[0.24, 0.24, 0.24]",True,True
mean_n7_fold5_seed42,mean,7,5,42,6.661338147750939e-16,3.9968028886505635e-15,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
mean_n7_fold5_seed2026,mean,7,5,2026,6.661338147750939e-16,2.6645352591003757e-15,"[7, 7, 7]","[0.14, 0.14, 0.14]",True,True
mean_n7_fold5_seed3407,mean,7,5,3407,6.661338147750939e-16,3.4416913763379853e-15,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
mean_n10_fold1_seed42,mean,10,1,42,2.220446049250313e-16,1.0547118733938987e-15,"[0, 0, 0]","[0.0, 0.0, 0.0]",True,True
mean_n10_fold1_seed2026,mean,10,1,2026,2.220446049250313e-16,1.4988010832439613e-15,"[18, 18, 18]","[0.36, 0.36, 0.36]",True,True
mean_n10_fold1_seed3407,mean,10,1,3407,2.220446049250313e-16,1.1102230246251565e-15,"[21, 21, 21]","[0.42, 0.42, 0.42]",True,True
mean_n10_fold2_seed42,mean,10,2,42,2.220446049250313e-16,6.661338147750939e-16,"[3, 3, 3]","[0.06, 0.06, 0.06]",True,True
mean_n10_fold2_seed2026,mean,10,2,2026,2.220446049250313e-16,8.881784197001252e-16,"[8, 8, 8]","[0.16, 0.16, 0.16]",True,True
mean_n10_fold2_seed3407,mean,10,2,3407,2.220446049250313e-16,6.661338147750939e-16,"[7, 7, 7]","[0.14, 0.14, 0.14]",True,True
mean_n10_fold3_seed42,mean,10,3,42,2.220446049250313e-16,1.1102230246251565e-15,"[5, 5, 5]","[0.1, 0.1, 0.1]",True,True
mean_n10_fold3_seed2026,mean,10,3,2026,2.220446049250313e-16,6.661338147750939e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
mean_n10_fold3_seed3407,mean,10,3,3407,2.220446049250313e-16,2.3314683517128287e-15,"[6, 6, 6]","[0.12, 0.12, 0.12]",True,True
mean_n10_fold4_seed42,mean,10,4,42,4.440892098500626e-16,3.3306690738754696e-15,"[3, 3, 3]","[0.06, 0.06, 0.06]",True,True
mean_n10_fold4_seed2026,mean,10,4,2026,4.440892098500626e-16,1.0547118733938987e-15,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
mean_n10_fold4_seed3407,mean,10,4,3407,4.440892098500626e-16,6.661338147750939e-16,"[2, 2, 2]","[0.04, 0.04, 0.04]",True,True
mean_n10_fold5_seed42,mean,10,5,42,2.220446049250313e-16,6.661338147750939e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
mean_n10_fold5_seed2026,mean,10,5,2026,2.220446049250313e-16,4.440892098500626e-16,"[1, 1, 1]","[0.02, 0.02, 0.02]",True,True
mean_n10_fold5_seed3407,mean,10,5,3407,2.220446049250313e-16,2.220446049250313e-15,"[24, 24, 24]","[0.48, 0.48, 0.48]",True,True
mean_n15_fold1_seed42,mean,15,1,42,6.661338147750939e-16,9.992007221626409e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
mean_n15_fold1_seed2026,mean,15,1,2026,6.661338147750939e-16,4.440892098500626e-16,"[4, 4, 4]","[0.08, 0.08, 0.08]",True,True
mean_n15_fold1_seed3407,mean,15,1,3407,6.661338147750939e-16,8.881784197001252e-16,"[5, 5, 5]","[0.1, 0.1, 0.1]",True,True
