representation,n,fold,seed,J1,failure_rate,n_iter,runtime_s
mean,7,1,42,0.7274738968883921,0.0,42,4.441896200180054
mean,7,1,2026,0.7306895321733649,0.0,29,2.878511667251587
mean,7,1,3407,0.708186030604225,0.0,43,4.214309453964233
mean,7,2,42,0.6995311464554298,0.0,30,2.9643797874450684
mean,7,2,2026,0.6959478690489935,0.0,31,3.0636255741119385
mean,7,2,3407,0.6921260605891691,0.0,36,3.566729784011841
mean,7,3,42,0.6975671280134521,0.0,45,4.241111516952515
mean,7,3,2026,0.7031477675322795,0.0,38,3.782487154006958
mean,7,3,3407,0.6924740930729483,0.0,68,6.779569864273071
mean,7,4,42,0.6771094479924853,0.0,61,6.062514066696167
mean,7,4,2026,0.6720276415267203,0.0,33,3.294403553009033
mean,7,4,3407,0.691982606139672,0.0,44,4.474130868911743
mean,7,5,42,0.7040807000030743,0.0,66,6.331026315689087
mean,7,5,2026,0.7198815798433135,0.0,58,5.698652267456055
mean,7,5,3407,0.7150086756929863,0.0,35,3.468461751937866
mean,10,1,42,0.6091381016782665,0.0,63,6.250730276107788
mean,10,1,2026,0.6084475372609406,0.0,60,6.178911447525024
mean,10,1,3407,0.6188709165874277,0.0,44,4.375288248062134
mean,10,2,42,0.6404382816450521,0.0,63,6.362063884735107
mean,10,2,2026,0.6381132553147147,0.0,62,6.0332252979278564
mean,10,2,3407,0.6406905563552269,0.0,50,4.990132808685303
mean,10,3,42,0.6147998188067763,0.0,54,5.421945571899414
mean,10,3,2026,0.6135142719410892,0.0,43,4.334545135498047
mean,10,3,3407,0.6234519488943978,0.0,69,6.913939476013184
mean,10,4,42,0.5836603977112318,0.0,44,4.374013900756836
mean,10,4,2026,0.5777579539901587,0.0,49,4.960978984832764
mean,10,4,3407,0.5811876519452395,0.0,68,6.812557220458984
mean,10,5,42,0.5854726270142163,0.0,44,4.385023355484009
mean,10,5,2026,0.5803724207504161,0.0,53,5.3442771434783936
mean,10,5,3407,0.5893492638510629,0.0,39,3.8709778785705566
mean,15,1,42,0.5065123250487454,0.0,39,3.9897379875183105
mean,15,1,2026,0.5157439301604456,0.0,34,3.4043002128601074
mean,15,1,3407,0.5066527259096099,0.0,48,4.876103401184082
mean,15,2,42,0.5331985738118069,0.0,39,3.8938496112823486
mean,15,2,2026,0.5275815486628599,0.0,43,4.276822566986084
mean,15,2,3407,0.5263876619906788,0.0,38,3.8972110748291016
mean,15,3,42,0.5656810415097197,0.0,37,3.7083740234375
mean,15,3,2026,0.5638558701359998,0.0,45,4.5403618812561035
mean,15,3,3407,0.5605369936632758,0.0,52,5.33227276802063
mean,15,4,42,0.5316851197335634,0.0,36,3.6797847747802734
mean,15,4,2026,0.524967366227412,0.0,44,4.452331781387329
mean,15,4,3407,0.5367064409323823,0.0,48,4.823366165161133
mean,15,5,42,0.5076336146592139,0.0,47,4.81058931350708
mean,15,5,2026,0.5084203670655479,0.0,34,3.4230129718780518
mean,15,5,3407,0.5049174501450419,0.0,42,4.168465614318848
mean,20,1,42,0.46066951861267463,0.0,39,3.9699833393096924
mean,20,1,2026,0.45682217460604924,0.0,39,3.954169273376465
mean,20,1,3407,0.459412712770438,0.0,40,4.060705900192261
mean,20,2,42,0.45291453043705887,0.0,41,4.168582201004028
mean,20,2,2026,0.44878148845099886,0.0,43,4.413045406341553
mean,20,2,3407,0.45889333384133124,0.0,31,3.143874168395996
mean,20,3,42,0.4702210730614332,0.0,38,3.863110303878784
mean,20,3,2026,0.47420950150998964,0.0,36,3.662752866744995
mean,20,3,3407,0.4806805857216047,0.0,32,3.174549102783203
mean,20,4,42,0.5140746841922221,0.0,41,4.208232641220093
mean,20,4,2026,0.5130372212150744,0.0,36,3.7037410736083984
mean,20,4,3407,0.5147404981304284,0.0,38,3.977694272994995
mean,20,5,42,0.4775907594441263,0.0,40,4.0750768184661865
mean,20,5,2026,0.49092079175974507,0.0,39,4.032997369766235
mean,20,5,3407,0.48020315336084773,0.0,40,3.976106882095337
sample_sd,7,1,42,0.7229119739446284,0.0,50,4.676499605178833
sample_sd,7,1,2026,0.7334126378524757,0.0,29,2.7447924613952637
sample_sd,7,1,3407,0.7242313540839281,0.0,103,9.511223793029785
sample_sd,7,2,42,0.7275266760158531,0.0,27,2.535706043243408
sample_sd,7,2,2026,0.7165704744409559,0.0,32,3.0532705783843994
sample_sd,7,2,3407,0.7219923526332648,0.0,39,3.7303876876831055
sample_sd,7,3,42,0.7251098212128053,0.0,33,3.1137654781341553
sample_sd,7,3,2026,0.7439484832625894,0.0,37,3.479412078857422
sample_sd,7,3,3407,0.7282202471490875,0.0,42,4.034177303314209
sample_sd,7,4,42,0.7008821364736819,0.0,54,4.938804864883423
sample_sd,7,4,2026,0.6840993551417063,0.0,45,4.279698371887207
