predicted_gain_decile,n,predicted_gain_min,predicted_gain_median,predicted_gain_max,actual_gain_mean,actual_gain_median,improved_rate,harmed_rate,selection_regret_mean,delta_distance_to_oracle_median
1,14400,0.0,0.0,0.011019262128341603,0.0015436023469697945,0.0,0.2401388888888889,0.2403472222222222,0.12200880577963977,0.08
2,14400,0.011020686588463197,0.019992745939369463,0.028554972423215697,0.006797284742844537,0.0009872835089618642,0.5090277777777777,0.4895138888888889,0.1125358587353749,0.08
3,14400,0.02855532908993691,0.0372157363395144,0.04670015388169091,0.008927296588693371,0.0033425990653073757,0.5363194444444445,0.4597222222222222,0.10949164989572985,0.07999999999999999
4,14400,0.0467011586469111,0.056897933320618196,0.06854800395968409,0.01620302511840047,0.006650397798528215,0.570625,0.42381944444444447,0.10348494959709388,0.06
5,14400,0.06855346597979639,0.08137028168645485,0.09582311528138354,0.02057764215131961,0.012183954055759193,0.6040972222222222,0.38875,0.10260650590785217,0.04
6,14400,0.09582432907776481,0.11213938941603792,0.1307400487804472,0.03578843874299369,0.022108768593521386,0.6478472222222222,0.34215277777777775,0.09848192361879893,0.020000000000000018
7,14400,0.13074047741704892,0.15208849012379416,0.1762583609582812,0.04956555542263738,0.04038584285459378,0.6938888888888889,0.29506944444444444,0.09357535223994377,0.02
8,14400,0.17626697810544145,0.20240627754029042,0.2318894262913289,0.08070855742148557,0.07911040246413956,0.7694444444444445,0.21729166666666666,0.08788417404350349,0.02
9,14400,0.23189020103019997,0.2648903337762938,0.30607695488242437,0.12379929602104275,0.12086105928759734,0.823125,0.15458333333333332,0.08148690885704356,0.02
10,14400,0.3060842035018962,0.3774972180144161,15.868203336570025,0.2080457399815624,0.1291522154308245,0.8149305555555556,0.11708333333333333,0.08708052941092362,0.0
