target,held_out_beta,J1,default_J1,relative_improvement_vs_default,improved_rate,harmed_rate
absolute,1.5,0.5483967213415567,0.5476987191772456,-0.001274427235031128,0.538,0.3715
absolute,2.0,0.4925174631540561,0.5204978344244866,0.05375694079758919,0.5928333333333333,0.31533333333333335
absolute,2.5,0.504172499696512,0.5318700939484555,0.052075863198707606,0.5926666666666667,0.344
absolute,3.0,0.5344477204040146,0.5723656222089817,0.06624769261757402,0.6121666666666666,0.32066666666666666
absolute,3.5,0.5604542312389205,0.6136100743597207,0.08662804823774506,0.6468333333333334,0.2856666666666667
absolute,4.0,0.6060454361264438,0.6811755452846217,0.11029478330257081,0.7235,0.21283333333333335
absolute,4.5,0.6493582775678166,0.7305429111984516,0.11112917856865112,0.7365,0.21816666666666668
absolute,5.0,0.7016684099194705,0.789769332128496,0.11155272637845526,0.7675,0.195
oracle_regret,1.5,0.545833417110199,0.5476987191772456,0.003405708287667064,0.5078333333333334,0.41283333333333333
oracle_regret,2.0,0.4957995485982598,0.5204978344244866,0.04745127490018408,0.66,0.2635
oracle_regret,2.5,0.5086224916460106,0.5318700939484555,0.043709173662804024,0.57,0.31933333333333336
oracle_regret,3.0,0.5333650571243624,0.5723656222089817,0.06813925150518452,0.6135,0.3065
oracle_regret,3.5,0.558443064058899,0.6136100743597207,0.08990564628259479,0.6581666666666667,0.268
oracle_regret,4.0,0.605381097956468,0.6811755452846217,0.11127006518779792,0.7221666666666666,0.21916666666666668
oracle_regret,4.5,0.6455789885827115,0.7305429111984516,0.11630243934111595,0.7333333333333333,0.20566666666666666
oracle_regret,5.0,0.6950893808007755,0.789769332128496,0.11988304366358449,0.7685,0.188
