contract,script_sha256,target,n,fold,seed,train_rows,test_rows,n_iter,runtime_s
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,1,42,9600,2400,36,3.6889333724975586
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,1,2026,9600,2400,26,3.0135650634765625
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,1,3407,9600,2400,38,4.202374696731567
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,2,42,9600,2400,37,3.6690919399261475
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,2,2026,9600,2400,62,7.24574089050293
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,2,3407,9600,2400,26,3.2054476737976074
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,3,42,9600,2400,29,3.200831174850464
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,3,2026,9600,2400,33,4.623514890670776
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,3,3407,9600,2400,40,4.09461236000061
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,4,42,9600,2400,30,3.263667345046997
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,4,2026,9600,2400,31,2.9532790184020996
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,4,3407,9600,2400,26,2.524770498275757
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,5,42,9600,2400,47,5.520208835601807
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,5,2026,9600,2400,31,2.909811019897461
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,7,5,3407,9600,2400,26,2.5603790283203125
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,1,42,9600,2400,41,4.169365406036377
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,1,2026,9600,2400,42,4.245005130767822
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,1,3407,9600,2400,35,3.5351502895355225
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,2,42,9600,2400,50,5.044777870178223
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,2,2026,9600,2400,53,5.462379217147827
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,2,3407,9600,2400,48,4.586800813674927
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,3,42,9600,2400,40,3.9325923919677734
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,3,2026,9600,2400,30,2.859069347381592
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,3,3407,9600,2400,43,4.085591554641724
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,4,42,9600,2400,40,6.834568500518799
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,4,2026,9600,2400,33,5.722447872161865
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,4,3407,9600,2400,35,6.006531238555908
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,5,42,9600,2400,39,6.527940511703491
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,5,2026,9600,2400,37,3.6906192302703857
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,10,5,3407,9600,2400,35,3.424722194671631
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,15,1,42,9600,2400,30,3.1009938716888428
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,15,1,2026,9600,2400,30,3.088501214981079
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,15,1,3407,9600,2400,33,3.3984217643737793
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,15,2,42,9600,2400,30,3.0618913173675537
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,15,2,2026,9600,2400,34,3.5179977416992188
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,15,2,3407,9600,2400,35,3.591745138168335
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,15,3,42,9600,2400,29,2.97902774810791
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,15,3,2026,9600,2400,45,5.32904314994812
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,15,3,3407,9600,2400,43,4.61235499382019
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,15,4,42,9600,2400,32,3.325976610183716
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,15,4,2026,9600,2400,36,3.7241036891937256
E9_target_representation_screen_v1,faeaaec1cfa0ebb6de7ff600fec05372d9c6aa580b7f5827f7c39d0772997d83,default_residual,15,4,3407,9600,2400,35,3.4274604320526123
