route,track,fold,seed,pooled_J1,failure_rate,n_samples,endpoint_rate
dimensionless,P2-NI,combo_fold_1,42,0.494778555909325,0.0,15000,0.28813333333333335
dimensionless,P2-PI,combo_fold_1,42,0.5506711822924192,0.0,24000,0.342
dimensionless,P2-NI,combo_fold_1,2026,0.49231494636937884,0.0,15000,0.4487333333333333
dimensionless,P2-PI,combo_fold_1,2026,0.5488037636021063,0.0,24000,0.4402083333333333
dimensionless,P2-NI,combo_fold_1,3407,0.4929152571818885,0.0,15000,0.39953333333333335
dimensionless,P2-PI,combo_fold_1,3407,0.5462896614748871,0.0,24000,0.38545833333333335
dimensionless,P2-NI,combo_fold_2,42,0.4959020919701215,0.0,15000,0.34813333333333335
dimensionless,P2-PI,combo_fold_2,42,0.5478171744272345,0.0,24000,0.38208333333333333
dimensionless,P2-NI,combo_fold_2,2026,0.4974585800561459,0.0,15000,0.41533333333333333
dimensionless,P2-PI,combo_fold_2,2026,0.5495290540650103,0.0,24000,0.37233333333333335
dimensionless,P2-NI,combo_fold_2,3407,0.49842522986992777,0.0,15000,0.5897333333333333
dimensionless,P2-PI,combo_fold_2,3407,0.5514864682493937,0.0,24000,0.5477916666666667
dimensionless,P2-NI,combo_fold_3,42,0.4960204103807377,0.0,15000,0.34773333333333334
dimensionless,P2-PI,combo_fold_3,42,0.5531097527187289,0.0,24000,0.3662916666666667
dimensionless,P2-NI,combo_fold_3,2026,0.4987977932009516,0.0,15000,0.38706666666666667
dimensionless,P2-PI,combo_fold_3,2026,0.552307139836542,0.0,24000,0.3722083333333333
dimensionless,P2-NI,combo_fold_3,3407,0.4946404211890189,0.0,15000,0.4739333333333333
dimensionless,P2-PI,combo_fold_3,3407,0.5521101640317523,0.0,24000,0.418625
dimensionless,P2-NI,combo_fold_4,42,0.4960196031367752,0.0,15000,0.3804
dimensionless,P2-PI,combo_fold_4,42,0.5497720075904208,0.0,24000,0.45379166666666665
dimensionless,P2-NI,combo_fold_4,2026,0.49548404763916676,0.0,15000,0.4188
dimensionless,P2-PI,combo_fold_4,2026,0.5504632851716341,0.0,24000,0.429375
dimensionless,P2-NI,combo_fold_4,3407,0.4955591213199585,0.0,15000,0.4789333333333333
dimensionless,P2-PI,combo_fold_4,3407,0.5524361391811653,0.0,24000,0.440375
dimensionless,P2-NI,combo_fold_5,42,0.4921120455152611,0.0,15000,0.4172
dimensionless,P2-PI,combo_fold_5,42,0.5507892182836274,0.0,24000,0.37104166666666666
dimensionless,P2-NI,combo_fold_5,2026,0.49593149124723696,0.0,15000,0.369
dimensionless,P2-PI,combo_fold_5,2026,0.5559471977045563,0.0,24000,0.32358333333333333
dimensionless,P2-NI,combo_fold_5,3407,0.4948687572322692,0.0,15000,0.5134
dimensionless,P2-PI,combo_fold_5,3407,0.5520145366695152,0.0,24000,0.4721666666666667
dimensional,P2-NI,combo_fold_1,42,0.45277509805804556,0.0,15000,0.5406666666666666
dimensional,P2-PI,combo_fold_1,42,0.5435728110968518,0.0,24000,0.49370833333333336
dimensional,P2-NI,combo_fold_1,2026,0.4624358688745418,0.0,15000,0.19173333333333334
dimensional,P2-PI,combo_fold_1,2026,0.5464043199830665,0.0,24000,0.19925
dimensional,P2-NI,combo_fold_1,3407,0.44734609104436995,0.0,15000,0.6152
dimensional,P2-PI,combo_fold_1,3407,0.542970925618403,0.0,24000,0.5291666666666667
dimensional,P2-NI,combo_fold_2,42,0.45675246794129376,0.0,15000,0.3688666666666667
dimensional,P2-PI,combo_fold_2,42,0.5440442338924081,0.0,24000,0.298125
dimensional,P2-NI,combo_fold_2,2026,0.4553162590021474,0.0,15000,0.5422
dimensional,P2-PI,combo_fold_2,2026,0.544909212360158,0.0,24000,0.4661666666666667
dimensional,P2-NI,combo_fold_2,3407,0.45640152990494903,0.0,15000,0.6452
dimensional,P2-PI,combo_fold_2,3407,0.5380128521558194,0.0,24000,0.49754166666666666
dimensional,P2-NI,combo_fold_3,42,0.45995544863932586,0.0,15000,0.6639333333333334
dimensional,P2-PI,combo_fold_3,42,0.5536087552847724,0.0,24000,0.56125
dimensional,P2-NI,combo_fold_3,2026,0.45532823589402693,0.0,15000,0.5982
dimensional,P2-PI,combo_fold_3,2026,0.5474625392272096,0.0,24000,0.50375
dimensional,P2-NI,combo_fold_3,3407,0.4567557923112499,0.0,15000,0.43006666666666665
dimensional,P2-PI,combo_fold_3,3407,0.5512730849661353,0.0,24000,0.351375
dimensional,P2-NI,combo_fold_4,42,0.459892658547124,0.0,15000,0.37466666666666665
dimensional,P2-PI,combo_fold_4,42,0.5498399370375259,0.0,24000,0.36983333333333335
dimensional,P2-NI,combo_fold_4,2026,0.45094043145934326,0.0,15000,0.5770666666666666
dimensional,P2-PI,combo_fold_4,2026,0.5433378492489493,0.0,24000,0.5055833333333334
dimensional,P2-NI,combo_fold_4,3407,0.45624528514209356,0.0,15000,0.4139333333333333
dimensional,P2-PI,combo_fold_4,3407,0.5470466152544682,0.0,24000,0.39645833333333336
dimensional,P2-NI,combo_fold_5,42,0.45468010186075936,0.0,15000,0.33226666666666665
dimensional,P2-PI,combo_fold_5,42,0.5462731397983263,0.0,24000,0.3124166666666667
dimensional,P2-NI,combo_fold_5,2026,0.4500111408611956,0.0,15000,0.4252
dimensional,P2-PI,combo_fold_5,2026,0.5435268542392158,0.0,24000,0.40975
dimensional,P2-NI,combo_fold_5,3407,0.445571647102848,0.0,15000,0.5874666666666667
dimensional,P2-PI,combo_fold_5,3407,0.5510412224282429,0.0,24000,0.5020416666666667
