beta,gamma_over_eta,n,n_samples,rho_g0_l6_delta,rho_g0_gamma_hat_default_over_eta,rho_g0_gradient_at_true_gamma,rho_g0_local_gradient_slope_eta_scaled,rho_g0_sample_min_over_mean,rho_g0_lower_gap_over_mean,rho_g0_sample_cv,rho_default_gamma_l6_delta,l6_boundary_rate,default_boundary_rate
1.5,0.1,7.0,100,0.6167514108784815,-0.7257505125113456,0.9258805880588058,0.08496849684968495,-0.46109810981098104,0.42141014101410135,-0.2887968796879688,-0.6111305165978113,0.11,0.32
1.5,0.1,10.0,100,0.63044082624585,-0.5526129778556089,0.6826522652265226,0.057953795379537945,-0.1823102310231023,0.2724272427242724,-0.5763696369636963,-0.5109340406523323,0.08,0.23
1.5,0.1,15.0,100,0.6249746439999486,-0.6367691645783695,0.7391779177917791,-0.05678967896789678,-0.2007920792079208,0.2767356735673567,-0.64020402040204,-0.6390625089415237,0.05,0.19
1.5,0.1,20.0,100,0.6546367568039942,-0.6830506078077722,0.6706870687068707,-0.13281728172817278,-0.32471647164716466,0.15954395439543953,-0.6127812781278127,-0.6037803143226598,0.06,0.26
1.5,1.0,7.0,100,0.48234706652824866,-0.3385658565856585,0.37492949294929484,-0.12798079807980797,0.12368436843684366,-0.0025922592259225922,-0.5867506750675067,-0.770893624796042,0.0,0.0
1.5,1.0,10.0,100,0.14309744057193313,0.03522352235223522,0.15575157515751573,-0.24409240924092407,0.42792679267926786,-0.15797179717971793,-0.7533873387338733,-0.7597375222143006,0.0,0.0
1.5,1.0,15.0,100,0.014061420547192314,-0.11692769276927692,-0.11657965796579656,-0.38051005100510044,0.4492049204920492,-0.2273147314731473,-0.7714131413141314,-0.8371261910994852,0.0,0.0
1.5,1.0,20.0,100,-0.037940002501158275,-0.05731773177317731,0.057533753375337525,-0.19247524752475245,0.40949294929492946,-0.16966096609660966,-0.6303870387038704,-0.7880077789916224,0.0,0.0
3.0,0.5,7.0,100,0.836005838456492,-0.628150699524878,0.8748874887488747,0.5044104410441044,-0.4235103510351035,0.34529852985298526,0.029558955895589555,-0.7844905595498414,0.0,0.02
3.0,0.5,10.0,100,0.8445005538466522,-0.542058205820582,0.7396219621962196,0.30096609660966095,-0.3303930393039303,0.2569456945694569,-0.2536333633363336,-0.8055160544249728,0.0,0.0
3.0,0.5,15.0,100,0.7719327059370904,-0.4875487548754875,0.7443384338433842,0.2704470447044704,-0.38487848784878487,0.09798979897989799,-0.07685568556855685,-0.8232250161219844,0.0,0.0
3.0,0.5,20.0,100,0.7570237361270268,-0.4864686468646864,0.6512691269126912,0.1392139213921392,-0.31577557755775576,0.04853285328532853,-0.20367236723672363,-0.8372602254298287,0.0,0.0
5.0,0.1,7.0,100,0.4207132276718978,-0.8006120799307133,0.9901590159015901,0.8054485448544854,-0.7566516651665166,0.5895469546954696,0.5193039303930392,-0.2529324468722087,0.37,0.04
5.0,0.1,10.0,100,0.5716749461044895,-0.7455227888506067,0.991035103510351,0.7253885388538853,-0.6657785778577857,0.3635523552355235,0.3722532253225322,-0.4192900360667953,0.36,0.02
5.0,0.1,15.0,100,0.7005622267104823,-0.7762129080273847,0.9928832883288329,0.7393459345934592,-0.7114431443144313,0.48062406240624056,0.2872367236723672,-0.6400026311484601,0.16,0.04
5.0,0.1,20.0,100,0.6484125250653051,-0.8229441698062769,0.988106810681068,0.6663186318631863,-0.7674407440744074,0.4864206420642063,0.35096309630963096,-0.5377123691236009,0.23,0.03
5.0,1.0,7.0,100,0.8091898459497545,-0.8184338433843382,0.8228862886288628,0.7329132913291329,-0.806120612061206,0.5917911791179117,0.5714011401140113,-0.7834432413575575,0.0,0.0
5.0,1.0,10.0,100,0.8161868888816295,-0.642040204020402,0.7643804380438043,0.5822142214221422,-0.6132973297329734,0.3356255625562556,0.3463906390639063,-0.6330640712445359,0.0,0.0
5.0,1.0,15.0,100,0.8012807299061542,-0.6888328832883287,0.7757215721572156,0.5724812481248124,-0.7112871287128713,0.4054485448544854,0.4008160816081608,-0.8026540530122401,0.0,0.0
5.0,1.0,20.0,100,0.699330981121961,-0.37177317731773174,0.7283888388838883,0.3006900690069007,-0.2977497749774977,0.04739273927392739,-0.13628562856285625,-0.8090750914617606,0.0,0.0
