stratifier,tertile,delta,R_mean_loss,mean_excess_over_l6,n_samples,J1
default_gamma_hat,low,0.0,1.0869161233548112,1.0119731969680885,660,1.04255269572085
default_gamma_hat,low,0.02,0.5527543297859815,0.47781140339925876,660,0.7434744984099868
default_gamma_hat,low,0.04,0.3562333365073096,0.2812904101205868,660,0.5968528600143502
default_gamma_hat,low,0.06,0.2761757079705034,0.2012327815837806,660,0.5255242220587967
default_gamma_hat,low,0.08,0.24082628067562029,0.16588335428889747,660,0.49074054313417015
default_gamma_hat,low,0.1,0.22573910812193523,0.15079618173521245,660,0.4751200986297414
default_gamma_hat,low,0.12,0.22730524705112823,0.15236232066440544,660,0.4767654004341425
default_gamma_hat,low,0.14,0.22841271160213583,0.15346978521541307,660,0.4779254247287288
default_gamma_hat,low,0.16,0.23228465735338577,0.15734173096666298,660,0.4819591863979623
default_gamma_hat,low,0.18,0.2370459737651397,0.16210304737841688,660,0.4868736733128417
default_gamma_hat,low,0.2,0.24384016826441013,0.16889724187768737,660,0.49380174996086246
default_gamma_hat,low,0.22,0.2506925740178029,0.1757496476310802,660,0.5006920950222831
default_gamma_hat,low,0.24,0.2575812133615073,0.18263828697478451,660,0.5075245938489161
default_gamma_hat,low,0.26,0.26447363885623976,0.18953071246951697,660,0.5142700057909656
default_gamma_hat,low,0.28,0.2713576485535719,0.19641472216684913,660,0.5209200020670851
default_gamma_hat,low,0.3,0.2800984555926877,0.2051555292059649,660,0.5292432858267431
default_gamma_hat,low,0.32,0.2868249045709532,0.21188197818423044,660,0.5355603650112218
default_gamma_hat,low,0.34,0.29309740368175974,0.21815447729503698,660,0.5413847095012564
default_gamma_hat,low,0.36,0.29988735874812456,0.22494443236140177,660,0.5476197209269628
default_gamma_hat,low,0.38,0.3054213972214394,0.23047847083471665,660,0.552649434290346
default_gamma_hat,low,0.4,0.31113735616954286,0.23619442978282007,660,0.5577968771600849
default_gamma_hat,low,0.42,0.3162868149324643,0.2413438885457415,660,0.5623938254750529
default_gamma_hat,low,0.44,0.32143259322313006,0.2464896668364073,660,0.5669502563921548
default_gamma_hat,low,0.46,0.3259223264463756,0.25097940005965275,660,0.5708960732448382
default_gamma_hat,low,0.48,0.3339263906851252,0.2589834642984024,660,0.5778636436782688
default_gamma_hat,low,0.5,0.3385044816512815,0.2635615552645587,660,0.5818113797883997
default_gamma_hat,middle,0.0,0.7917566170250075,0.6670598804565073,660,0.8898070673044846
default_gamma_hat,middle,0.02,0.2654485529767878,0.1407518164082876,660,0.5152169960092425
default_gamma_hat,middle,0.04,0.24084897694838744,0.1161522403798872,660,0.4907636671030033
default_gamma_hat,middle,0.06,0.2597630359596854,0.13506629939118514,660,0.5096695360325997
default_gamma_hat,middle,0.08,0.28261486917367407,0.15791813260517384,660,0.5316153394830458
default_gamma_hat,middle,0.1,0.30742695692937466,0.1827302203608744,660,0.5544609606900874
default_gamma_hat,middle,0.12,0.32736396677364715,0.2026672302051469,660,0.5721572919867816
default_gamma_hat,middle,0.14,0.3455481933565698,0.2208514567880695,660,0.5878334741715291
default_gamma_hat,middle,0.16,0.362129145555724,0.23743240898722376,660,0.6017716722775541
default_gamma_hat,middle,0.18,0.37731428625645336,0.2526175496879531,660,0.6142591360789462
default_gamma_hat,middle,0.2,0.391419131140025,0.2667223945715248,660,0.6256349823499522
default_gamma_hat,middle,0.22,0.40425463763042424,0.279557901061924,660,0.6358102213950514
