window_id,beta_center,bootstrap_reps,bootstrap_modal_delta,bootstrap_delta_q025,bootstrap_delta_q975,prob_delta_0.10,prob_point_estimate,selection_probabilities
1,2.0,5000,0.18,0.16,0.22,0.0,0.5088,"{""0.16"": 0.0796, ""0.18"": 0.5088, ""0.20"": 0.1812, ""0.22"": 0.229, ""0.24"": 0.0014}"
2,2.25,5000,0.16,0.16,0.18,0.0,0.9562,"{""0.12"": 0.0004, ""0.14"": 0.0082, ""0.16"": 0.9562, ""0.18"": 0.0352}"
3,2.5,5000,0.14,0.12,0.14,0.0224,0.5658,"{""0.10"": 0.0224, ""0.12"": 0.4118, ""0.14"": 0.5658}"
4,2.75,5000,0.1,0.1,0.12,0.8734,0.8734,"{""0.10"": 0.8734, ""0.12"": 0.1266}"
5,3.0,5000,0.1,0.1,0.1,0.9826,0.9826,"{""0.06"": 0.002, ""0.08"": 0.0154, ""0.10"": 0.9826}"
6,3.25,5000,0.08,0.08,0.08,0.0,0.9818,"{""0.06"": 0.0182, ""0.08"": 0.9818}"
7,3.5,5000,0.06,0.06,0.06,0.0,1.0,"{""0.06"": 1.0}"
8,3.75,5000,0.06,0.06,0.06,0.0,1.0,"{""0.06"": 1.0}"
9,4.0,5000,0.06,0.04,0.06,0.0,0.5458,"{""0.04"": 0.4542, ""0.06"": 0.5458}"
10,4.25,5000,0.04,0.04,0.04,0.0,1.0,"{""0.04"": 1.0}"
11,4.5,5000,0.04,0.04,0.04,0.0,1.0,"{""0.04"": 1.0}"
