window_id,beta_center,beta_lower,beta_upper,beta_levels,delta,mean_loss,J1,excess_J1_pct
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.0,0.8083275163807565,0.8990703623080657,77.17450216624661
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.02,0.5124527112926387,0.715858024536038,41.06992559880034
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.04,0.389451374714328,0.6240603934831371,22.979906993264798
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.06,0.33350766482333377,0.5775012249539682,13.804765812709064
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.08,0.3033426335064085,0.5507654977451006,8.536113483737529
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.1,0.2842462207529263,0.533147466235118,5.064231757020288
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.12,0.27152116363662326,0.5210769267935621,2.6855616260801574
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.14,0.26391683326047977,0.5137283652480946,1.2374238739760512
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.16,0.2588338052906554,0.5087571181719774,0.2577694856416901
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.18,0.257504557949784,0.5074490693161078,0.0
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.2,0.2580786069188563,0.508014376685204,0.11140179444177889
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.22,0.2580875984319605,0.5080232262721465,0.11314573043015308
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.24,0.25871427745287134,0.5086396341742072,0.2346176060001426
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.26,0.2612604261253637,0.5111364065739826,0.7266418406963071
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.28,0.2633022585814143,0.5131298652207006,1.1194809978169573
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.3,0.26627561172544856,0.5160190032600045,1.6888264186682767
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.32,0.2687850999433191,0.5184448861193629,2.1668808690642027
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.34,0.27126947809331625,0.5208353656322853,2.637958590448952
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.36,0.27435772437601774,0.5237916803234066,3.2205421185073524
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.38,0.27709158514030974,0.526394894675385,3.7335422419457087
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.4,0.280417584228759,0.5295446952135003,4.354254886538844
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.42,0.2834910597567777,0.5324387849854457,4.924576116183776
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.44,0.2866654056194232,0.5354114358317567,5.510378914150715
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.46,0.29004368098843275,0.538557035965953,6.130263809877423
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.48,0.29327809834731855,0.5415515657324965,6.720378157821605
1,2.0,1.5,2.5,1.50;1.75;2.00;2.25;2.50,0.5,0.29635305449908483,0.5443831871936209,7.278389125294771
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.0,0.8365989450267031,0.914657829478709,78.31876255068212
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.02,0.5037513220245645,0.7097544096548922,38.371447732188656
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.04,0.37923679670309013,0.6158220495427962,20.058695488871294
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.06,0.3204877869952138,0.5661164076364629,10.368242654092374
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.08,0.2946438514176736,0.5428110641997578,5.824707499727144
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.1,0.2766021429308858,0.5259297889746176,2.5335881199913146
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.12,0.2685576642606327,0.5182254955717952,1.0315837401658534
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.14,0.26470335236058395,0.51449329671103,0.3039661973039287
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.16,0.26310144252321066,0.5129341502797514,0.0
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.18,0.2643063526249561,0.5141073357042828,0.2287204749169991
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.2,0.2668076294219299,0.5165342480629236,0.7018635396392803
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.22,0.2700520569805051,0.5196653317092695,1.3122895845103955
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.24,0.2733189438230971,0.5227991429058555,1.923247383845239
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.26,0.2777011211577307,0.5269735488216943,2.7370761986281966
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.28,0.2820679306339031,0.5311006784347984,3.54168817676479
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.3,0.2867772911188028,0.5355159111723972,4.402467817814393
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.32,0.2914228099013193,0.5398359101628191,5.244680992364326
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.34,0.295847891535267,0.5439190119266535,6.0407094419435925
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.36,0.3004965674237621,0.5481756720466188,6.870574273061525
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.38,0.30504250505551356,0.5523065317878412,7.675913465035666
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.4,0.30970379885936805,0.5565103762369288,8.495481522025994
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.42,0.3142696825971599,0.5605976120152135,9.29231592582922
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.44,0.3188630679582768,0.5646796153202954,10.08813022340631
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.46,0.3233796805179404,0.5686648226485795,10.865073487197696
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.48,0.3277563570731941,0.572500093513699,11.612785618087763
2,2.25,1.75,2.75,1.75;2.00;2.25;2.50;2.75,0.5,0.3318739041586707,0.5760849799800987,12.311683608101575
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.0,0.8625333195763271,0.9287267195339688,72.91679935945825
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.02,0.5079714581591588,0.7127211643827892,32.69938291714087
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.04,0.38305543380929424,0.6189147225662791,15.233847214292084
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.06,0.3272379465591304,0.5720471541395258,6.507717389814505
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.08,0.30555450033375875,0.5527698439077142,2.918533709154536
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.1,0.2918317903450513,0.5402145780567674,0.5809069989612059
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.12,0.2885520052149733,0.5371703688914471,0.014114965980760452
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.14,0.28847056442364305,0.5370945581772758,0.0
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.16,0.2903096891418214,0.5388039431387093,0.31826517982878055
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.18,0.29501146314255877,0.5431495771355794,1.1273655385473313
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.2,0.30006919830147855,0.5477857229806912,1.990555413500683
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.22,0.30626723665324623,0.5534141637627702,3.03849766061266
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.24,0.31186498510929717,0.5584487309586236,3.975868393419746
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.26,0.31811753435513695,0.5640190904172809,5.012996655817603
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.28,0.32429685496686395,0.5694706796375595,6.0280114492609504
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.3,0.33078972529756595,0.5751432215523069,7.0841647519490625
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.32,0.3370584533249121,0.5805673546841159,8.094067579901143
3,2.5,2.0,3.0,2.00;2.25;2.50;2.75;3.00,0.34,0.3432819765382908,0.5859027022793893,9.08743969921284
