window_id,beta_center,beta_lower,beta_upper,n_beta_levels,n_parameter_conditions,n_samples,best_delta,best_J1,default_delta,default_J1,default_excess_J1_pct,near_optimal_1pct_lower,near_optimal_1pct_upper
1,2.0,1.5,2.5,5,100,10000,0.18,0.5074490693161078,0.1,0.533147466235118,5.064231757020288,0.16,0.26
2,2.25,1.75,2.75,5,100,10000,0.16,0.5129341502797514,0.1,0.5259297889746176,2.5335881199913146,0.14,0.2
3,2.5,2.0,3.0,5,100,10000,0.14,0.5370945581772758,0.1,0.5402145780567674,0.5809069989612059,0.1,0.16
4,2.75,2.25,3.25,5,100,10000,0.1,0.5536075519144373,0.1,0.5536075519144373,0.0,0.1,0.14
5,3.0,2.5,3.5,5,100,10000,0.1,0.5748767553290012,0.1,0.5748767553290012,0.0,0.08,0.12
6,3.25,2.75,3.75,5,100,10000,0.08,0.5939859106464054,0.1,0.5979920847621562,0.6744560845544312,0.06,0.1
7,3.5,3.0,4.0,5,100,10000,0.06,0.6146246602109453,0.1,0.6281999833011479,2.2087176075140658,0.06,0.08
8,3.75,3.25,4.25,5,100,10000,0.06,0.6314765673193793,0.1,0.6560258445655041,3.8875990838957986,0.06,0.06
9,4.0,3.5,4.5,5,100,10000,0.06,0.6500596201399456,0.1,0.6831547220164268,5.091087163567631,0.04,0.06
10,4.25,3.75,4.75,5,100,10000,0.04,0.6617013101344679,0.1,0.7102118006369893,7.331176432560382,0.04,0.04
11,4.5,4.0,5.0,5,100,10000,0.04,0.6756236393614623,0.1,0.7375119333187076,9.160172964897505,0.04,0.04
