fold,layer,J1,n_holdout_samples,n_holdout_repeats
0,Default,0.6255634658014986,9000,200
0,L1,0.625373418890138,9000,200
0,L2,0.6249241839026662,9000,200
0,L3,0.5781531814551645,9000,200
0,L4,0.5758030159384601,9000,200
0,L5,0.5638903840671756,9000,200
1,Default,0.6364564149796633,9000,200
1,L1,0.6356480117896378,9000,200
1,L2,0.636039272776119,9000,200
1,L3,0.5886140784505485,9000,200
1,L4,0.5853240721370535,9000,200
1,L5,0.5751257984537039,9000,200
2,Default,0.6389502948504291,9000,200
2,L1,0.6377368842787887,9000,200
2,L2,0.6382580988349491,9000,200
2,L3,0.5885752369823918,9000,200
2,L4,0.5874781715475771,9000,200
2,L5,0.575671967843643,9000,200
3,Default,0.6311945701199494,9000,200
3,L1,0.6318815012368704,9000,200
3,L2,0.6313238351097877,9000,200
3,L3,0.5855021426208611,9000,200
3,L4,0.5835105881112151,9000,200
3,L5,0.5730751055231401,9000,200
4,Default,0.633845954474469,9000,200
4,L1,0.6338548637396791,9000,200
4,L2,0.633031116218964,9000,200
4,L3,0.5844302599763368,9000,200
4,L4,0.5807398959457392,9000,200
4,L5,0.571776218306183,9000,200
