fold,layer,delta_star,mean_train_loss,group_id,n_train_repeats,n,beta,gamma_over_eta
0,L1,0.08,0.40295073708838625,all,800,,,
0,L2,0.1,0.5487844379979641,n=7,800,7.0,,
0,L2,0.1,0.41997161001054845,n=10,800,10.0,,
0,L2,0.08,0.23874961417702958,n=20,800,20.0,,
0,L3,0.36,0.22379929578737662,beta=1.5,800,,1.5,
0,L3,0.2,0.2510206064299629,beta=2.0,800,,2.0,
0,L3,0.12,0.2915548222664835,beta=2.5,800,,2.5,
0,L3,0.04,0.4388068421533863,beta=4.0,800,,4.0,
0,L3,0.04,0.5163919717736591,beta=5.0,800,,5.0,
0,L4,0.3,0.34990795094983773,beta=1.5|n=7,800,7.0,1.5,
0,L4,0.42,0.2150507994636123,beta=1.5|n=10,800,10.0,1.5,
0,L4,0.5,0.09372348113621691,beta=1.5|n=20,800,20.0,1.5,
0,L4,0.16,0.3679806999787055,beta=2.0|n=7,800,7.0,2.0,
0,L4,0.22,0.25355716462382005,beta=2.0|n=10,800,10.0,2.0,
0,L4,0.3,0.12052750243799842,beta=2.0|n=20,800,20.0,2.0,
0,L4,0.12,0.4151959295821137,beta=2.5|n=7,800,7.0,2.5,
0,L4,0.14,0.29720405376517506,beta=2.5|n=10,800,10.0,2.5,
0,L4,0.16,0.1584071289079364,beta=2.5|n=20,800,20.0,2.5,
0,L4,0.04,0.5792339250945281,beta=4.0|n=7,800,7.0,4.0,
0,L4,0.04,0.4557784901010267,beta=4.0|n=10,800,10.0,4.0,
0,L4,0.06,0.27251875158154387,beta=4.0|n=20,800,20.0,4.0,
0,L4,0.02,0.6550966919598498,beta=5.0|n=7,800,7.0,5.0,
0,L4,0.02,0.5429577264014857,beta=5.0|n=10,800,10.0,5.0,
0,L4,0.04,0.3349267683367609,beta=5.0|n=20,800,20.0,5.0,
0,L5,0.16,0.2920318382768302,beta=1.5|gamma_over_eta=0.1|n=7,800,7.0,1.5,0.1
0,L5,0.24,0.20538054562837801,beta=1.5|gamma_over_eta=0.1|n=10,800,10.0,1.5,0.1
0,L5,0.5,0.0941210841860399,beta=1.5|gamma_over_eta=0.1|n=20,800,20.0,1.5,0.1
0,L5,0.3,0.3635933565951273,beta=1.5|gamma_over_eta=0.5|n=7,800,7.0,1.5,0.5
0,L5,0.42,0.2182409928823437,beta=1.5|gamma_over_eta=0.5|n=10,800,10.0,1.5,0.5
0,L5,0.5,0.09548074841549224,beta=1.5|gamma_over_eta=0.5|n=20,800,20.0,1.5,0.5
0,L5,0.28,0.3734611598205108,beta=1.5|gamma_over_eta=1.0|n=7,800,7.0,1.5,1.0
0,L5,0.4,0.21285775389824188,beta=1.5|gamma_over_eta=1.0|n=10,800,10.0,1.5,1.0
0,L5,0.5,0.09156861080711859,beta=1.5|gamma_over_eta=1.0|n=20,800,20.0,1.5,1.0
0,L5,0.08,0.308570269712955,beta=2.0|gamma_over_eta=0.1|n=7,800,7.0,2.0,0.1
0,L5,0.1,0.2319973020051393,beta=2.0|gamma_over_eta=0.1|n=10,800,10.0,2.0,0.1
0,L5,0.1,0.11183095736179846,beta=2.0|gamma_over_eta=0.1|n=20,800,20.0,2.0,0.1
0,L5,0.16,0.3636964805784452,beta=2.0|gamma_over_eta=0.5|n=7,800,7.0,2.0,0.5
0,L5,0.24,0.260769617961495,beta=2.0|gamma_over_eta=0.5|n=10,800,10.0,2.0,0.5
0,L5,0.32,0.11508516965160803,beta=2.0|gamma_over_eta=0.5|n=20,800,20.0,2.0,0.5
0,L5,0.16,0.42526654334061115,beta=2.0|gamma_over_eta=1.0|n=7,800,7.0,2.0,1.0
0,L5,0.26,0.2554878084797849,beta=2.0|gamma_over_eta=1.0|n=10,800,10.0,2.0,1.0
0,L5,0.32,0.1292159159809736,beta=2.0|gamma_over_eta=1.0|n=20,800,20.0,2.0,1.0
0,L5,0.04,0.37408482258795145,beta=2.5|gamma_over_eta=0.1|n=7,800,7.0,2.5,0.1
0,L5,0.04,0.2540059275666023,beta=2.5|gamma_over_eta=0.1|n=10,800,10.0,2.5,0.1
0,L5,0.04,0.13940979072504828,beta=2.5|gamma_over_eta=0.1|n=20,800,20.0,2.5,0.1
0,L5,0.12,0.42510045189771056,beta=2.5|gamma_over_eta=0.5|n=7,800,7.0,2.5,0.5
0,L5,0.16,0.30662421122568295,beta=2.5|gamma_over_eta=0.5|n=10,800,10.0,2.5,0.5
0,L5,0.16,0.15514436114760335,beta=2.5|gamma_over_eta=0.5|n=20,800,20.0,2.5,0.5
0,L5,0.12,0.4261153588319689,beta=2.5|gamma_over_eta=1.0|n=7,800,7.0,2.5,1.0
0,L5,0.14,0.3064698809813857,beta=2.5|gamma_over_eta=1.0|n=10,800,10.0,2.5,1.0
0,L5,0.16,0.16836917776821916,beta=2.5|gamma_over_eta=1.0|n=20,800,20.0,2.5,1.0
0,L5,0.02,0.5030353276075133,beta=4.0|gamma_over_eta=0.1|n=7,800,7.0,4.0,0.1
0,L5,0.0,0.33378333156752854,beta=4.0|gamma_over_eta=0.1|n=10,800,10.0,4.0,0.1
0,L5,0.0,0.212065276876393,beta=4.0|gamma_over_eta=0.1|n=20,800,20.0,4.0,0.1
0,L5,0.04,0.5812869328033214,beta=4.0|gamma_over_eta=0.5|n=7,800,7.0,4.0,0.5
0,L5,0.06,0.4826784838557013,beta=4.0|gamma_over_eta=0.5|n=10,800,10.0,4.0,0.5
0,L5,0.06,0.27206512439685343,beta=4.0|gamma_over_eta=0.5|n=20,800,20.0,4.0,0.5
0,L5,0.06,0.6044567116749201,beta=4.0|gamma_over_eta=1.0|n=7,800,7.0,4.0,1.0
0,L5,0.06,0.47642672364200533,beta=4.0|gamma_over_eta=1.0|n=10,800,10.0,4.0,1.0
0,L5,0.06,0.2764664004503641,beta=4.0|gamma_over_eta=1.0|n=20,800,20.0,4.0,1.0
0,L5,0.0,0.5337050864324593,beta=5.0|gamma_over_eta=0.1|n=7,800,7.0,5.0,0.1
0,L5,0.0,0.41640799874081613,beta=5.0|gamma_over_eta=0.1|n=10,800,10.0,5.0,0.1
0,L5,0.0,0.24007241604341215,beta=5.0|gamma_over_eta=0.1|n=20,800,20.0,5.0,0.1
0,L5,0.02,0.6453551542114987,beta=5.0|gamma_over_eta=0.5|n=7,800,7.0,5.0,0.5
0,L5,0.04,0.5474566149844611,beta=5.0|gamma_over_eta=0.5|n=10,800,10.0,5.0,0.5
0,L5,0.04,0.33070509632483847,beta=5.0|gamma_over_eta=0.5|n=20,800,20.0,5.0,0.5
0,L5,0.04,0.6973079475803597,beta=5.0|gamma_over_eta=1.0|n=7,800,7.0,5.0,1.0
0,L5,0.04,0.5714276850385483,beta=5.0|gamma_over_eta=1.0|n=10,800,10.0,5.0,1.0
0,L5,0.04,0.34595539957730564,beta=5.0|gamma_over_eta=1.0|n=20,800,20.0,5.0,1.0
1,L1,0.08,0.39971161662894134,all,800,,,
1,L2,0.1,0.5461609355772485,n=7,800,7.0,,
1,L2,0.1,0.4134040471233452,n=10,800,10.0,,
1,L2,0.08,0.2374288888195776,n=20,800,20.0,,
1,L3,0.36,0.22021362394996086,beta=1.5,800,,1.5,
1,L3,0.2,0.24867268350421168,beta=2.0,800,,2.0,
1,L3,0.12,0.2893904892663898,beta=2.5,800,,2.5,
1,L3,0.04,0.4354247822651326,beta=4.0,800,,4.0,
1,L3,0.04,0.5126151692708483,beta=5.0,800,,5.0,
1,L4,0.3,0.34735990718248855,beta=1.5|n=7,800,7.0,1.5,
1,L4,0.4,0.2054468470879219,beta=1.5|n=10,800,10.0,1.5,
1,L4,0.5,0.09454758984280907,beta=1.5|n=20,800,20.0,1.5,
1,L4,0.16,0.36440242739739054,beta=2.0|n=7,800,7.0,2.0,
1,L4,0.2,0.2500561916140038,beta=2.0|n=10,800,10.0,2.0,
1,L4,0.3,0.12088867828193531,beta=2.0|n=20,800,20.0,2.0,
1,L4,0.12,0.41090268273903763,beta=2.5|n=7,800,7.0,2.5,
1,L4,0.14,0.2953744520060997,beta=2.5|n=10,800,10.0,2.5,
1,L4,0.16,0.15822816572565862,beta=2.5|n=20,800,20.0,2.5,
1,L4,0.04,0.58038635926585,beta=4.0|n=7,800,7.0,4.0,
1,L4,0.04,0.44482642894530966,beta=4.0|n=10,800,10.0,4.0,
1,L4,0.06,0.2727918539783177,beta=4.0|n=20,800,20.0,4.0,
1,L4,0.02,0.6508330736707163,beta=5.0|n=7,800,7.0,5.0,
1,L4,0.04,0.5447975180901486,beta=5.0|n=10,800,10.0,5.0,
1,L4,0.04,0.32757778726091635,beta=5.0|n=20,800,20.0,5.0,
1,L5,0.16,0.28968196078501884,beta=1.5|gamma_over_eta=0.1|n=7,800,7.0,1.5,0.1
1,L5,0.24,0.19355912330106245,beta=1.5|gamma_over_eta=0.1|n=10,800,10.0,1.5,0.1
1,L5,0.5,0.09606511662680843,beta=1.5|gamma_over_eta=0.1|n=20,800,20.0,1.5,0.1
1,L5,0.3,0.34597026637367473,beta=1.5|gamma_over_eta=0.5|n=7,800,7.0,1.5,0.5
1,L5,0.42,0.21121515158465823,beta=1.5|gamma_over_eta=0.5|n=10,800,10.0,1.5,0.5
1,L5,0.5,0.0931838481574308,beta=1.5|gamma_over_eta=0.5|n=20,800,20.0,1.5,0.5
1,L5,0.3,0.38291069665520316,beta=1.5|gamma_over_eta=1.0|n=7,800,7.0,1.5,1.0
1,L5,0.4,0.2032022588494777,beta=1.5|gamma_over_eta=1.0|n=10,800,10.0,1.5,1.0
1,L5,0.5,0.09439380474418799,beta=1.5|gamma_over_eta=1.0|n=20,800,20.0,1.5,1.0
1,L5,0.08,0.2968481005311315,beta=2.0|gamma_over_eta=0.1|n=7,800,7.0,2.0,0.1
1,L5,0.1,0.23150898605511547,beta=2.0|gamma_over_eta=0.1|n=10,800,10.0,2.0,0.1
1,L5,0.08,0.11131329590622777,beta=2.0|gamma_over_eta=0.1|n=20,800,20.0,2.0,0.1
