layer,group_id,n_folds,n_unique_delta,min_delta,max_delta,mode_delta,mode_fraction
L1,all,5,1,0.08,0.08,0.08,1.0
L2,n=10,5,1,0.1,0.1,0.1,1.0
L2,n=20,5,1,0.08,0.08,0.08,1.0
L2,n=7,5,2,0.08,0.1,0.1,0.8
L3,beta=1.5,5,1,0.36,0.36,0.36,1.0
L3,beta=2.0,5,1,0.2,0.2,0.2,1.0
L3,beta=2.5,5,1,0.12,0.12,0.12,1.0
L3,beta=4.0,5,1,0.04,0.04,0.04,1.0
L3,beta=5.0,5,1,0.04,0.04,0.04,1.0
L4,beta=1.5|n=10,5,2,0.4,0.42,0.42,0.6
L4,beta=1.5|n=20,5,1,0.5,0.5,0.5,1.0
L4,beta=1.5|n=7,5,1,0.3,0.3,0.3,1.0
L4,beta=2.0|n=10,5,2,0.2,0.22,0.2,0.6
L4,beta=2.0|n=20,5,2,0.28,0.3,0.3,0.6
L4,beta=2.0|n=7,5,1,0.16,0.16,0.16,1.0
L4,beta=2.5|n=10,5,1,0.14,0.14,0.14,1.0
L4,beta=2.5|n=20,5,1,0.16,0.16,0.16,1.0
L4,beta=2.5|n=7,5,1,0.12,0.12,0.12,1.0
L4,beta=4.0|n=10,5,2,0.04,0.06,0.04,0.8
L4,beta=4.0|n=20,5,1,0.06,0.06,0.06,1.0
L4,beta=4.0|n=7,5,1,0.04,0.04,0.04,1.0
L4,beta=5.0|n=10,5,2,0.02,0.04,0.04,0.8
L4,beta=5.0|n=20,5,1,0.04,0.04,0.04,1.0
L4,beta=5.0|n=7,5,1,0.02,0.02,0.02,1.0
L5,beta=1.5|gamma_over_eta=0.1|n=10,5,2,0.24,0.26,0.24,0.8
L5,beta=1.5|gamma_over_eta=0.1|n=20,5,1,0.5,0.5,0.5,1.0
L5,beta=1.5|gamma_over_eta=0.1|n=7,5,2,0.16,0.2,0.16,0.8
L5,beta=1.5|gamma_over_eta=0.5|n=10,5,1,0.42,0.42,0.42,1.0
L5,beta=1.5|gamma_over_eta=0.5|n=20,5,1,0.5,0.5,0.5,1.0
L5,beta=1.5|gamma_over_eta=0.5|n=7,5,2,0.3,0.36,0.3,0.8
L5,beta=1.5|gamma_over_eta=1.0|n=10,5,3,0.4,0.44,0.4,0.6
L5,beta=1.5|gamma_over_eta=1.0|n=20,5,1,0.5,0.5,0.5,1.0
L5,beta=1.5|gamma_over_eta=1.0|n=7,5,2,0.28,0.3,0.3,0.6
L5,beta=2.0|gamma_over_eta=0.1|n=10,5,1,0.1,0.1,0.1,1.0
L5,beta=2.0|gamma_over_eta=0.1|n=20,5,3,0.08,0.14,0.08,0.4
L5,beta=2.0|gamma_over_eta=0.1|n=7,5,1,0.08,0.08,0.08,1.0
L5,beta=2.0|gamma_over_eta=0.5|n=10,5,2,0.2,0.24,0.2,0.6
L5,beta=2.0|gamma_over_eta=0.5|n=20,5,1,0.32,0.32,0.32,1.0
L5,beta=2.0|gamma_over_eta=0.5|n=7,5,2,0.16,0.2,0.16,0.8
L5,beta=2.0|gamma_over_eta=1.0|n=10,5,2,0.24,0.26,0.26,0.6
L5,beta=2.0|gamma_over_eta=1.0|n=20,5,2,0.3,0.32,0.32,0.6
L5,beta=2.0|gamma_over_eta=1.0|n=7,5,2,0.16,0.18,0.16,0.6
L5,beta=2.5|gamma_over_eta=0.1|n=10,5,2,0.02,0.04,0.04,0.8
L5,beta=2.5|gamma_over_eta=0.1|n=20,5,1,0.04,0.04,0.04,1.0
L5,beta=2.5|gamma_over_eta=0.1|n=7,5,1,0.04,0.04,0.04,1.0
L5,beta=2.5|gamma_over_eta=0.5|n=10,5,1,0.16,0.16,0.16,1.0
L5,beta=2.5|gamma_over_eta=0.5|n=20,5,2,0.16,0.18,0.16,0.6
L5,beta=2.5|gamma_over_eta=0.5|n=7,5,1,0.12,0.12,0.12,1.0
L5,beta=2.5|gamma_over_eta=1.0|n=10,5,2,0.14,0.16,0.14,0.6
L5,beta=2.5|gamma_over_eta=1.0|n=20,5,2,0.16,0.18,0.18,0.6
L5,beta=2.5|gamma_over_eta=1.0|n=7,5,2,0.12,0.14,0.12,0.8
L5,beta=4.0|gamma_over_eta=0.1|n=10,5,1,0.0,0.0,0.0,1.0
L5,beta=4.0|gamma_over_eta=0.1|n=20,5,1,0.0,0.0,0.0,1.0
L5,beta=4.0|gamma_over_eta=0.1|n=7,5,1,0.02,0.02,0.02,1.0
