beta,eta,gamma,gamma_over_eta,n,bias_beta,sd_beta,bias_eta,sd_eta,bias_gamma,sd_gamma
1.5,1.0,0.1,0.1,7,-0.06064153825704044,0.5850244575037432,-0.09060116933357754,0.32564763046329065,0.07378573579827513,0.1899532852211901
1.5,1.0,0.1,0.1,10,-0.04112631044142834,0.4746644042866604,-0.058041998946806506,0.28109548616398994,0.04270786187157449,0.1550168730096632
1.5,1.0,0.1,0.1,20,0.03681086783136567,0.3606528149463968,-0.011050926147332163,0.20188557639665372,0.006751799177105042,0.10595105692117227
1.5,1.0,0.5,0.5,7,0.10740225887724142,0.7666285017955431,-0.004035958449730259,0.4276403294942572,-0.004855690747484653,0.2817075530144482
1.5,1.0,0.5,0.5,10,0.1330224534040323,0.6724348047493638,0.016210767383254332,0.3602220684877405,-0.0045162661794181935,0.24237661571472202
1.5,1.0,0.5,0.5,20,0.09731388000363306,0.47768127248992653,0.01792509473524251,0.24183635190225589,-0.013731562487171833,0.14492745365980925
1.5,1.0,1.0,1.0,7,0.12122420051630023,0.814895079366449,0.014742727592774951,0.454285738703689,-0.009451949776749236,0.3201973292079071
1.5,1.0,1.0,1.0,10,0.12039161057340442,0.6824980207712709,0.01865726114288946,0.37950511100458656,-0.015533913260917909,0.24577277109532225
1.5,1.0,1.0,1.0,20,0.10363700104577278,0.4819087396889221,0.018800442823656782,0.2392519996587405,-0.015968692616880387,0.14337213803609933
2.0,1.0,0.1,0.1,7,-0.270327054346821,0.664618974443007,-0.13504836431855782,0.3020153678475158,0.12177858262878388,0.22771663054596963
2.0,1.0,0.1,0.1,10,-0.17620653626071414,0.6181379779177466,-0.09491243618328149,0.27513645910843304,0.08360979694313073,0.194313823691735
2.0,1.0,0.1,0.1,20,-0.07359631738865913,0.4542030569451362,-0.04462483291589159,0.1914866496416689,0.037492781009056675,0.13620931935470607
2.0,1.0,0.5,0.5,7,-0.09928174395682765,0.8631014934784023,-0.06666058688626164,0.4032821770455827,0.049193939254609687,0.30887596362949893
2.0,1.0,0.5,0.5,10,-0.06103803003026087,0.7806523001106527,-0.054734084978007025,0.33245556504734713,0.04172360261806751,0.26374443090333616
2.0,1.0,0.5,0.5,20,0.09262021319189273,0.6307778578715111,0.00763330014265029,0.25497645695342036,-0.014363086938797565,0.19510670090717985
2.0,1.0,1.0,1.0,7,-0.06880797886786105,0.9734782537152911,-0.07120816032510868,0.4051104016885245,0.05138249203512446,0.32184484732697377
