beta,eta,gamma,gamma_over_eta,n,bias_beta,sd_beta,bias_eta,sd_eta,bias_gamma,sd_gamma
1.5,1.0,0.1,0.1,7,-0.07954214276383675,0.5676775368765082,-0.09702533731922036,0.32402567680363226,0.0793786970138538,0.19016922133905026
1.5,1.0,0.1,0.1,10,-0.0554302488067433,0.4642180122933654,-0.06285745533422127,0.28047092715414335,0.04686964711180916,0.1548827532452244
1.5,1.0,0.1,0.1,20,0.02802714556108321,0.3565836007727697,-0.013912150348378338,0.20136112103396456,0.00922158433349747,0.10567550194111591
1.5,1.0,0.5,0.5,7,0.057361535770964034,0.7148985440910121,-0.023174265070799227,0.4146572515990494,0.012706198218271125,0.269686473840466
1.5,1.0,0.5,0.5,10,0.09516938071879921,0.6329694511189391,0.002020528457979731,0.3507056129605673,0.008401986976129261,0.2324860712586012
1.5,1.0,0.5,0.5,20,0.07747201269831794,0.4542361282850281,0.010911578969993618,0.23529463397910333,-0.007389469370295054,0.13785999177468183
1.5,1.0,1.0,1.0,7,0.06052127092260107,0.7447601573533381,-0.00983115415192004,0.430739836576878,0.013328361901630004,0.29780669304951163
1.5,1.0,1.0,1.0,10,0.07669782682474269,0.6289834782930144,0.0013900466107279463,0.3620002801835351,0.00031305783821089506,0.22826917259886392
1.5,1.0,1.0,1.0,20,0.08238929819233087,0.4567281815454368,0.01132214867722392,0.23233468496154502,-0.009221088291086699,0.1357938729713655
2.0,1.0,0.1,0.1,7,-0.3041285664080593,0.6429636218430361,-0.1454120315252707,0.29918770309192927,0.13115164619166336,0.2267699817684514
2.0,1.0,0.1,0.1,10,-0.20565255803365345,0.5996349223399642,-0.10347407818849996,0.27370142532228436,0.09138057830426713,0.19391323342396252
2.0,1.0,0.1,0.1,20,-0.09331531295082574,0.4475213948553045,-0.050282202804659004,0.19072852230248755,0.042626846015911046,0.136223542775629
2.0,1.0,0.5,0.5,7,-0.1714068505369204,0.8011250127594821,-0.09037414473872207,0.38890174435077285,0.07132862723905098,0.29559780480640846
2.0,1.0,0.5,0.5,10,-0.1228794402309914,0.725226769335876,-0.07445224029823228,0.3194138873608391,0.06011242162321395,0.2513650170504076
2.0,1.0,0.5,0.5,20,0.04427212465027086,0.5895075633878833,-0.00719272403169402,0.24425689040790663,-0.0004723467166606321,0.1846421466061569
2.0,1.0,1.0,1.0,7,-0.1543471397455478,0.9018231074262754,-0.10007265990305159,0.3802894412271057,0.0785342010062633,0.298550991865909
2.0,1.0,1.0,1.0,10,-0.08232818151318999,0.7326978904265619,-0.05858400157549848,0.3341647910529867,0.04555132505482096,0.26184447913247344
2.0,1.0,1.0,1.0,20,0.017742959066587183,0.6094338639834999,-0.01661646785106763,0.24087005400137812,0.008567750251726958,0.18575639103186745
2.5,1.0,0.1,0.1,7,-0.6095660016216964,0.7629580296294856,-0.2202881375700616,0.2913579423358799,0.19891686397270156,0.2440109049106975
2.5,1.0,0.1,0.1,10,-0.45948245515428665,0.6931206648391165,-0.15430781632899815,0.2588443264657144,0.13915436310253668,0.20781266595584727
2.5,1.0,0.1,0.1,20,-0.26836708085448313,0.5623080029713677,-0.08643244610747258,0.19900612004860238,0.07814916054147569,0.16284064081172728
2.5,1.0,0.5,0.5,7,-0.4818943301536933,0.9040501686085397,-0.15291984505521716,0.35814615541819134,0.13409080283549646,0.3073913170681551
2.5,1.0,0.5,0.5,10,-0.35618578678891755,0.8043066891967879,-0.12092517833353589,0.3207707873632126,0.10599824311199468,0.27122915761904065
