delta,J1_global,J1_n7,J1_n10,J1_n20
0.0,0.9079884816434376,1.074908633288853,0.9293663462923284,0.719690465349131
0.02,0.7044843695473829,0.8268608657145708,0.7322054606843934,0.5543867822431845
0.04,0.6453854633402154,0.7642661420881441,0.6700440598134226,0.5018461881190796
0.06,0.6233241829472842,0.7397709456215413,0.6459231916561387,0.4842784115641728
0.08,0.6158001615236385,0.7321768509294141,0.636408599019046,0.47881503462245534
0.1,0.6136776503711532,0.7295438331507242,0.6331994630424503,0.478289654920285
0.12,0.614878201488639,0.7306061076307894,0.6338378241352471,0.4801906726998808
0.14,0.6181156046394828,0.7348221284055434,0.6361206538166175,0.4834040316962873
0.16,0.6228389895109815,0.7415805662508674,0.6396323660707961,0.487304036211281
0.18,0.6283046597872526,0.7494760180782746,0.6438316318637007,0.4916063294197824
0.2,0.6332373529481888,0.7555380572461593,0.6480752547854518,0.49609874681295546
0.22,0.6384861571458937,0.7620180244647957,0.6528050720204146,0.5006353749524708
0.24,0.6438098785507128,0.7687232020266206,0.6575232151254226,0.5051832185000953
0.26,0.6491399931532637,0.775251038942704,0.662469088302796,0.5096998522142909
0.28,0.6540856852748762,0.7810635086628547,0.6670705658363258,0.5141229813254482
0.3,0.6590849435430242,0.7863062691551924,0.6724952878882178,0.5184532735856623
0.32,0.664134778034452,0.7922348212592496,0.6774636328588781,0.5227058799852282
0.34,0.6687056827579058,0.7972592819267295,0.6820467637470322,0.5268110025999555
0.36,0.673012830221642,0.8019894316956252,0.6862710456775223,0.5307780132917788
0.38,0.6774285903091097,0.807014509752807,0.6906193178981568,0.5346519432763657
0.4,0.6815105827133274,0.8114720852045811,0.6946506223059933,0.5384090406294078
0.42,0.6854628440812814,0.8157845729332956,0.6985935838385091,0.5420103754720393
0.44,0.689335414790959,0.8199656458914549,0.7025544722670998,0.5454861262143226
0.46,0.6930026147673397,0.8237202184036037,0.7064149400759541,0.5488726858224616
0.48,0.6965761772375443,0.8274943957828328,0.7101123793595351,0.552121756570265
0.5,0.6999485104015771,0.8310536264528329,0.7135367811273429,0.5552551236245559
