beta,eta,gamma,gamma_over_eta,n,delta_x,J1_default,delta_y,J1_L1,delta,J1_L2
1.5,1.0,0.1,0.1,7,0.1,0.5501137558982003,0.08,0.5560884925969288,0.1,0.5501137558982003
1.5,1.0,0.1,0.1,10,0.1,0.4535907994906047,0.08,0.4570803110097387,0.1,0.4535907994906047
1.5,1.0,0.1,0.1,20,0.1,0.32976511772550576,0.08,0.33234418885289846,0.08,0.33234418885289846
1.5,1.0,0.5,0.5,7,0.1,0.6881185342437892,0.08,0.7266960541500725,0.1,0.6881185342437892
1.5,1.0,0.5,0.5,10,0.1,0.5990459113460106,0.08,0.6302605158411676,0.1,0.5990459113460106
1.5,1.0,0.5,0.5,20,0.1,0.41078763504674215,0.08,0.43062710285633643,0.08,0.43062710285633643
1.5,1.0,1.0,1.0,7,0.1,0.722582923649894,0.08,0.781198352993811,0.1,0.722582923649894
1.5,1.0,1.0,1.0,10,0.1,0.6010322310284532,0.08,0.6465848491768854,0.1,0.6010322310284532
1.5,1.0,1.0,1.0,20,0.1,0.4101167513673045,0.08,0.4315253865919591,0.08,0.4315253865919591
2.0,1.0,0.1,0.1,7,0.1,0.5527324235490856,0.08,0.5518890348333699,0.1,0.5527324235490856
2.0,1.0,0.1,0.1,10,0.1,0.4814908676445334,0.08,0.48221752986977917,0.1,0.4814908676445334
2.0,1.0,0.1,0.1,20,0.1,0.33379687580133943,0.08,0.3338257232577995,0.08,0.3338257232577995
2.0,1.0,0.5,0.5,7,0.1,0.647513871462217,0.08,0.673171998076109,0.1,0.647513871462217
2.0,1.0,0.5,0.5,10,0.1,0.5561769955983253,0.08,0.5811866980590764,0.1,0.5561769955983253
2.0,1.0,0.5,0.5,20,0.1,0.4254353915002731,0.08,0.4525002061327914,0.08,0.4525002061327914
2.0,1.0,1.0,1.0,7,0.1,0.6773291865972447,0.08,0.7162424899948191,0.1,0.6773291865972447
2.0,1.0,1.0,1.0,10,0.1,0.566857335777443,0.08,0.6066442842569038,0.1,0.566857335777443
2.0,1.0,1.0,1.0,20,0.1,0.4308353149815374,0.08,0.46021525828926296,0.08,0.46021525828926296
2.5,1.0,0.1,0.1,7,0.1,0.6203838275525478,0.08,0.6149678130557829,0.1,0.6203838275525478
2.5,1.0,0.1,0.1,10,0.1,0.5136348280197554,0.08,0.5093448756679406,0.1,0.5136348280197554
2.5,1.0,0.1,0.1,20,0.1,0.3764245569040392,0.08,0.37346495418970505,0.08,0.37346495418970505
2.5,1.0,0.5,0.5,7,0.1,0.657034247319075,0.08,0.6702804776648478,0.1,0.657034247319075
2.5,1.0,0.5,0.5,10,0.1,0.5708258281049524,0.08,0.5906668429195363,0.1,0.5708258281049524
2.5,1.0,0.5,0.5,20,0.1,0.41587977613752236,0.08,0.43728140512553854,0.08,0.43728140512553854
2.5,1.0,1.0,1.0,7,0.1,0.6604051084873432,0.08,0.6781076478499509,0.1,0.6604051084873432
2.5,1.0,1.0,1.0,10,0.1,0.5623904494519832,0.08,0.5846756974116912,0.1,0.5623904494519832
2.5,1.0,1.0,1.0,20,0.1,0.4273474108527001,0.08,0.4478229782731411,0.08,0.4478229782731411
4.0,1.0,0.1,0.1,7,0.1,0.807427355329496,0.08,0.781421097428892,0.1,0.807427355329496
4.0,1.0,0.1,0.1,10,0.1,0.689618024282257,0.08,0.6675482847743551,0.1,0.689618024282257
4.0,1.0,0.1,0.1,20,0.1,0.5589990472513394,0.08,0.5394312703316831,0.08,0.5394312703316831
4.0,1.0,0.5,0.5,7,0.1,0.8244376980862204,0.08,0.8025959169767887,0.1,0.8244376980862204
4.0,1.0,0.5,0.5,10,0.1,0.7170001953761052,0.08,0.6998522322805919,0.1,0.7170001953761052
4.0,1.0,0.5,0.5,20,0.1,0.5469517192372311,0.08,0.5315733345317887,0.08,0.5315733345317887
4.0,1.0,1.0,1.0,7,0.1,0.8078454935170252,0.08,0.7881935771492531,0.1,0.8078454935170252
4.0,1.0,1.0,1.0,10,0.1,0.7154000996419416,0.08,0.7003922020100531,0.1,0.7154000996419416
4.0,1.0,1.0,1.0,20,0.1,0.5455726823277592,0.08,0.5330220265917764,0.08,0.5330220265917764
5.0,1.0,0.1,0.1,7,0.1,0.9156560839537821,0.08,0.8829201125752484,0.1,0.9156560839537821
5.0,1.0,0.1,0.1,10,0.1,0.8214213465130475,0.08,0.7927528803523713,0.1,0.8214213465130475
5.0,1.0,0.1,0.1,20,0.1,0.6640285079179954,0.08,0.6357774906934464,0.08,0.6357774906934464
5.0,1.0,0.5,0.5,7,0.1,0.901439546089079,0.08,0.8750389287399363,0.1,0.901439546089079
5.0,1.0,0.5,0.5,10,0.1,0.8150528912413714,0.08,0.7893174156979551,0.1,0.8150528912413714
5.0,1.0,0.5,0.5,20,0.1,0.642412552915337,0.08,0.614911411556652,0.08,0.614911411556652
5.0,1.0,1.0,1.0,7,0.1,0.9101374415258628,0.08,0.8838407698554003,0.1,0.9101374415258628
5.0,1.0,1.0,1.0,10,0.1,0.8344541421199708,0.08,0.8076043659576448,0.1,0.8344541421199708
5.0,1.0,1.0,1.0,20,0.1,0.6559914838376492,0.08,0.627902782062051,0.08,0.627902782062051
