beta,eta,gamma,gamma_over_eta,n,J1_default,J1_L1,improvement_pct
1.5,1.0,0.1,0.1,7,0.5501137558982003,0.5501137558982003,0.0
1.5,1.0,0.1,0.1,10,0.45359079949060466,0.45359079949060466,0.0
1.5,1.0,0.1,0.1,20,0.32976511772550576,0.32976511772550576,0.0
1.5,1.0,0.5,0.5,7,0.6881185342437892,0.6881185342437892,0.0
1.5,1.0,0.5,0.5,10,0.5990459113460106,0.5990459113460106,0.0
1.5,1.0,0.5,0.5,20,0.41078763504674215,0.41078763504674215,0.0
1.5,1.0,1.0,1.0,7,0.722582923649894,0.722582923649894,0.0
1.5,1.0,1.0,1.0,10,0.6010322310284532,0.6010322310284532,0.0
1.5,1.0,1.0,1.0,20,0.4101167513673045,0.4101167513673045,0.0
2.0,1.0,0.1,0.1,7,0.5527324235490856,0.5527324235490856,0.0
2.0,1.0,0.1,0.1,10,0.48149086764453336,0.48149086764453336,0.0
2.0,1.0,0.1,0.1,20,0.33379687580133943,0.33379687580133943,0.0
2.0,1.0,0.5,0.5,7,0.6475138714622171,0.6475138714622171,0.0
2.0,1.0,0.5,0.5,10,0.5561769955983253,0.5561769955983253,0.0
2.0,1.0,0.5,0.5,20,0.4254353915002731,0.4254353915002731,0.0
2.0,1.0,1.0,1.0,7,0.6773291865972447,0.6773291865972447,0.0
2.0,1.0,1.0,1.0,10,0.566857335777443,0.566857335777443,0.0
2.0,1.0,1.0,1.0,20,0.4308353149815374,0.4308353149815374,0.0
2.5,1.0,0.1,0.1,7,0.6203838275525478,0.6203838275525478,0.0
2.5,1.0,0.1,0.1,10,0.5136348280197554,0.5136348280197554,0.0
2.5,1.0,0.1,0.1,20,0.3764245569040392,0.3764245569040392,0.0
2.5,1.0,0.5,0.5,7,0.6570342473190749,0.6570342473190749,0.0
2.5,1.0,0.5,0.5,10,0.5708258281049525,0.5708258281049525,0.0
2.5,1.0,0.5,0.5,20,0.4158797761375224,0.4158797761375224,0.0
2.5,1.0,1.0,1.0,7,0.6604051084873432,0.6604051084873432,0.0
2.5,1.0,1.0,1.0,10,0.5623904494519832,0.5623904494519832,0.0
2.5,1.0,1.0,1.0,20,0.42734741085270017,0.42734741085270017,0.0
4.0,1.0,0.1,0.1,7,0.807427355329496,0.807427355329496,0.0
4.0,1.0,0.1,0.1,10,0.689618024282257,0.689618024282257,0.0
4.0,1.0,0.1,0.1,20,0.5589990472513394,0.5589990472513394,0.0
4.0,1.0,0.5,0.5,7,0.8244376980862204,0.8244376980862204,0.0
4.0,1.0,0.5,0.5,10,0.7170001953761053,0.7170001953761053,0.0
4.0,1.0,0.5,0.5,20,0.5469517192372311,0.5469517192372311,0.0
4.0,1.0,1.0,1.0,7,0.8078454935170252,0.8078454935170252,0.0
4.0,1.0,1.0,1.0,10,0.7154000996419416,0.7154000996419416,0.0
4.0,1.0,1.0,1.0,20,0.5455726823277592,0.5455726823277592,0.0
5.0,1.0,0.1,0.1,7,0.9156560839537821,0.9156560839537821,0.0
5.0,1.0,0.1,0.1,10,0.8214213465130475,0.8214213465130475,0.0
5.0,1.0,0.1,0.1,20,0.6640285079179954,0.6640285079179954,0.0
5.0,1.0,0.5,0.5,7,0.901439546089079,0.901439546089079,0.0
5.0,1.0,0.5,0.5,10,0.8150528912413714,0.8150528912413714,0.0
5.0,1.0,0.5,0.5,20,0.6424125529153369,0.6424125529153369,0.0
5.0,1.0,1.0,1.0,7,0.9101374415258628,0.9101374415258628,0.0
5.0,1.0,1.0,1.0,10,0.8344541421199708,0.8344541421199708,0.0
5.0,1.0,1.0,1.0,20,0.6559914838376492,0.6559914838376492,0.0
