beta,n,n_samples,gradient_at_zero_median,gradient_at_zero_q1,gradient_at_zero_q3,gradient_at_true_gamma_median,gradient_at_true_gamma_q1,gradient_at_true_gamma_q3,local_gradient_slope_median,local_gradient_slope_q1,local_gradient_slope_q3,gamma_hat_d01_median,gamma_hat_d01_q1,gamma_hat_d01_q3,gamma_error_d01_median,gamma_error_d01_q1,gamma_error_d01_q3,strategy_truncated_at_zero_count,strategy_brent_root_count
1.5,7,20,0.004008654200943207,-0.024969325247009563,0.051515560904102774,0.13090135144668424,-0.03423171364288429,0.43996475786590283,1.6733758346602032,0.3480358473630116,5.030927032539946,0.44807478315896726,0.282536312028631,0.6470015624949941,-0.05192521684103274,-0.217463687971369,0.14700156249499405,2,18
1.5,10,20,-0.014955160735491413,-0.05798860143527151,0.0022512039954403202,0.06581021624049299,-0.08236744367943148,0.3791169723090565,1.7846430360491534,0.7610129643183676,6.2364224871965614,0.5373064951373581,0.3856653775770508,0.6279342450950094,0.037306495137358064,-0.11433462242294919,0.12793424509500945,0,20
1.5,20,20,-0.07362884085482246,-0.09549462391192363,-0.061753956261123566,-0.09663472047168437,-0.35286800473717556,0.3329827149066623,11.702663012338682,1.7774542592387044,19.561979560168023,0.5394777248455218,0.49339909491395295,0.6269704555208722,0.039477724845521756,-0.006600905086047021,0.12697045552087216,0,20
2.0,7,20,-0.009989112752056271,-0.028234329809883336,0.009375975198102017,0.0576741130182397,0.0009299459835329241,0.20744829222220593,1.1555015186824158,0.48628325016659013,2.8527113674846416,0.553061953164982,0.44067300916913843,0.7046994600544739,0.05306195316498197,-0.05932699083086157,0.2046994600544739,1,19
2.0,10,20,-0.013258930930834058,-0.022030560022337213,-0.00426596186106417,-0.010150874464416485,-0.031166276516453605,0.1689533650729238,0.8156015684261886,0.2972009519597783,2.6862247329022444,0.6643374994044899,0.45730235956702314,0.790291871141108,0.16433749940449,-0.042697640432976885,0.290291871141108,0,20
2.0,20,20,-0.026099057220951846,-0.04933798538747646,0.010358554007952603,0.09685218713042655,-0.07162666337108597,0.39100789260333735,2.265658708355864,0.6304145154991485,5.246343966245169,0.5063315350908859,0.3471578473550814,0.6103994186651449,0.006331535090885854,-0.15284215264491863,0.11039941866514486,1,19
2.5,7,20,-0.004830042237722241,-0.01811082637992495,0.029681013125754104,0.017741643470024743,-0.026378842653744745,0.21039205562731972,0.763897500253424,0.37217094358098773,1.5055729625135796,0.6602699739451144,0.33820958030967785,0.7539703803048854,0.16026997394511444,-0.16179041969032215,0.25397038030488533,0,20
2.5,10,20,0.0034725730850604904,-0.016567398118325083,0.022101158121332065,0.07586541798184956,-0.022621631529300693,0.28724204362880695,1.2850554916682222,0.33111740553598046,4.342459229565452,0.5655295171492286,0.3447929889870918,0.7115404166956651,0.06552951714922861,-0.15520701101290818,0.2115404166956652,0,20
2.5,20,20,-0.018223498010616623,-0.03176743958131778,1.5375197642832853e-06,0.15809347399239435,-0.0022021615101709344,0.22945153644604432,2.0849654992099573,1.039162322707155,2.8017059633279704,0.4606705713347885,0.4256171784977164,0.5764207911847787,-0.0393294286652115,-0.07438282150228356,0.07642079118477876,0,20
4.0,7,20,-0.0007351574652716776,-0.007116708805522894,0.004700424815113628,0.007163093112772032,-0.013864014835263404,0.036721305327048426,0.08253268251779788,-0.04539994605246003,0.5453119105096087,0.9684035051879492,0.7192932066493093,1.0921393851686019,0.46840350518794915,0.21929320664930932,0.5921393851686018,0,20
4.0,10,20,-0.002787236227281672,-0.006845046534624613,0.0076847202600443774,-0.004202021738994749,-0.01616197390131377,0.0336706126847342,0.270125653770131,0.11241654944676538,0.46615582349569856,0.8644599963158939,0.6708199874566844,0.9869133177395617,0.36445999631589393,0.17081998745668436,0.48691331773956165,0,20
4.0,20,20,-0.005900013455462073,-0.007933496730568035,-0.0005019252510146677,0.0011247971918238726,-0.01500528700328279,0.04347548912649786,0.4491093652476503,0.2708483555665955,0.5911994220557516,0.7272455753855335,0.6191493999688933,0.8517484456766886,0.22724557538553347,0.11914939996889334,0.35174844567668856,0,20
5.0,7,20,0.002191915639894145,-0.00047792504174647046,0.0103393441367385,0.00861126140916276,0.0007474791704309165,0.03374095166341892,0.1899152021857567,0.011242113740082573,0.34550200749590354,0.903066169403827,0.7975042504233936,1.220658529929472,0.403066169403827,0.29750425042339357,0.7206585299294721,0,20
5.0,10,20,0.0001963584782874976,-0.002876794216811603,0.005919457581678506,0.0036811851725845482,-0.005378033432621374,0.022739244914172313,0.1046170733680865,0.008623826472348953,0.30049163785814614,0.9477145144096419,0.774213723108006,1.1072630028717119,0.44771451440964194,0.27421372310800596,0.6072630028717119,0,20
5.0,20,20,-0.0004577568181334768,-0.005101356109253552,0.0038341693944787814,0.007831464019862431,-0.0044697374731869355,0.03902152336545392,0.321371698153502,0.22135486273793592,0.4363093665925478,0.7977132878613595,0.7215133375115108,0.862256458415099,0.2977132878613596,0.22151333751151076,0.362256458415099,0,20
