beta,eta,gamma,gamma_over_eta,n,repeat_id,gradient_at_zero,gradient_at_true_gamma,local_gradient_slope,gamma_hat_d01,gamma_error_d01,solution_strategy
1.5,1.0,0.5,0.5,7,0,0.04830460444534445,0.11953392893147512,0.40887199879189545,0.42852250761335453,-0.07147749238664547,brent_root
1.5,1.0,0.5,0.5,7,1,-0.08145007811544147,0.07078337531935286,4.995138952753948,0.5122487953704609,0.012248795370460863,brent_root
1.5,1.0,0.5,0.5,7,2,0.021660352403363167,0.09388504357026672,1.7178377947725667,0.5180217492460903,0.018021749246090346,brent_root
1.5,1.0,0.5,0.5,7,3,-0.0002934354384476201,0.6389110872000132,14.382001380996169,0.4084587824545466,-0.09154121754545341,brent_root
1.5,1.0,0.5,0.5,7,4,0.13624859681038437,0.894481650790052,3.3239593355095574,0.0,-0.5,truncated_at_zero
1.5,1.0,0.5,0.5,7,5,0.2345598272168736,0.5425042632397684,-0.7008115632527319,0.0,-0.5,truncated_at_zero
1.5,1.0,0.5,0.5,7,6,-0.0421879798984115,-0.22606533081970712,-1.2935649151615316,0.6408211542026201,0.1408211542026201,brent_root
1.5,1.0,0.5,0.5,7,7,0.072755253036072,1.1477752397256265,5.138291271897941,0.08695213276424663,-0.4130478672357534,brent_root
1.5,1.0,0.5,0.5,7,8,-0.00782227430884408,-0.03166460992975356,0.07642929142776685,0.7714559298280351,0.2714559298280351,brent_root
1.5,1.0,0.5,0.5,7,9,0.022666641746882373,0.15135217517028426,1.6289138745478395,0.4299368383084947,-0.07006316169150528,brent_root
1.5,1.0,0.5,0.5,7,10,0.08094664140367858,0.28669448021091276,1.002792559081084,0.1063078990229908,-0.3936921009770092,brent_root
1.5,1.0,0.5,0.5,7,11,0.00801357507435041,0.12886750004054573,2.7483863205701757,0.4662127280094398,-0.0337872719905602,brent_root
1.5,1.0,0.5,0.5,7,12,-0.048109659064876624,-0.18143690862012815,1.3284529306219455,0.7018875536719495,0.20188755367194955,brent_root
1.5,1.0,0.5,0.5,7,13,0.016815669091896357,0.405784922741281,7.4561266907980155,0.3243371350919165,-0.17566286490808353,brent_root
1.5,1.0,0.5,0.5,7,14,3.7333275360040825e-06,0.13293520285282276,6.057805333615614,0.4810516817423332,-0.018948318257666796,brent_root
1.5,1.0,0.5,0.5,7,15,-0.02125137152086953,-0.06444138435554458,0.16552739307635986,0.7707666788290298,0.2707666788290298,brent_root
1.5,1.0,0.5,0.5,7,16,0.061148430280377745,0.3985114989749927,1.9368165717831085,0.15713384283877463,-0.34286615716122537,brent_root
1.5,1.0,0.5,0.5,7,17,-0.016123298131403428,-0.041933024782276486,0.0651602544100265,0.9892948613285367,0.4892948613285367,brent_root
1.5,1.0,0.5,0.5,7,18,-0.04049578318093827,0.8662131699904878,21.650439138298548,0.3712218106326203,-0.12877818936737973,brent_root
1.5,1.0,0.5,0.5,7,19,-0.036123186425429665,-0.08725690087513803,1.4141480580049282,0.6655427873721159,0.16554278737211592,brent_root
1.5,1.0,0.5,0.5,10,0,-0.055876571550261815,-0.6492792217407776,13.500857572596267,0.5433146721994689,0.04331467219946894,brent_root
1.5,1.0,0.5,0.5,10,1,-0.08250909475648882,-0.05546577161479744,3.1809052040259505,0.5734637059957846,0.07346370599578456,brent_root
1.5,1.0,0.5,0.5,10,2,-0.2275918117411457,-0.9874047642912966,1.1243529136581845,0.6171984286865884,0.11719842868658836,brent_root
1.5,1.0,0.5,0.5,10,3,0.01727206425938821,0.1498304666739203,1.753639716356733,0.4294877446943909,-0.07051225530560912,brent_root
1.5,1.0,0.5,0.5,10,4,0.006951210620997904,0.5561508483222486,6.201402857587103,0.30864959979682344,-0.19135040020317656,brent_root
1.5,1.0,0.5,0.5,10,5,-0.06432469109030059,1.7124466055580632,32.934060171062825,0.43497721364915,-0.06502278635085001,brent_root
1.5,1.0,0.5,0.5,10,6,-0.008558797018332065,0.0798255685391666,1.0713209204639933,0.5350773779785273,0.03507737797852728,brent_root
1.5,1.0,0.5,0.5,10,7,-0.0003763998279726621,0.07195341884007271,1.815646355741574,0.5374367604610039,0.03743676046100386,brent_root
1.5,1.0,0.5,0.5,10,8,0.029570592988137353,1.5672406286794922,40.587346627552584,0.3037900262507093,-0.19620997374929072,brent_root
1.5,1.0,0.5,0.5,10,9,-0.020630948663336035,-0.06276687221181278,-0.4559295811701695,0.909406012877393,0.409406012877393,brent_root
1.5,1.0,0.5,0.5,10,10,-0.0007084841047166889,0.05966701364091327,3.7303293823162,0.5371762298137123,0.03717622981371227,brent_root
1.5,1.0,0.5,0.5,10,11,-0.03998659947601624,1.1467898569570425,11.457099865806562,0.3341203257438101,-0.16587967425618988,brent_root
1.5,1.0,0.5,0.5,10,12,-0.04649932985878457,-0.14116915808228758,-0.2749233046856476,0.8033966855580676,0.30339668555806765,brent_root
1.5,1.0,0.5,0.5,10,13,-0.1027056482139077,-0.22733462018055708,6.3414813760249364,0.561384981495919,0.06138498149591898,brent_root
1.5,1.0,0.5,0.5,10,14,-0.08886299682209219,-0.3815771022562078,-4.069174151155131,0.6901434960050011,0.19014349600500113,brent_root
1.5,1.0,0.5,0.5,10,15,0.0006845351202544591,0.2506953371902745,5.3264376013199275,0.4028470615214644,-0.09715293847853562,brent_root
1.5,1.0,0.5,0.5,10,16,0.06776668797919827,0.5636448617390352,0.7849176398530372,0.10612526048074236,-0.39387473951925767,brent_root
1.5,1.0,0.5,0.5,10,17,-0.018390607431362227,-0.05822290342850802,0.4322135790998408,0.6601416943202727,0.1601416943202727,brent_root
1.5,1.0,0.5,0.5,10,18,-0.011519714039620597,-0.0017693519476941217,0.6892989377143587,0.6921204667145214,0.19212046671452143,brent_root
1.5,1.0,0.5,0.5,10,19,0.07890277652078392,0.32010568030465913,1.1933487826016995,0.11155087987535234,-0.38844912012464766,brent_root
1.5,1.0,0.5,0.5,20,0,-0.09367538818527697,0.515327618753663,10.499735244234643,0.4412619206354929,-0.05873807936450709,brent_root
1.5,1.0,0.5,0.5,20,1,-0.07481395903063959,0.3374061284853187,80.20843292054424,0.4964069906473402,-0.003593009352659826,brent_root
1.5,1.0,0.5,0.5,20,2,-0.07244372267900534,0.03360416315674082,14.027629624627773,0.5078562170916414,0.007856217091641415,brent_root
1.5,1.0,0.5,0.5,20,3,-0.09467754027159268,1.5411162195878672,22.940792401766657,0.4035684207344313,-0.09643157926556872,brent_root
1.5,1.0,0.5,0.5,20,4,-0.06620662878764616,0.33150824371377685,18.20420456852384,0.4850378667647839,-0.014962133235216113,brent_root
1.5,1.0,0.5,0.5,20,5,-0.04423773142803177,-0.1086492823957197,6.132763069329846,0.5788191844308932,0.0788191844308932,brent_root
1.5,1.0,0.5,0.5,20,6,-0.05677294211414718,-0.2705088988172555,-2.8386696383974743,0.6805151401740902,0.1805151401740902,brent_root
1.5,1.0,0.5,0.5,20,7,-0.06375740812386566,0.4312710555631073,13.801372940041905,0.45462940983443695,-0.04537059016556305,brent_root
1.5,1.0,0.5,0.5,20,8,-0.0634142943101157,-0.26296624628529297,-1.4417464869616008,0.6974836329170204,0.19748363291702042,brent_root
1.5,1.0,0.5,0.5,20,9,-0.06407199217017823,-0.365958389707869,-1.9112469265963867,0.6266826755065928,0.12668267550659285,brent_root
1.5,1.0,0.5,0.5,20,10,-0.14929665860807795,-0.35384164537884283,110.8682650820341,0.5075354208971695,0.00753542089716952,brent_root
1.5,1.0,0.5,0.5,20,11,-0.10710000074298785,1.3220856006884072,19.09461489655802,0.41247974656602643,-0.08752025343397357,brent_root
1.5,1.0,0.5,0.5,20,12,-0.04783408042163816,-0.08462015854764904,2.463552584751607,0.6518094474371549,0.15180944743715485,brent_root
1.5,1.0,0.5,0.5,20,13,-0.087131018239317,-0.3877358258039825,1.8615814679801383,0.6278337955637101,0.1278337955637101,brent_root
1.5,1.0,0.5,0.5,20,14,-0.10630548922807569,-0.6184961073403932,4.697623433221667,0.5889078140736252,0.08890781407362525,brent_root
1.5,1.0,0.5,0.5,20,15,-0.05563338288105956,-0.3525434578566198,-4.309223388879578,0.6302037288211428,0.13020372882114284,brent_root
1.5,1.0,0.5,0.5,20,16,-0.08266016431335288,-0.4934791033462978,20.964073550998027,0.5396131858394276,0.039613185839427634,brent_root
1.5,1.0,0.5,0.5,20,17,-0.10957852565884883,-0.22219085544741463,12.90559078044272,0.5393422638516159,0.03934226385161588,brent_root
1.5,1.0,0.5,0.5,20,18,-0.014580296621435894,0.002820092528948246,1.5250726330144022,0.5799889807127538,0.07998898071275384,brent_root
1.5,1.0,0.5,0.5,20,19,-0.09794587483291649,0.1655814887489822,26.86931821845122,0.496186170963676,-0.00381382903632399,brent_root
2.0,1.0,0.5,0.5,7,0,-0.03123783020309023,-0.15916519667141207,-0.3835220949502785,0.679176962596554,0.17917696259655402,brent_root
2.0,1.0,0.5,0.5,7,1,0.0075284907481157565,0.022613162309085284,0.27553503222627285,0.8736164528843652,0.3736164528843652,brent_root
2.0,1.0,0.5,0.5,7,2,-0.035651513355383635,0.19275730921385872,3.1170946607248635,0.459305788611637,-0.04069421138836299,brent_root
2.0,1.0,0.5,0.5,7,3,0.11973178068724886,0.8987775878355285,1.1160084603114286,0.0,-0.5,truncated_at_zero
2.0,1.0,0.5,0.5,7,4,0.05907155183060286,0.41666669503815257,1.8416831430040959,0.16437816323955173,-0.33562183676044827,brent_root
2.0,1.0,0.5,0.5,7,5,-0.006028261858769255,0.0026087386779872525,0.4552476737110393,0.8512834796606213,0.35128347966062134,brent_root
2.0,1.0,0.5,0.5,7,6,0.030746005616477664,0.12148249417611696,0.671648530427096,0.4517108166334294,-0.04828918336657062,brent_root
2.0,1.0,0.5,0.5,7,7,-0.02031984870920489,-0.004106432099830061,0.971188636338571,0.6659589210640825,0.1659589210640825,brent_root
2.0,1.0,0.5,0.5,7,8,-0.0037661642217939094,-0.011211822982832175,-0.10010999454330656,1.0069363485090643,0.5069363485090643,brent_root
2.0,1.0,0.5,0.5,7,9,0.026556736763827523,0.24979440627025346,2.7645836030712343,0.342842634589719,-0.15715736541028102,brent_root
2.0,1.0,0.5,0.5,7,10,-0.00541535185239373,0.0027306148571707572,0.4966284423184404,0.7812669524282335,0.2812669524282335,brent_root
2.0,1.0,0.5,0.5,7,11,-0.013949963645343287,0.018160099261174588,2.1448914352402357,0.5876631002374627,0.08766310023746271,brent_root
2.0,1.0,0.5,0.5,7,12,-0.041249495683071125,-0.10103256710994965,1.603545764622961,0.63756161301307,0.13756161301307002,brent_root
2.0,1.0,0.5,0.5,7,13,-0.027233163012147704,0.008435260607714011,1.1949945770534027,0.6565473667366125,0.15654736673661251,brent_root
2.0,1.0,0.5,0.5,7,14,-0.003331825440292647,-0.007874781199609607,-0.057210571237536645,1.3351377497536538,0.8351377497536538,brent_root
2.0,1.0,0.5,0.5,7,15,0.0149184285480608,0.09273506372739412,0.8707098854720873,0.5184608060925012,0.018460806092501225,brent_root
2.0,1.0,0.5,0.5,7,16,-0.02176901565814626,0.106959454614413,3.4626833329849713,0.4968570781662909,-0.0031429218337091225,brent_root
2.0,1.0,0.5,0.5,7,17,-0.040663261954843044,0.19333292087285675,5.22505828098675,0.4673509402212538,-0.032649059778746214,brent_root
2.0,1.0,0.5,0.5,7,18,-0.018340944241135304,0.26002607225168456,3.7692378936994784,0.4075595867762656,-0.09244041322373442,brent_root
2.0,1.0,0.5,0.5,7,19,-0.036580968588995066,1.3775482392755911,10.779202731073422,0.3498454543837095,-0.1501545456162905,brent_root
2.0,1.0,0.5,0.5,10,0,-0.0007116529296413708,0.11828908591015577,1.6599910224967818,0.4813287477837567,-0.018671252216243273,brent_root
2.0,1.0,0.5,0.5,10,1,0.08893448981972528,0.6610369996191638,2.6473122696206324,0.04101182984467375,-0.4589881701553262,brent_root
