metric,scope,n_samples,spearman_rho
gradient_at_zero,n=7,100,0.11880619298314847
gradient_at_zero,n=10,100,0.30473176097120963
gradient_at_zero,n=20,100,0.6520867746827652
gradient_at_zero,pooled,300,0.34766617564314456
gradient_at_true_gamma,n=7,100,-0.21556587592818688
gradient_at_true_gamma,n=10,100,-0.04335813640828304
gradient_at_true_gamma,n=20,100,0.0002449612226456669
gradient_at_true_gamma,pooled,300,-0.08687571885493325
local_gradient_slope,n=7,100,-0.4634666332456018
local_gradient_slope,n=10,100,-0.4945767085216015
local_gradient_slope,n=20,100,-0.5293612021372861
local_gradient_slope,pooled,300,-0.48154514213669614
gamma_hat_d01,n=7,100,0.5335319459843392
gamma_hat_d01,n=10,100,0.5602263161906402
gamma_hat_d01,n=20,100,0.4945767085216015
gamma_hat_d01,pooled,300,0.5188053862355811
gamma_error_d01,n=7,100,0.5335319459843392
gamma_error_d01,n=10,100,0.5602263161906402
gamma_error_d01,n=20,100,0.4945767085216015
gamma_error_d01,pooled,300,0.5188053862355811
