beta,gamma_over_eta,n,delta_star_L5,J1_at_L5
1.5,0.1,7,0.16,0.5381109525831373
1.5,0.1,10,0.24,0.44416817561942057
1.5,0.1,20,0.5,0.3051616750481676
1.5,0.5,7,0.3,0.6000718152219082
1.5,0.5,10,0.42,0.46278548997907853
1.5,0.5,20,0.5,0.30808414688768404
1.5,1.0,7,0.3,0.6043283376609908
1.5,1.0,10,0.42,0.4557358725916572
1.5,1.0,20,0.5,0.3055924830609232
2.0,0.1,7,0.08,0.5518890348333699
2.0,0.1,10,0.1,0.4814908676445334
2.0,0.1,20,0.1,0.33379687580133943
2.0,0.5,7,0.16,0.6091419357443616
2.0,0.5,10,0.2,0.5089447626996418
2.0,0.5,20,0.32,0.34643060321662067
2.0,1.0,7,0.16,0.6387039502100155
2.0,1.0,10,0.24,0.5031416415450672
2.0,1.0,20,0.32,0.356662039754552
2.5,0.1,7,0.04,0.6085233124474603
2.5,0.1,10,0.04,0.5022149754018398
2.5,0.1,20,0.04,0.3705498371918192
2.5,0.5,7,0.12,0.6503225310000692
2.5,0.5,10,0.16,0.5591246170367322
2.5,0.5,20,0.18,0.3946567630805452
2.5,1.0,7,0.12,0.6540337147874732
2.5,1.0,10,0.14,0.5484302354957774
2.5,1.0,20,0.18,0.40753023473413397
4.0,0.1,7,0.02,0.7035633222251029
4.0,0.1,10,0.0,0.5849538644042014
4.0,0.1,20,0.0,0.45740438068243444
4.0,0.5,7,0.04,0.7642917488791087
4.0,0.5,10,0.06,0.6863522352746303
4.0,0.5,20,0.06,0.5242277402952928
4.0,1.0,7,0.06,0.7746071168587852
4.0,1.0,10,0.06,0.6870938509478631
4.0,1.0,20,0.06,0.531012020098112
5.0,0.1,7,0.0,0.7389754260051918
5.0,0.1,10,0.0,0.6457166677247442
5.0,0.1,20,0.0,0.48669328672089973
5.0,0.5,7,0.02,0.7995242234165445
5.0,0.5,10,0.04,0.7354560674972673
5.0,0.5,20,0.04,0.574631086544525
5.0,1.0,7,0.04,0.8261460774182637
5.0,1.0,10,0.04,0.7541998356721914
5.0,1.0,20,0.04,0.5840414241459266
