beta,eta,gamma,gamma_over_eta,n,delta_star_L6
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.44
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.08
1.5,1.0,0.1,0.1,7,0.5
1.5,1.0,0.1,0.1,7,0.24
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.5
1.5,1.0,0.1,0.1,7,0.06
1.5,1.0,0.1,0.1,7,0.5
1.5,1.0,0.1,0.1,7,0.4
1.5,1.0,0.1,0.1,7,0.16
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.06
1.5,1.0,0.1,0.1,7,0.12
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.48
1.5,1.0,0.1,0.1,7,0.14
1.5,1.0,0.1,0.1,7,0.06
1.5,1.0,0.1,0.1,7,0.08
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.1
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.5
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.32
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.04
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.5
1.5,1.0,0.1,0.1,7,0.02
1.5,1.0,0.1,0.1,7,0.5
1.5,1.0,0.1,0.1,7,0.26
1.5,1.0,0.1,0.1,7,0.02
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.5
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.5
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.5
1.5,1.0,0.1,0.1,7,0.06
1.5,1.0,0.1,0.1,7,0.1
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.3
1.5,1.0,0.1,0.1,7,0.22
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.5
1.5,1.0,0.1,0.1,7,0.26
1.5,1.0,0.1,0.1,7,0.0
1.5,1.0,0.1,0.1,7,0.0
