model,split,selected_delta,count,fraction
NN-RC-L4,combo_holdout_pooled,0.0,869,0.019311111111111112
NN-RC-L4,combo_holdout_pooled,0.02,853,0.018955555555555555
NN-RC-L4,combo_holdout_pooled,0.04,11659,0.25908888888888887
NN-RC-L4,combo_holdout_pooled,0.06,9358,0.20795555555555556
NN-RC-L4,combo_holdout_pooled,0.08,1431,0.0318
NN-RC-L4,combo_holdout_pooled,0.1,929,0.020644444444444444
NN-RC-L4,combo_holdout_pooled,0.12,873,0.0194
NN-RC-L4,combo_holdout_pooled,0.14,739,0.016422222222222223
NN-RC-L4,combo_holdout_pooled,0.16,642,0.014266666666666667
NN-RC-L4,combo_holdout_pooled,0.18,772,0.017155555555555556
NN-RC-L4,combo_holdout_pooled,0.2,866,0.019244444444444446
NN-RC-L4,combo_holdout_pooled,0.22,836,0.018577777777777776
NN-RC-L4,combo_holdout_pooled,0.24,765,0.017
NN-RC-L4,combo_holdout_pooled,0.26,772,0.017155555555555556
NN-RC-L4,combo_holdout_pooled,0.28,642,0.014266666666666667
NN-RC-L4,combo_holdout_pooled,0.3,543,0.012066666666666667
NN-RC-L4,combo_holdout_pooled,0.32,480,0.010666666666666666
NN-RC-L4,combo_holdout_pooled,0.34,439,0.009755555555555556
NN-RC-L4,combo_holdout_pooled,0.36,450,0.01
NN-RC-L4,combo_holdout_pooled,0.38,413,0.009177777777777778
NN-RC-L4,combo_holdout_pooled,0.4,403,0.008955555555555555
NN-RC-L4,combo_holdout_pooled,0.42,374,0.008311111111111111
NN-RC-L4,combo_holdout_pooled,0.44,351,0.0078
NN-RC-L4,combo_holdout_pooled,0.46,360,0.008
NN-RC-L4,combo_holdout_pooled,0.48,368,0.008177777777777779
NN-RC-L4,combo_holdout_pooled,0.5,8813,0.19584444444444443
NN-RC-L5,combo_holdout_pooled,0.0,1829,0.04064444444444444
NN-RC-L5,combo_holdout_pooled,0.02,5296,0.11768888888888888
NN-RC-L5,combo_holdout_pooled,0.04,7023,0.15606666666666666
NN-RC-L5,combo_holdout_pooled,0.06,5663,0.12584444444444445
NN-RC-L5,combo_holdout_pooled,0.08,5160,0.11466666666666667
NN-RC-L5,combo_holdout_pooled,0.1,3548,0.07884444444444444
NN-RC-L5,combo_holdout_pooled,0.12,2204,0.04897777777777778
NN-RC-L5,combo_holdout_pooled,0.14,1223,0.027177777777777776
NN-RC-L5,combo_holdout_pooled,0.16,893,0.019844444444444446
NN-RC-L5,combo_holdout_pooled,0.18,745,0.016555555555555556
NN-RC-L5,combo_holdout_pooled,0.2,600,0.013333333333333334
NN-RC-L5,combo_holdout_pooled,0.22,561,0.012466666666666666
NN-RC-L5,combo_holdout_pooled,0.24,456,0.010133333333333333
NN-RC-L5,combo_holdout_pooled,0.26,497,0.011044444444444445
NN-RC-L5,combo_holdout_pooled,0.28,444,0.009866666666666666
NN-RC-L5,combo_holdout_pooled,0.3,442,0.009822222222222222
NN-RC-L5,combo_holdout_pooled,0.32,422,0.009377777777777778
NN-RC-L5,combo_holdout_pooled,0.34,397,0.008822222222222223
NN-RC-L5,combo_holdout_pooled,0.36,392,0.00871111111111111
NN-RC-L5,combo_holdout_pooled,0.38,356,0.007911111111111112
NN-RC-L5,combo_holdout_pooled,0.4,289,0.006422222222222222
NN-RC-L5,combo_holdout_pooled,0.42,266,0.005911111111111111
NN-RC-L5,combo_holdout_pooled,0.44,257,0.005711111111111111
NN-RC-L5,combo_holdout_pooled,0.46,211,0.004688888888888889
NN-RC-L5,combo_holdout_pooled,0.48,224,0.004977777777777778
NN-RC-L5,combo_holdout_pooled,0.5,5602,0.12448888888888889
NN-RC-L6,combo_holdout_pooled,0.0,15453,0.3434
NN-RC-L6,combo_holdout_pooled,0.02,3821,0.08491111111111112
NN-RC-L6,combo_holdout_pooled,0.04,3717,0.0826
NN-RC-L6,combo_holdout_pooled,0.06,2990,0.06644444444444444
NN-RC-L6,combo_holdout_pooled,0.08,2177,0.048377777777777776
NN-RC-L6,combo_holdout_pooled,0.1,1627,0.03615555555555556
