model,split,J1,failure_rate,n_samples,J1_n7,fail_n7,J1_n10,fail_n10,J1_n20,fail_n20
NN-RC-L6,random,0.5781949906908012,0.0,9000,0.6984217291494724,0.0,0.5688148048615265,0.0,0.43456206376583156,0.0
NN-RC-L4,random,0.6139457502939669,0.0,9000,0.7373610246762037,0.0,0.611821672274972,0.0,0.4578767816120135,0.0
NN-RC-L5,random,0.5938391709991215,0.0,9000,0.7055573433633797,0.0,0.5958186349262418,0.0,0.44983311977799156,0.0
Tabular-L6,random,0.548636321746897,0.0,9000,0.6558912600556516,0.0,0.5523612755053725,0.0,0.4064619073425138,0.0
Default,random,0.6298152141402109,0.0,9000,0.7369340350163155,0.0,0.6391361384355017,0.0,0.48528356423789065,0.0
L1,random,0.6296984297612669,0.0,9000,0.7398272633444445,0.0,0.6376152555958176,0.0,0.48235944717974627,0.0
L2,random,0.6290742497160287,0.0,9000,0.7369340350163155,0.0,0.6391361384355017,0.0,0.48235944717974627,0.0
L3-oracle,random,0.5810117048768773,0.0,9000,0.6882949885275159,0.0,0.5840201109088251,0.0,0.44189740210637446,0.0
L4-oracle,random,0.578833614033789,0.0,9000,0.6853589615835646,0.0,0.5844779114110062,0.0,0.4372376813994524,0.0
L5-oracle,random,0.5667256239931391,0.0,9000,0.6742202217915889,0.0,0.5705258900982114,0.0,0.42530075204642476,0.0
L6-hindsight,random,0.4886827964020386,0.0,9000,0.5849265148286983,0.0,0.4957065996680324,0.0,0.3556938511479389,0.0
NN-RC-L6,combo_combo_fold_1,0.5794537582116486,0.0,9000,0.6805295117072508,0.0,0.5990217965201176,0.0,0.4305257770518659,0.0
NN-RC-L4,combo_combo_fold_1,0.5989968778979672,0.0,9000,0.6953019585751384,0.0,0.627853644260802,0.0,0.4458102365183457,0.0
NN-RC-L5,combo_combo_fold_1,0.5766866801546082,0.0,9000,0.667558654837929,0.0,0.6098110569087759,0.0,0.42449793689252097,0.0
Tabular-L6,combo_combo_fold_1,0.5477180919335358,0.0,9000,0.6448959019867764,0.0,0.5798428415410566,0.0,0.38454762957037525,0.0
Default,combo_combo_fold_1,0.601998215030708,0.0,9000,0.6930842876761372,0.0,0.6357220799429071,0.0,0.4502190133146325,0.0
L1,combo_combo_fold_1,0.6030319299226882,0.0,9000,0.6991418363538058,0.0,0.631770369670726,0.0,0.45056566467584747,0.0
L2,combo_combo_fold_1,0.6020846593116461,0.0,9000,0.6930842876761372,0.0,0.6357220799429071,0.0,0.45056566467584747,0.0
L3-oracle,combo_combo_fold_1,0.5734639453641163,0.0,9000,0.661432196056828,0.0,0.601307563446598,0.0,0.43303504945799953,0.0
L4-oracle,combo_combo_fold_1,0.568444176830846,0.0,9000,0.6583500880123784,0.0,0.6001858525483849,0.0,0.4192117013318648,0.0
L5-oracle,combo_combo_fold_1,0.5646384886370663,0.0,9000,0.6536176279519232,0.0,0.5981930585938469,0.0,0.41400353818740626,0.0
L6-hindsight,combo_combo_fold_1,0.479812940278823,0.0,9000,0.5585354209459474,0.0,0.5110376288808425,0.0,0.3428412145492543,0.0
NN-RC-L6,combo_combo_fold_2,0.5832676022568386,0.0,9000,0.7172864090699721,0.0,0.5594696118259077,0.0,0.4394283199046206,0.0
NN-RC-L4,combo_combo_fold_2,0.6220446881215083,0.0,9000,0.7639341128004801,0.0,0.5868815072058503,0.0,0.4824868390537574,0.0
NN-RC-L5,combo_combo_fold_2,0.6107516184256254,0.0,9000,0.736015181807712,0.0,0.5808829080204563,0.0,0.48980538742118895,0.0
Tabular-L6,combo_combo_fold_2,0.5516096491014119,0.0,9000,0.6712437126705679,0.0,0.5308452486030619,0.0,0.4247997353826076,0.0
Default,combo_combo_fold_2,0.6271759749915302,0.0,9000,0.7729265052992096,0.0,0.5891126470312786,0.0,0.4853658592582307,0.0
L1,combo_combo_fold_2,0.632097797764785,0.0,9000,0.7829633262268735,0.0,0.5963032912208514,0.0,0.47961827788378175,0.0
L2,combo_combo_fold_2,0.6257003505316938,0.0,9000,0.7729265052992096,0.0,0.5891126470312786,0.0,0.47961827788378175,0.0
L3-oracle,combo_combo_fold_2,0.5769166891054462,0.0,9000,0.6944475885689413,0.0,0.5576091399589689,0.0,0.453114987911647,0.0
L4-oracle,combo_combo_fold_2,0.5683358890357902,0.0,9000,0.6732330841092594,0.0,0.5583528686101914,0.0,0.45168167648667273,0.0
L5-oracle,combo_combo_fold_2,0.5640562636399111,0.0,9000,0.6668875003242019,0.0,0.5542310801330167,0.0,0.45007485752947607,0.0
L6-hindsight,combo_combo_fold_2,0.4848380182479883,0.0,9000,0.5863516400912697,0.0,0.4777593141544598,0.0,0.36488560360316785,0.0
NN-RC-L6,combo_combo_fold_3,0.5878727993762947,0.0,9000,0.7500088227964112,0.0,0.5553511558428853,0.0,0.4072531696268012,0.0
NN-RC-L4,combo_combo_fold_3,0.6518592940335601,0.0,9000,0.7692697698256071,0.0,0.6254308344777884,0.0,0.5402054333035434,0.0
NN-RC-L5,combo_combo_fold_3,0.6167197795246067,0.0,9000,0.7729278907607047,0.0,0.597258825446561,0.0,0.4323126536212431,0.0
Tabular-L6,combo_combo_fold_3,0.5717859877627629,0.0,9000,0.7190477418280276,0.0,0.5594338213075237,0.0,0.3883578143346561,0.0
