model,beta,gamma_over_eta,n,selected_loss,oracle_min_loss,regret,rel_regret,near_0.01,near_0.02,near_0.05
Vector-MLP-L6,1.5,0.1,7,0.14806797900371893,0.14806797900371893,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.029071800231345087,0.014299334147637153,0.014772466083707934,1.0330876900410753,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.12850813849920617,0.1169167159873929,0.011591422511813276,0.0991425598463027,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.20044210555398465,0.14845478255349703,0.05198732300048761,0.35018961401094306,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.12725202116462325,0.12132539549490705,0.005926625669716204,0.04884901174680275,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.01919398251037977,0.01919398251037977,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.1262000814642565,0.1262000814642565,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.0935492380112326,0.08842698474468008,0.005122253266552523,0.057926359033300484,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.5626048372963932,0.5600942958227044,0.0025105414736887877,0.004482355011313111,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.9892674157664978,0.9890412127720871,0.0002262029944106736,0.00022870937175274153,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.014928188959798139,0.01441096014465263,0.0005172288151455082,0.035891350052580116,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.27421314208986336,0.1458808999774884,0.12833224211237496,0.87970558265118,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.1462220935569754,0.13269446561042214,0.013527627946553267,0.10194568314754775,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.0396417516773965,0.0396417516773965,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.1825169939658866,0.12322843223550292,0.05928856173038369,0.48112729063270726,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.21333765054653797,0.07996944583929072,0.13336820470724725,1.6677395136045892,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.1587269498423143,0.11300999948848903,0.04571695035382528,0.4045389838133918,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.9944601856291935,0.6878269671704109,0.30663321845878255,0.4457999367489373,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.0230222495546175,0.0023312190412087134,0.020691030513408787,8.875626934945032,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.19557143059459742,0.1837752439137776,0.011796186680819831,0.06418811603566303,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.20078698446485885,0.20078698446485885,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.019970651915011264,0.01953966676026478,0.00043098515474648477,0.0220569347489038,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.6486674765291097,0.14058180718127403,0.5080856693478357,3.6141637352312714,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.5461653646685405,0.5440548269974687,0.0021105376710718327,0.003879273864215991,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.13133904288895498,0.12889250442311323,0.002446538465841752,0.018981231505988447,0,1,1
Vector-MLP-L6,1.5,0.1,7,0.09363361282448295,0.07712680075525458,0.01650681206922837,0.21402173962341844,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.1313862634361511,0.05952653950816267,0.07185972392798842,1.2071879958372944,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.1967729228543915,0.07312894432168994,0.12364397853270155,1.6907666270799553,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.08428918410628468,0.08387340749213042,0.0004157766141542618,0.0049571923519772685,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.24878478858350817,0.24878478858350817,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.6253540576759937,0.624243594421218,0.0011104632547757065,0.0017788941123301368,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.09771758715400838,0.09771758715400838,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.24654502070395057,0.24558579617024417,0.0009592245337063932,0.0039058632407284774,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.48167327160913814,0.47912246088870986,0.002550810720428287,0.00532392223002208,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.27941377756996255,0.27278103777059515,0.006632739799367404,0.024315252458807057,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.020832808168319825,0.01991759664372563,0.0009152115245941936,0.0459498975185091,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.5509324722075252,0.5409725186625236,0.009959953545001565,0.018411200571936837,0,1,1
Vector-MLP-L6,1.5,0.1,7,0.19290798262953918,0.16144511135724546,0.03146287127229372,0.19488277475725316,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.4766488303446826,0.4737133281484811,0.0029355021962014782,0.006196790383067651,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.22961996001703208,0.13564221704689824,0.09397774297013384,0.6928354977981602,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.2042775532540065,0.20131872147260216,0.002958831781404353,0.014697251004581935,0,1,1
Vector-MLP-L6,1.5,0.1,7,0.18235755700084155,0.17822417628580092,0.00413338071504063,0.02319203152557892,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.06434062612293955,0.04842700754720523,0.01591361857573432,0.32861040526243934,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.19582322151481701,0.19582322151481701,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.09754878598478739,0.040014961508152515,0.057533824476634875,1.4378078175812596,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.20047573377901357,0.1856544562399605,0.014821277539053074,0.07983259782300299,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.041221808388524905,0.041221808388524905,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.10216231682742537,0.0998211924380892,0.0023411243893361605,0.023453179952625445,0,0,1
Vector-MLP-L6,1.5,0.1,7,0.05347814686687419,0.017709564199310433,0.035768582667563754,2.0197325165661892,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.03395523014209123,0.03395523014209123,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.18992688619283948,0.18992688619283948,0.0,0.0,1,1,1
Vector-MLP-L6,1.5,0.1,7,0.20167802011203376,0.1337075144224811,0.06797050568955265,0.5083521743945031,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.2071516097651331,0.20507850686243317,0.002073102902699936,0.010108825807331311,0,1,1
Vector-MLP-L6,1.5,0.1,7,0.2252477819601874,0.16076439344605276,0.06448338851413465,0.4011049159077203,0,0,0
Vector-MLP-L6,1.5,0.1,7,0.010698595813178391,0.008690075797712103,0.0020085200154662877,0.231128020309683,0,0,0
