track,n,n_samples,extreme_rate,delta_0.02,delta_0.0,delta_0.04,delta_0.06,delta_0.08,delta_0.1,delta_0.12,delta_0.14,delta_0.16,delta_0.18,delta_0.22,delta_0.2,delta_0.24,delta_0.26,delta_0.5,delta_0.3,delta_0.32,delta_0.28,delta_0.44,delta_0.34,delta_0.4,delta_0.42,delta_0.38,delta_0.36,delta_0.46,delta_0.48
E4b_boundary,5,45000,0.5070888888888889,14059,8198,5129,2828.0,2513.0,2143,1644.0,1299.0,943.0,793.0,657.0,594,408.0,403.0,399.0,394.0,336.0,311.0,280.0,275.0,263.0,251.0,241.0,238.0,238.0,163.0
E4b_boundary,7,7500,0.6565333333333333,4045,879,1136,542.0,345.0,230,157.0,58.0,37.0,8.0,1.0,3,1.0,1.0,,2.0,,15.0,11.0,12.0,6.0,4.0,2.0,3.0,2.0,
E4b_boundary,10,22500,0.6545333333333333,6321,7892,1980,781.0,651.0,552,451.0,210.0,256.0,180.0,305.0,254,70.0,161.0,409.0,202.0,326.0,193.0,237.0,292.0,151.0,105.0,65.0,102.0,249.0,105.0
E4b_boundary,20,37500,0.7225866666666667,11913,14635,3275,1268.0,1112.0,747,566.0,378.0,138.0,152.0,76.0,183,104.0,118.0,389.0,157.0,270.0,285.0,321.0,219.0,161.0,348.0,71.0,214.0,240.0,160.0
E4b_boundary,50,37500,0.8945333333333333,9810,23644,2020,59.0,49.0,38,4.0,62.0,9.0,66.0,138.0,22,128.0,24.0,67.0,41.0,11.0,19.0,22.0,35.0,711.0,248.0,48.0,45.0,156.0,24.0
E4c_offgrid,5,7500,0.4804,2870,727,1188,578.0,505.0,463,414.0,163.0,121.0,125.0,34.0,58,29.0,46.0,5.0,39.0,7.0,42.0,10.0,27.0,1.0,26.0,5.0,6.0,10.0,1.0
E4c_offgrid,6,7500,0.5946666666666667,2060,2372,585,242.0,215.0,320,237.0,201.0,155.0,178.0,257.0,113,86.0,71.0,16.0,63.0,86.0,41.0,19.0,64.0,,6.0,28.0,50.0,23.0,12.0
E4c_offgrid,7,7500,0.5029333333333333,1605,1825,512,296.0,273.0,304,309.0,97.0,134.0,73.0,108.0,202,57.0,79.0,238.0,96.0,187.0,88.0,174.0,149.0,163.0,78.0,87.0,86.0,176.0,104.0
E4c_offgrid,8,7500,0.4713333333333333,1326,1688,383,478.0,299.0,218,270.0,154.0,209.0,80.0,90.0,163,93.0,117.0,365.0,120.0,100.0,77.0,178.0,113.0,186.0,155.0,71.0,128.0,283.0,156.0
E4c_offgrid,10,7500,0.4497333333333333,2169,1191,727,584.0,502.0,513,445.0,138.0,290.0,117.0,179.0,131,96.0,98.0,9.0,40.0,71.0,85.0,3.0,40.0,9.0,9.0,15.0,33.0,2.0,4.0
E4c_offgrid,12,7500,0.40813333333333335,1308,1367,410,397.0,370.0,331,381.0,166.0,196.0,60.0,234.0,127,75.0,153.0,241.0,114.0,300.0,76.0,123.0,188.0,182.0,89.0,72.0,196.0,199.0,145.0
E4c_offgrid,15,7500,0.4029333333333333,1975,1021,730,495.0,552.0,519,383.0,115.0,181.0,93.0,194.0,237,132.0,84.0,6.0,244.0,67.0,61.0,58.0,135.0,50.0,22.0,45.0,69.0,12.0,20.0
E4c_offgrid,18,7500,0.382,1683,1058,736,307.0,384.0,458,366.0,105.0,264.0,90.0,246.0,306,188.0,74.0,38.0,239.0,96.0,93.0,111.0,131.0,123.0,48.0,61.0,172.0,37.0,86.0
E4c_offgrid,20,7500,0.5796,3592,755,1504,748.0,429.0,263,119.0,31.0,34.0,4.0,5.0,15,,,,,,,,,,,,1.0,,
E4c_offgrid,25,7500,0.604,3005,1523,1130,535.0,631.0,371,156.0,31.0,36.0,10.0,17.0,47,1.0,2.0,2.0,,1.0,,,,,1.0,,1.0,,
E4c_offgrid,30,7500,0.8538666666666667,3083,3321,627,241.0,117.0,60,9.0,23.0,7.0,1.0,1.0,9,,,,,1.0,,,,,,,,,
E4c_offgrid,35,7500,0.9085333333333333,2436,4378,413,101.0,45.0,47,19.0,22.0,10.0,6.0,2.0,14,,,,,7.0,,,,,,,,,
E4c_offgrid,45,7500,0.8832,5051,1573,712,75.0,31.0,35,19.0,,,,,4,,,,,,,,,,,,,,
E4c_offgrid,50,7500,0.8912,1071,5597,325,,,4,,23.0,,1.0,37.0,4,61.0,3.0,15.0,2.0,3.0,1.0,,5.0,290.0,27.0,,30.0,,1.0
