track,elapsed_s,note,fold,feature_group,seed,n_features,n_train,n_test
E4b,10.2443528175354,boundary reference evaluation,,,,,,
E4c,6.131143808364868,offgrid reference evaluation,,,,,,
E4a,24843.552924871445,feature ablation,,,,,,
E4a,34.25480318069458,,combo_fold_1,full,42.0,13.0,936000.0,234000.0
E4a,51.43421506881714,,combo_fold_1,full,2026.0,13.0,936000.0,234000.0
E4a,54.164745569229126,,combo_fold_1,full,3407.0,13.0,936000.0,234000.0
E4a,31.215036630630493,,combo_fold_1,n_only,42.0,1.0,936000.0,234000.0
E4a,11.187693119049072,,combo_fold_1,n_only,2026.0,1.0,936000.0,234000.0
E4a,27.09058213233948,,combo_fold_1,n_only,3407.0,1.0,936000.0,234000.0
E4a,40.953840255737305,,combo_fold_1,scale_quantile,42.0,10.0,936000.0,234000.0
E4a,445.5917913913727,,combo_fold_1,scale_quantile,2026.0,10.0,936000.0,234000.0
E4a,271.0961356163025,,combo_fold_1,scale_quantile,3407.0,10.0,936000.0,234000.0
E4a,670.890242099762,,combo_fold_1,shape,42.0,4.0,936000.0,234000.0
E4a,364.309089422226,,combo_fold_1,shape,2026.0,4.0,936000.0,234000.0
E4a,581.3698654174805,,combo_fold_1,shape,3407.0,4.0,936000.0,234000.0
E4a,356.9047169685364,,combo_fold_2,full,42.0,13.0,936000.0,234000.0
E4a,291.47066164016724,,combo_fold_2,full,2026.0,13.0,936000.0,234000.0
E4a,118.01795792579652,,combo_fold_2,full,3407.0,13.0,936000.0,234000.0
E4a,98.24308228492735,,combo_fold_2,n_only,42.0,1.0,936000.0,234000.0
E4a,214.23958373069763,,combo_fold_2,n_only,2026.0,1.0,936000.0,234000.0
E4a,78.50611734390259,,combo_fold_2,n_only,3407.0,1.0,936000.0,234000.0
E4a,430.5696938037872,,combo_fold_2,scale_quantile,42.0,10.0,936000.0,234000.0
E4a,282.49850034713745,,combo_fold_2,scale_quantile,2026.0,10.0,936000.0,234000.0
E4a,242.46986269950867,,combo_fold_2,scale_quantile,3407.0,10.0,936000.0,234000.0
E4a,681.7284717559814,,combo_fold_2,shape,42.0,4.0,936000.0,234000.0
E4a,1035.2434358596802,,combo_fold_2,shape,2026.0,4.0,936000.0,234000.0
E4a,792.2721996307373,,combo_fold_2,shape,3407.0,4.0,936000.0,234000.0
E4a,429.090170621872,,combo_fold_3,full,42.0,13.0,936000.0,234000.0
E4a,83.12297344207764,,combo_fold_3,full,2026.0,13.0,936000.0,234000.0
E4a,750.0474925041199,,combo_fold_3,full,3407.0,13.0,936000.0,234000.0
E4a,454.44559121131897,,combo_fold_3,n_only,42.0,1.0,936000.0,234000.0
E4a,471.1528143882752,,combo_fold_3,n_only,2026.0,1.0,936000.0,234000.0
E4a,335.49193000793457,,combo_fold_3,n_only,3407.0,1.0,936000.0,234000.0
E4a,464.5609469413757,,combo_fold_3,scale_quantile,42.0,10.0,936000.0,234000.0
E4a,247.8619384765625,,combo_fold_3,scale_quantile,2026.0,10.0,936000.0,234000.0
E4a,231.66632628440857,,combo_fold_3,scale_quantile,3407.0,10.0,936000.0,234000.0
E4a,735.4090192317963,,combo_fold_3,shape,42.0,4.0,936000.0,234000.0
E4a,831.8900406360626,,combo_fold_3,shape,2026.0,4.0,936000.0,234000.0
E4a,914.3833382129668,,combo_fold_3,shape,3407.0,4.0,936000.0,234000.0
E4a,483.84068632125854,,combo_fold_4,full,42.0,13.0,936000.0,234000.0
E4a,546.9312260150909,,combo_fold_4,full,2026.0,13.0,936000.0,234000.0
E4a,721.1361885070801,,combo_fold_4,full,3407.0,13.0,936000.0,234000.0
E4a,161.00044655799866,,combo_fold_4,n_only,42.0,1.0,936000.0,234000.0
E4a,404.0799527168274,,combo_fold_4,n_only,2026.0,1.0,936000.0,234000.0
E4a,90.0585310459137,,combo_fold_4,n_only,3407.0,1.0,936000.0,234000.0
E4a,489.2764730453491,,combo_fold_4,scale_quantile,42.0,10.0,936000.0,234000.0
E4a,294.050772190094,,combo_fold_4,scale_quantile,2026.0,10.0,936000.0,234000.0
E4a,615.2839596271515,,combo_fold_4,scale_quantile,3407.0,10.0,936000.0,234000.0
E4a,787.3904585838318,,combo_fold_4,shape,42.0,4.0,936000.0,234000.0
E4a,655.9801986217499,,combo_fold_4,shape,2026.0,4.0,936000.0,234000.0
E4a,790.1320700645447,,combo_fold_4,shape,3407.0,4.0,936000.0,234000.0
E4a,285.2848255634308,,combo_fold_5,full,42.0,13.0,936000.0,234000.0
E4a,151.24124336242676,,combo_fold_5,full,2026.0,13.0,936000.0,234000.0
E4a,513.8911747932434,,combo_fold_5,full,3407.0,13.0,936000.0,234000.0
E4a,379.67073678970337,,combo_fold_5,n_only,42.0,1.0,936000.0,234000.0
E4a,192.60497951507568,,combo_fold_5,n_only,2026.0,1.0,936000.0,234000.0
E4a,219.914400100708,,combo_fold_5,n_only,3407.0,1.0,936000.0,234000.0
E4a,870.2300450801849,,combo_fold_5,scale_quantile,42.0,10.0,936000.0,234000.0
E4a,224.9898178577423,,combo_fold_5,scale_quantile,2026.0,10.0,936000.0,234000.0
E4a,678.9324691295624,,combo_fold_5,scale_quantile,3407.0,10.0,936000.0,234000.0
E4a,1001.4478476047516,,combo_fold_5,shape,42.0,4.0,936000.0,234000.0
E4a,694.0125479698181,,combo_fold_5,shape,2026.0,4.0,936000.0,234000.0
E4a,306.5791971683502,,combo_fold_5,shape,3407.0,4.0,936000.0,234000.0
E4d,652.0900712013245,selector extrapolation (5 fold × 3 seed),,,,,,
