model,category,P_delta_0,P_delta_0.5,P_extreme,n_samples
Normalized-RAW-seed42,pooled,0.17058333333333334,0.0031875,0.38454166666666667,48000
Normalized-RAW-seed42,n=7,0.15975,0.0015,0.35208333333333336,12000
Normalized-RAW-seed42,n=10,0.17508333333333334,0.004166666666666667,0.422,12000
Normalized-RAW-seed42,n=15,0.17883333333333334,0.0028333333333333335,0.38658333333333333,12000
Normalized-RAW-seed42,n=20,0.16866666666666666,0.00425,0.3775,12000
Normalized-RAW-seed2026,pooled,0.1363125,0.004020833333333334,0.3863958333333333,48000
Normalized-RAW-seed2026,n=7,0.07183333333333333,0.0005,0.3205,12000
Normalized-RAW-seed2026,n=10,0.13233333333333333,0.005583333333333333,0.4206666666666667,12000
Normalized-RAW-seed2026,n=15,0.16733333333333333,0.003833333333333333,0.39816666666666667,12000
Normalized-RAW-seed2026,n=20,0.17375,0.006166666666666667,0.40625,12000
Normalized-RAW-seed3407,pooled,0.18329166666666666,0.0071875,0.41120833333333334,48000
Normalized-RAW-seed3407,n=7,0.1935,0.00125,0.41491666666666666,12000
Normalized-RAW-seed3407,n=10,0.17208333333333334,0.005833333333333334,0.4175,12000
Normalized-RAW-seed3407,n=15,0.21458333333333332,0.00725,0.43466666666666665,12000
Normalized-RAW-seed3407,n=20,0.153,0.014416666666666666,0.37775,12000
