model,category,P_delta_0,P_delta_0.5,P_extreme,n_samples
Dimensional-RAW-seed42,pooled,0.21933333333333332,0.01225,0.44233333333333336,48000
Dimensional-RAW-seed42,n=7,0.18208333333333335,0.0011666666666666668,0.4125,12000
Dimensional-RAW-seed42,n=10,0.20166666666666666,0.0105,0.43025,12000
Dimensional-RAW-seed42,n=15,0.24208333333333334,0.016916666666666667,0.45808333333333334,12000
Dimensional-RAW-seed42,n=20,0.2515,0.020416666666666666,0.4685,12000
Dimensional-RAW-seed2026,pooled,0.21820833333333334,0.008875,0.462875,48000
Dimensional-RAW-seed2026,n=7,0.13216666666666665,0.0004166666666666667,0.34875,12000
Dimensional-RAW-seed2026,n=10,0.15308333333333332,0.007416666666666667,0.4405833333333333,12000
Dimensional-RAW-seed2026,n=15,0.2519166666666667,0.012,0.49975,12000
Dimensional-RAW-seed2026,n=20,0.33566666666666667,0.015666666666666666,0.5624166666666667,12000
Dimensional-RAW-seed3407,pooled,0.15875,0.0114375,0.40325,48000
Dimensional-RAW-seed3407,n=7,0.08225,0.0021666666666666666,0.2796666666666667,12000
Dimensional-RAW-seed3407,n=10,0.19441666666666665,0.0065,0.4503333333333333,12000
Dimensional-RAW-seed3407,n=15,0.204,0.0195,0.44825,12000
Dimensional-RAW-seed3407,n=20,0.15433333333333332,0.017583333333333333,0.43475,12000
