model,split,seed,J1,failure_rate,n_samples,J1_n7,J1_n10,J1_n15,J1_n20
Dimensional-RAW-MLP,combo_holdout_pooled,42,0.5544825870269607,0.0,48000,0.686794108083444,0.5790495900266733,0.4856822234699757,0.432356288796073
Default,combo_holdout_pooled,42,0.6304091999323665,0.0,48000,0.7633086673112073,0.6571370100580289,0.5650868178686961,0.505836687210487
L6-hindsight,combo_holdout_pooled,42,0.4922971152637207,0.0,48000,0.6083051432559384,0.5158568160471187,0.4318904276336264,0.3830836140224081
Normalized-RAW-MLP,combo_holdout_pooled,42,0.5845531935428129,0.0,48000,0.701337127247328,0.6070629116585652,0.5293829329592756,0.47556735574356884
Dimensional-RAW-MLP,combo_holdout_pooled,2026,0.5523016453498383,0.0,48000,0.6904597007560573,0.5739089955594948,0.4817450753166671,0.42657236042720853
Default,combo_holdout_pooled,2026,0.6304091999323665,0.0,48000,0.7633086673112073,0.6571370100580289,0.5650868178686961,0.505836687210487
L6-hindsight,combo_holdout_pooled,2026,0.4922971152637207,0.0,48000,0.6083051432559384,0.5158568160471187,0.4318904276336264,0.3830836140224081
Normalized-RAW-MLP,combo_holdout_pooled,2026,0.5849135438096444,0.0,48000,0.7046301230888252,0.6040584564840132,0.528459939735167,0.4773209379536051
Dimensional-RAW-MLP,combo_holdout_pooled,3407,0.5560411654514772,0.0,48000,0.6931663078450845,0.5753248300227926,0.489222293527367,0.4311733617120025
Default,combo_holdout_pooled,3407,0.6304091999323665,0.0,48000,0.7633086673112073,0.6571370100580289,0.5650868178686961,0.505836687210487
L6-hindsight,combo_holdout_pooled,3407,0.4922971152637207,0.0,48000,0.6083051432559384,0.5158568160471187,0.4318904276336264,0.3830836140224081
Normalized-RAW-MLP,combo_holdout_pooled,3407,0.5855203298807452,0.0,48000,0.7000233768643649,0.6111120313913262,0.5274425299180926,0.4792180728858278
