model,seed,n,J1,failure_rate,n_samples
Default,42,7,0.7633086673112073,0.0,12000
Default,42,10,0.6571370100580288,0.0,12000
Default,42,15,0.565086817868696,0.0,12000
Default,42,20,0.505836687210487,0.0,12000
Default,2026,7,0.7633086673112073,0.0,12000
Default,2026,10,0.6571370100580288,0.0,12000
Default,2026,15,0.565086817868696,0.0,12000
Default,2026,20,0.505836687210487,0.0,12000
Default,3407,7,0.7633086673112073,0.0,12000
Default,3407,10,0.6571370100580288,0.0,12000
Default,3407,15,0.565086817868696,0.0,12000
Default,3407,20,0.505836687210487,0.0,12000
Dimensional-RAW,42,7,0.6683416908940115,0.0,12000
Dimensional-RAW,42,10,0.5638482946928596,0.0,12000
Dimensional-RAW,42,15,0.4717560869660898,0.0,12000
Dimensional-RAW,42,20,0.41744737886822364,0.0,12000
Dimensional-RAW,2026,7,0.6836665608494567,0.0,12000
Dimensional-RAW,2026,10,0.5650365659997532,0.0,12000
Dimensional-RAW,2026,15,0.47343650417024497,0.0,12000
Dimensional-RAW,2026,20,0.4146218075045177,0.0,12000
Dimensional-RAW,3407,7,0.6792555551607076,0.0,12000
Dimensional-RAW,3407,10,0.5633428788349676,0.0,12000
Dimensional-RAW,3407,15,0.4736396048129813,0.0,12000
Dimensional-RAW,3407,20,0.41866381530570446,0.0,12000
L6,42,7,0.6083051432559384,0.0,12000
L6,42,10,0.5158568160471187,0.0,12000
L6,42,15,0.43189042763362634,0.0,12000
L6,42,20,0.38308361402240804,0.0,12000
L6,2026,7,0.6083051432559384,0.0,12000
L6,2026,10,0.5158568160471187,0.0,12000
L6,2026,15,0.43189042763362634,0.0,12000
L6,2026,20,0.38308361402240804,0.0,12000
L6,3407,7,0.6083051432559384,0.0,12000
L6,3407,10,0.5158568160471187,0.0,12000
L6,3407,15,0.43189042763362634,0.0,12000
L6,3407,20,0.38308361402240804,0.0,12000
