held_out_beta,seed,model,J1,failure_rate,n_samples
1.5,42,Default,0.5476987191772456,0.0,6000
1.5,42,Dimensional-RAW,0.4746244494767866,0.0,6000
1.5,42,L6,0.39746031537805815,0.0,6000
1.5,2026,Default,0.5476987191772456,0.0,6000
1.5,2026,Dimensional-RAW,0.49755097529367953,0.0,6000
1.5,2026,L6,0.39746031537805815,0.0,6000
1.5,3407,Default,0.5476987191772456,0.0,6000
1.5,3407,Dimensional-RAW,0.4898250788751237,0.0,6000
1.5,3407,L6,0.39746031537805815,0.0,6000
2.0,42,Default,0.5204978344244865,0.0,6000
2.0,42,Dimensional-RAW,0.4597299892301869,0.0,6000
2.0,42,L6,0.4032794060260262,0.0,6000
2.0,2026,Default,0.5204978344244865,0.0,6000
2.0,2026,Dimensional-RAW,0.4645123971874212,0.0,6000
2.0,2026,L6,0.4032794060260262,0.0,6000
2.0,3407,Default,0.5204978344244865,0.0,6000
2.0,3407,Dimensional-RAW,0.4643090468492483,0.0,6000
2.0,3407,L6,0.4032794060260262,0.0,6000
2.5,42,Default,0.5318700939484555,0.0,6000
2.5,42,Dimensional-RAW,0.4817745055366104,0.0,6000
2.5,42,L6,0.43657598814492304,0.0,6000
2.5,2026,Default,0.5318700939484555,0.0,6000
2.5,2026,Dimensional-RAW,0.4834433338473725,0.0,6000
2.5,2026,L6,0.43657598814492304,0.0,6000
2.5,3407,Default,0.5318700939484555,0.0,6000
2.5,3407,Dimensional-RAW,0.48366959359605466,0.0,6000
2.5,3407,L6,0.43657598814492304,0.0,6000
3.0,42,Default,0.5723656222089817,0.0,6000
3.0,42,Dimensional-RAW,0.5130955091460084,0.0,6000
3.0,42,L6,0.47085304158211755,0.0,6000
3.0,2026,Default,0.5723656222089817,0.0,6000
3.0,2026,Dimensional-RAW,0.5087610522710616,0.0,6000
3.0,2026,L6,0.47085304158211755,0.0,6000
3.0,3407,Default,0.5723656222089817,0.0,6000
3.0,3407,Dimensional-RAW,0.5097307195125381,0.0,6000
3.0,3407,L6,0.47085304158211755,0.0,6000
3.5,42,Default,0.6136100743597207,0.0,6000
3.5,42,Dimensional-RAW,0.5342762732404611,0.0,6000
3.5,42,L6,0.4963108122099591,0.0,6000
3.5,2026,Default,0.6136100743597207,0.0,6000
3.5,2026,Dimensional-RAW,0.5307027523335851,0.0,6000
3.5,2026,L6,0.4963108122099591,0.0,6000
3.5,3407,Default,0.6136100743597207,0.0,6000
3.5,3407,Dimensional-RAW,0.5324683417373246,0.0,6000
3.5,3407,L6,0.4963108122099591,0.0,6000
4.0,42,Default,0.6811755452846217,0.0,6000
4.0,42,Dimensional-RAW,0.5719994726508532,0.0,6000
4.0,42,L6,0.5373104816231123,0.0,6000
4.0,2026,Default,0.6811755452846217,0.0,6000
4.0,2026,Dimensional-RAW,0.5770671325018836,0.0,6000
4.0,2026,L6,0.5373104816231123,0.0,6000
4.0,3407,Default,0.6811755452846217,0.0,6000
4.0,3407,Dimensional-RAW,0.5729593139782523,0.0,6000
4.0,3407,L6,0.5373104816231123,0.0,6000
4.5,42,Default,0.7305429111984516,0.0,6000
4.5,42,Dimensional-RAW,0.5999096614816337,0.0,6000
4.5,42,L6,0.5595063462252573,0.0,6000
4.5,2026,Default,0.7305429111984516,0.0,6000
4.5,2026,Dimensional-RAW,0.6026574702482926,0.0,6000
4.5,2026,L6,0.5595063462252573,0.0,6000
4.5,3407,Default,0.7305429111984516,0.0,6000
4.5,3407,Dimensional-RAW,0.6069732214791808,0.0,6000
4.5,3407,L6,0.5595063462252573,0.0,6000
5.0,42,Default,0.789769332128496,0.0,6000
5.0,42,Dimensional-RAW,0.6467792732672276,0.0,6000
5.0,42,L6,0.5982199497793134,0.0,6000
5.0,2026,Default,0.789769332128496,0.0,6000
5.0,2026,Dimensional-RAW,0.6570444349198683,0.0,6000
5.0,2026,L6,0.5982199497793134,0.0,6000
5.0,3407,Default,0.789769332128496,0.0,6000
5.0,3407,Dimensional-RAW,0.6536205050363635,0.0,6000
5.0,3407,L6,0.5982199497793134,0.0,6000
