quantile,R,bias,rmse,mae,p95_abs_rel,failure_rate,n_valid,n_total,method,seed,n
x0.90,0.9,0.03622366278205077,0.21066957618744156,0.1463237296558427,0.41620609446361956,0.0,12000,12000,Default,-1,7
x0.90,0.9,0.0237001611444336,0.16856024364654518,0.11783167518295519,0.34082743774383845,0.0,12000,12000,Default,-1,10
x0.90,0.9,0.014747210135446606,0.13364569170808607,0.09325932184602034,0.2639212053409347,0.0,12000,12000,Default,-1,15
x0.90,0.9,0.010052575405360569,0.11258148955396459,0.08004984119736923,0.22977958744440574,0.0,12000,12000,Default,-1,20
x0.95,0.95,0.07881080105402462,0.28505734423747686,0.1932451926713493,0.5400845035442567,0.0,12000,12000,Default,-1,7
x0.95,0.95,0.05580439438858659,0.22432143235384405,0.15392079419439944,0.44441769809811893,0.0,12000,12000,Default,-1,10
x0.95,0.95,0.03800389735058004,0.1754970951999783,0.12020353856987182,0.35005239410230804,0.0,12000,12000,Default,-1,15
x0.95,0.95,0.02879637131938434,0.14563418470907408,0.1021928774171883,0.2961931894620052,0.0,12000,12000,Default,-1,20
x0.99,0.99,0.1936192599618419,0.49896900251130794,0.32998741805312193,0.9494147889816692,0.0,12000,12000,Default,-1,7
x0.99,0.99,0.14505909137812903,0.39692816697593836,0.26548991835991365,0.7605365486663359,0.0,12000,12000,Default,-1,10
x0.99,0.99,0.10537487216373725,0.3111889938945598,0.20873300981820023,0.6112507471812666,0.0,12000,12000,Default,-1,15
x0.99,0.99,0.0839153801978163,0.2592501672610742,0.1773713698150387,0.5233056585517478,0.0,12000,12000,Default,-1,20
x0.90,0.9,0.03427679246192426,0.21025177217597044,0.1453284727328844,0.41694024042785977,0.0,12000,12000,L6,-1,7
x0.90,0.9,0.023905687728643602,0.1698198623989151,0.11819327538568355,0.34486178904039166,0.0,12000,12000,L6,-1,10
x0.90,0.9,0.015772568018577498,0.1346874695276774,0.09367344633332647,0.2674564151066649,0.0,12000,12000,L6,-1,15
x0.90,0.9,0.011273833465078239,0.11329632527178898,0.08040918900081635,0.2312016785197862,0.0,12000,12000,L6,-1,20
x0.95,0.95,0.07045445346847923,0.2802286297690832,0.18704419376423653,0.5357956181986163,0.0,12000,12000,L6,-1,7
x0.95,0.95,0.051424438506750436,0.22307397089924583,0.15117220660182182,0.4394569025648906,0.0,12000,12000,L6,-1,10
x0.95,0.95,0.03598278567791497,0.17526923790127463,0.11860225291428825,0.3500533386040879,0.0,12000,12000,L6,-1,15
x0.95,0.95,0.027642976305874218,0.14606595637411476,0.10134978286588137,0.29802046457515596,0.0,12000,12000,L6,-1,20
x0.99,0.99,0.16446679922364535,0.47240726833007385,0.29809143463941645,0.8984989556781017,0.0,12000,12000,L6,-1,7
x0.99,0.99,0.12478327274950662,0.3755758725737921,0.24033182322282642,0.7363109765567437,0.0,12000,12000,L6,-1,10
x0.99,0.99,0.09203856405453452,0.29441309445169356,0.18849012023551975,0.59286806495116,0.0,12000,12000,L6,-1,15
x0.99,0.99,0.0737131909206232,0.2460950423302075,0.1609646821808998,0.5002130336702971,0.0,12000,12000,L6,-1,20
x0.90,0.9,0.036626386118884656,0.21010379728777817,0.1448895108098402,0.41506359936979886,0.0,12000,12000,Mean-Normalized,42,7
x0.90,0.9,0.02511271190671041,0.16872142902687698,0.11751326352607748,0.34098489154780515,0.0,12000,12000,Mean-Normalized,42,10
x0.90,0.9,0.016100346184100413,0.13425747437410812,0.09346454085023996,0.26597401841211743,0.0,12000,12000,Mean-Normalized,42,15
x0.90,0.9,0.011459433506206932,0.11332889792324449,0.08029399731068472,0.23123071917518942,0.0,12000,12000,Mean-Normalized,42,20
x0.95,0.95,0.07958389580620558,0.2830325189710317,0.18831104310055394,0.540027292205456,0.0,12000,12000,Mean-Normalized,42,7
x0.95,0.95,0.05856491571002951,0.22337650385354485,0.15123692291416668,0.4401707405486157,0.0,12000,12000,Mean-Normalized,42,10
x0.95,0.95,0.04070827239730371,0.1758322628013792,0.11916934532619844,0.3513903145418199,0.0,12000,12000,Mean-Normalized,42,15
x0.95,0.95,0.03186755814441801,0.1466734828859943,0.1016962450879372,0.30116927519078257,0.0,12000,12000,Mean-Normalized,42,20
x0.99,0.99,0.19765821083759783,0.494534222411705,0.3154635174872431,0.9461849040833367,0.0,12000,12000,Mean-Normalized,42,7
x0.99,0.99,0.15491249828608125,0.3926181843952069,0.2547969508834654,0.7675757823697873,0.0,12000,12000,Mean-Normalized,42,10
x0.99,0.99,0.1149507308956887,0.31066905797931377,0.203433587062128,0.6252095820944465,0.0,12000,12000,Mean-Normalized,42,15
x0.99,0.99,0.09450161456604911,0.261290013289131,0.17373450255478992,0.541630568930391,0.0,12000,12000,Mean-Normalized,42,20
x0.90,0.9,0.03953337940531976,0.21135208690164992,0.14539136393332414,0.41639475289349326,0.0,12000,12000,Mean-Normalized,2026,7
