model,seed,n,J1,failure_rate,n_samples
Default,42,7,0.7633086673112073,0.0,12000
Default,42,10,0.6571370100580289,0.0,12000
Default,42,15,0.5650868178686961,0.0,12000
Default,42,20,0.505836687210487,0.0,12000
Default,2026,7,0.7633086673112073,0.0,12000
Default,2026,10,0.6571370100580289,0.0,12000
Default,2026,15,0.5650868178686961,0.0,12000
Default,2026,20,0.505836687210487,0.0,12000
Default,3407,7,0.7633086673112073,0.0,12000
Default,3407,10,0.6571370100580289,0.0,12000
Default,3407,15,0.5650868178686961,0.0,12000
Default,3407,20,0.505836687210487,0.0,12000
L6,42,7,0.6083051432559384,0.0,12000
L6,42,10,0.5158568160471187,0.0,12000
L6,42,15,0.4318904276336264,0.0,12000
L6,42,20,0.3830836140224081,0.0,12000
L6,2026,7,0.6083051432559384,0.0,12000
L6,2026,10,0.5158568160471187,0.0,12000
L6,2026,15,0.4318904276336264,0.0,12000
L6,2026,20,0.3830836140224081,0.0,12000
L6,3407,7,0.6083051432559384,0.0,12000
L6,3407,10,0.5158568160471187,0.0,12000
L6,3407,15,0.4318904276336264,0.0,12000
L6,3407,20,0.3830836140224081,0.0,12000
Mean-Normalized-MLP,42,7,0.7045334855799746,0.0,12000
Mean-Normalized-MLP,42,10,0.601914478400014,0.0,12000
Mean-Normalized-MLP,42,15,0.5268223538654591,0.0,12000
Mean-Normalized-MLP,42,20,0.4779524456590625,0.0,12000
Mean-Normalized-MLP,2026,7,0.69465695878199,0.0,12000
Mean-Normalized-MLP,2026,10,0.608079928155711,0.0,12000
Mean-Normalized-MLP,2026,15,0.526089758769496,0.0,12000
Mean-Normalized-MLP,2026,20,0.46890974472672775,0.0,12000
Mean-Normalized-MLP,3407,7,0.7074464261634367,0.0,12000
Mean-Normalized-MLP,3407,10,0.6054347681734866,0.0,12000
Mean-Normalized-MLP,3407,15,0.5229852133005498,0.0,12000
Mean-Normalized-MLP,3407,20,0.4724045603336574,0.0,12000
